Year,ServBasico,Province,County,Municipality,Unidad,GeoCode,Value
2016,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.8
2017,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.8
2018,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.8
2019,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.8
2020,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.9
2021,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.9
2022,BSRVSAN,,,Vitoria-Gasteiz,Percentage,Vitoria-Gasteiz,99.9
2010,BSRVH2O,,ES0106,,Percentage,ES0106,99.8
2011,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2013,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2014,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2015,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2016,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2017,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2018,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2019,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2020,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2021,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2022,BSRVH2O,,ES0106,,Percentage,ES0106,99.9
2010,BSRVSAN,,ES0106,,Percentage,ES0106,99.6
2011,BSRVSAN,,ES0106,,Percentage,ES0106,99.6
2013,BSRVSAN,,ES0106,,Percentage,ES0106,99.6
2014,BSRVSAN,,ES0106,,Percentage,ES0106,99.6
2015,BSRVSAN,,ES0106,,Percentage,ES0106,99.6
2016,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2017,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2018,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2019,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2020,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2021,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2022,BSRVSAN,,ES0106,,Percentage,ES0106,99.7
2010,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2011,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2013,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2014,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2015,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2016,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2017,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2018,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2019,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2020,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2021,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2022,BSRVH2O,,,Yécora/Iekora,Percentage,Yécora/Iekora,100.0
2010,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.2
2011,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.2
2013,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.2
2014,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.2
2015,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.1
2016,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.1
2017,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.1
2018,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.0
2019,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.0
2020,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.0
2021,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,98.0
2022,BSRVSAN,,,Yécora/Iekora,Percentage,Yécora/Iekora,97.9
2010,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2011,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2013,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2014,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2015,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2016,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2017,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2018,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2019,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2020,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2021,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2022,BSRVH2O,,,Zalduondo,Percentage,Zalduondo,100.0
2010,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,95.1
2011,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.2
2013,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.2
2014,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.2
2015,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.3
2016,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.2
2017,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.2
2018,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,96.2
2019,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,97.4
2020,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,97.5
2021,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,97.7
2022,BSRVSAN,,,Zalduondo,Percentage,Zalduondo,97.7
2010,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2011,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2013,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2014,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2015,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2016,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2017,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2018,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2019,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2020,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2021,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2022,BSRVH2O,,,Zambrana,Percentage,Zambrana,100.0
2010,BSRVSAN,,,Zambrana,Percentage,Zambrana,98.7
2011,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2013,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2014,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2015,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2016,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2017,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2018,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2019,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2020,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2021,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2022,BSRVSAN,,,Zambrana,Percentage,Zambrana,100.0
2010,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2011,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2013,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2014,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2015,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2016,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2017,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2018,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2019,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2020,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2021,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2022,BSRVH2O,,,Zuia,Percentage,Zuia,99.9
2010,BSRVSAN,,,Zuia,Percentage,Zuia,99.6
2011,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2013,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2014,BSRVSAN,,,Zuia,Percentage,Zuia,99.8
2015,BSRVSAN,,,Zuia,Percentage,Zuia,99.8
2016,BSRVSAN,,,Zuia,Percentage,Zuia,99.8
2017,BSRVSAN,,,Zuia,Percentage,Zuia,99.8
2018,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2019,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2020,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2021,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2022,BSRVSAN,,,Zuia,Percentage,Zuia,99.7
2010,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2011,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2013,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2014,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2015,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2016,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2017,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2018,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2019,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2020,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2021,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2022,BSRVH2O,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,100.0
2010,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.5
2011,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.7
2013,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.6
2014,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.6
2015,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.6
2016,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.6
2017,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.7
2018,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.7
2019,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.7
2020,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.7
2021,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.7
2022,BSRVSAN,,,Iruña Oka/Iruña de Oca,Percentage,Iruña Oka/Iruña de Oca,99.8
2010,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2011,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2013,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2014,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2015,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2016,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2017,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2018,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2019,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2020,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2021,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2022,BSRVH2O,,,Lantarón,Percentage,Lantarón,99.7
2010,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.3
2011,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.9
2013,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.9
2014,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.6
2015,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.6
2016,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.6
2017,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.3
2018,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.3
2019,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.9
2020,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.9
2021,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.9
2022,BSRVSAN,,,Lantarón,Percentage,Lantarón,98.4
2010,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2011,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2013,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2014,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2015,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2016,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2017,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.9
2018,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2019,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2020,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2021,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2022,BSRVH2O,Gipuzkoa,,,Percentage,Gipuzkoa,99.8
2010,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.4
2011,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2013,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2014,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2015,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2016,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2017,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2018,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2019,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.5
2020,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.6
2021,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.6
2022,BSRVSAN,Gipuzkoa,,,Percentage,Gipuzkoa,99.6
2010,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2011,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2013,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2014,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2015,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2016,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2017,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2018,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2019,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2020,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2021,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2022,BSRVH2O,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2010,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,99.1
2011,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,98.2
2013,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.3
2014,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.4
2015,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.3
2016,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.3
2017,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.3
2018,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.3
2019,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,96.4
2020,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,97.3
2021,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,98.2
2022,BSRVSAN,,,Abaltzisketa,Percentage,Abaltzisketa,98.1
2010,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2011,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2013,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2014,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2015,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2016,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2017,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2018,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2019,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2020,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2021,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2022,BSRVH2O,,,Aduna,Percentage,Aduna,100.0
2010,BSRVSAN,,,Aduna,Percentage,Aduna,96.9
2011,BSRVSAN,,,Aduna,Percentage,Aduna,97.1
2013,BSRVSAN,,,Aduna,Percentage,Aduna,97.1
2014,BSRVSAN,,,Aduna,Percentage,Aduna,97.1
2015,BSRVSAN,,,Aduna,Percentage,Aduna,97.2
2016,BSRVSAN,,,Aduna,Percentage,Aduna,97.2
2017,BSRVSAN,,,Aduna,Percentage,Aduna,97.2
2018,BSRVSAN,,,Aduna,Percentage,Aduna,97.1
2019,BSRVSAN,,,Aduna,Percentage,Aduna,96.4
2020,BSRVSAN,,,Aduna,Percentage,Aduna,96.5
2021,BSRVSAN,,,Aduna,Percentage,Aduna,96.6
2022,BSRVSAN,,,Aduna,Percentage,Aduna,96.6
2010,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2011,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2013,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2014,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2015,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2016,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2017,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2018,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2019,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2020,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2021,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2022,BSRVH2O,,,Aizarnazabal,Percentage,Aizarnazabal,99.6
2010,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2011,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2013,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2014,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2015,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2016,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2017,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2018,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2019,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2020,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2021,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2022,BSRVSAN,,,Aizarnazabal,Percentage,Aizarnazabal,100.0
2010,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2011,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2013,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2014,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2015,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2016,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2017,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2018,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2019,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2020,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2021,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2022,BSRVH2O,,,Albiztur,Percentage,Albiztur,100.0
2010,BSRVSAN,,,Albiztur,Percentage,Albiztur,97.4
2011,BSRVSAN,,,Albiztur,Percentage,Albiztur,97.4
2013,BSRVSAN,,,Albiztur,Percentage,Albiztur,97.5
2014,BSRVSAN,,,Albiztur,Percentage,Albiztur,96.7
2015,BSRVSAN,,,Albiztur,Percentage,Albiztur,96.6
2016,BSRVSAN,,,Albiztur,Percentage,Albiztur,96.6
2017,BSRVSAN,,,Albiztur,Percentage,Albiztur,98.3
2018,BSRVSAN,,,Albiztur,Percentage,Albiztur,98.2
2019,BSRVSAN,,,Albiztur,Percentage,Albiztur,98.2
2020,BSRVSAN,,,Albiztur,Percentage,Albiztur,98.2
2021,BSRVSAN,,,Albiztur,Percentage,Albiztur,98.2
2022,BSRVSAN,,,Albiztur,Percentage,Albiztur,97.4
2010,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2011,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2013,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2014,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2015,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2016,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2017,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2018,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2019,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2020,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2021,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2022,BSRVH2O,,,Alegia,Percentage,Alegia,100.0
2010,BSRVSAN,,,Alegia,Percentage,Alegia,99.7
2011,BSRVSAN,,,Alegia,Percentage,Alegia,99.3
2013,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2014,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2015,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2016,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2017,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2018,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2019,BSRVSAN,,,Alegia,Percentage,Alegia,99.6
2020,BSRVSAN,,,Alegia,Percentage,Alegia,99.9
2021,BSRVSAN,,,Alegia,Percentage,Alegia,99.9
2022,BSRVSAN,,,Alegia,Percentage,Alegia,99.9
2010,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2011,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2013,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2014,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2015,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2016,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2017,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2018,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2019,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2020,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2021,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2022,BSRVH2O,,,Alkiza,Percentage,Alkiza,100.0
2010,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.6
2011,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.7
2013,BSRVSAN,,,Alkiza,Percentage,Alkiza,96.9
2014,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.6
2015,BSRVSAN,,,Alkiza,Percentage,Alkiza,96.9
2016,BSRVSAN,,,Alkiza,Percentage,Alkiza,96.9
2017,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.0
2018,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.0
2019,BSRVSAN,,,Alkiza,Percentage,Alkiza,96.9
2020,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.0
2021,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.0
2022,BSRVSAN,,,Alkiza,Percentage,Alkiza,97.0
2010,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2011,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2013,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2014,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2015,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2016,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2017,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2018,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2019,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2020,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2021,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2022,BSRVH2O,,,Altzo,Percentage,Altzo,100.0
2010,BSRVSAN,,,Altzo,Percentage,Altzo,97.8
2011,BSRVSAN,,,Altzo,Percentage,Altzo,97.8
2013,BSRVSAN,,,Altzo,Percentage,Altzo,98.6
2014,BSRVSAN,,,Altzo,Percentage,Altzo,98.6
2015,BSRVSAN,,,Altzo,Percentage,Altzo,98.6
2016,BSRVSAN,,,Altzo,Percentage,Altzo,98.7
2017,BSRVSAN,,,Altzo,Percentage,Altzo,98.7
2018,BSRVSAN,,,Altzo,Percentage,Altzo,98.7
2019,BSRVSAN,,,Altzo,Percentage,Altzo,98.7
2020,BSRVSAN,,,Altzo,Percentage,Altzo,98.8
2021,BSRVSAN,,,Altzo,Percentage,Altzo,98.1
2022,BSRVSAN,,,Altzo,Percentage,Altzo,98.7
2010,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2011,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2013,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2014,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2015,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2016,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2017,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2018,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2019,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2020,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2021,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
2022,BSRVH2O,,,Amezketa,Percentage,Amezketa,100.0
