Year,Territorio,Units,Value
2020,Gizaburuaga,Por 10.000,0.0
2021,Ibarra,Por 10.000,19.1
2021,Ibarrangelu,Por 10.000,29.7
2020,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,20.4
2019,Ibarrangelu,Por 10.000,0.0
2019,Ibarra,Por 10.000,27.6
2020,Ispaster,Por 10.000,0.0
2020,Lagrán,Por 10.000,0.0
2022,Gernika-Bermeo,Por 10.000,31.4
2020,Idiazabal,Por 10.000,0.0
2020,Gernika-Bermeo,Por 10.000,47.3
2019,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,26.6
2021,Izurtza,Por 10.000,0.0
2021,Ikaztegieta,Por 10.000,0.0
2019,Izurtza,Por 10.000,0.0
2019,Berantevilla,Por 10.000,43.1
2020,Lanestosa,Por 10.000,78.7
2019,Ikaztegieta,Por 10.000,0.0
2021,Larrabetzu,Por 10.000,9.4
2020,Yécora/Iekora,Por 10.000,0.0
2019,Larrabetzu,Por 10.000,0.0
2020,Irun,Por 10.000,43.9
2020,Laukiz,Por 10.000,15.6
2020,Laguardia,Por 10.000,14.0
2021,Leioa,Por 10.000,37.8
2021,Irura,Por 10.000,34.3
2019,Leioa,Por 10.000,41.6
2021,Zalduondo,Por 10.000,0.0
2020,Lemoa,Por 10.000,28.1
2019,Irura,Por 10.000,11.5
2021,Lemoiz,Por 10.000,15.8
2020,Arratzua-Ubarrundia,Por 10.000,41.9
2019,Lemoiz,Por 10.000,17.3
2020,Itsasondo,Por 10.000,28.6
2020,Lekeitio,Por 10.000,19.1
2020,Zalduondo,Por 10.000,0.0
2021,Mallabia,Por 10.000,16.9
2021,Larraul,Por 10.000,90.1
2019,Mallabia,Por 10.000,17.3
2021,Laguardia,Por 10.000,13.9
2020,Mañaria,Por 10.000,38.8
2019,Larraul,Por 10.000,0.0
2022,Markina-Ondarroa,Por 10.000,29.8
2020,Zambrana,Por 10.000,47.4
2020,Markina-Ondarroa,Por 10.000,20.9
2020,Lazkao,Por 10.000,24.4
2021,Markina-Xemein,Por 10.000,44.7
2020,Bernedo,Por 10.000,0.0
2019,Markina-Xemein,Por 10.000,8.2
2022,Goierri,Por 10.000,26.5
2020,Maruri-Jatabe,Por 10.000,0.0
2021,Zuia,Por 10.000,8.9
2021,Mendata,Por 10.000,49.0
2020,Goierri,Por 10.000,24.9
2019,Mendata,Por 10.000,52.6
2020,Lanciego/Lantziego,Por 10.000,0.0
2020,Mendexa,Por 10.000,87.3
2021,Leaburu,Por 10.000,0.0
2021,Meñaka,Por 10.000,58.0
2019,Zuia,Por 10.000,0.0
2019,Meñaka,Por 10.000,0.0
2019,Leaburu,Por 10.000,0.0
2020,Ugao-Miraballes,Por 10.000,64.1
2021,Aramaio,Por 10.000,14.0
2021,Morga,Por 10.000,0.0
2020,Legazpi,Por 10.000,28.9
2019,Morga,Por 10.000,0.0
2021,Iruña Oka/Iruña de Oca,Por 10.000,23.7
2020,Muxika,Por 10.000,56.3
2021,Legorreta,Por 10.000,27.5
2021,Mundaka,Por 10.000,41.1
2019,Lapuebla de Labarca,Por 10.000,46.8
2019,Mundaka,Por 10.000,0.0
2019,Legorreta,Por 10.000,27.7
2020,Mungia,Por 10.000,32.5
2021,Lantarón,Por 10.000,71.3
2022,Plentzia-Mungia,Por 10.000,29.7
2020,Lezo,Por 10.000,62.3
2020,Plentzia-Mungia,Por 10.000,30.5
2021,Campezo/Kanpezu,Por 10.000,0.0
2021,Aulesti,Por 10.000,0.0
2021,Lizartza,Por 10.000,0.0
2019,Aulesti,Por 10.000,0.0
2020,Lantarón,Por 10.000,0.0
2020,Muskiz,Por 10.000,71.4
2019,Lizartza,Por 10.000,98.4
2021,Otxandio,Por 10.000,0.0
2021,Lapuebla de Labarca,Por 10.000,47.6
2019,Otxandio,Por 10.000,29.9
2020,Arrasate/Mondragón,Por 10.000,19.7
2020,Ondarroa,Por 10.000,26.0
2021,Abaltzisketa,Por 10.000,0.0
2021,Urduña/Orduña,Por 10.000,35.2
2021,Mutriku,Por 10.000,34.1
2019,Urduña/Orduña,Por 10.000,54.5
2021,Asparrena,Por 10.000,48.1
2020,Orozko,Por 10.000,51.5
2019,Mutriku,Por 10.000,34.2
2021,Sukarrieta,Por 10.000,0.0
2020,Aduna,Por 10.000,132.7
2019,Sukarrieta,Por 10.000,59.9
2020,Mutiloa,Por 10.000,0.0
2020,Plentzia,Por 10.000,52.4
2019,Leza,Por 10.000,0.0
2021,Portugalete,Por 10.000,44.3
2021,Olaberria,Por 10.000,22.1
2019,Portugalete,Por 10.000,34.9
2019,Aduna,Por 10.000,0.0
2020,Errigoiti,Por 10.000,90.5
2019,Olaberria,Por 10.000,0.0
2021,Valle de Trápaga-Trapagaran,Por 10.000,68.8
2019,Campezo/Kanpezu,Por 10.000,0.0
2019,Valle de Trápaga-Trapagaran,Por 10.000,40.6
2020,Oñati,Por 10.000,13.8
2020,Lezama,Por 10.000,16.3
2021,Aizarnazabal,Por 10.000,26.2
2021,Santurtzi,Por 10.000,55.3
2022,Tolosaldea,Por 10.000,30.2
2019,Santurtzi,Por 10.000,33.6
2020,Laudio/Llodio,Por 10.000,19.2
2020,Ortuella,Por 10.000,60.6
2020,Tolosaldea,Por 10.000,27.0
2021,Sestao,Por 10.000,73.3
2020,Albiztur,Por 10.000,0.0
2019,Sestao,Por 10.000,77.1
2021,Orexa,Por 10.000,0.0
2020,Sopela,Por 10.000,22.5
2020,Alonsotegi,Por 10.000,20.1
2021,Sopuerta,Por 10.000,37.2
2019,Orexa,Por 10.000,0.0
2019,Sopuerta,Por 10.000,15.9
2019,Albiztur,Por 10.000,0.0
2020,Trucios-Turtzioz,Por 10.000,0.0
2020,Orio,Por 10.000,36.1
2021,Ubide,Por 10.000,0.0
2019,Laudio/Llodio,Por 10.000,26.5
2019,Ubide,Por 10.000,0.0
2021,Ormaiztegi,Por 10.000,0.0
2020,Urduliz,Por 10.000,29.7
2021,Alegia,Por 10.000,23.3
2021,Balmaseda,Por 10.000,35.0
2019,Ormaiztegi,Por 10.000,15.5
2019,Balmaseda,Por 10.000,33.1
2021,Zigoitia,Por 10.000,23.7
2020,Atxondo,Por 10.000,0.0
2020,Oiartzun,Por 10.000,32.2
2021,Bedia,Por 10.000,35.2
2021,Alkiza,Por 10.000,0.0
2019,Bedia,Por 10.000,17.7
2021,Pasaia,Por 10.000,46.5
2020,Areatza,Por 10.000,62.2
2019,Arraia-Maeztu,Por 10.000,31.1
2021,Igorre,Por 10.000,23.3
2019,Pasaia,Por 10.000,47.2
2019,Igorre,Por 10.000,27.9
2020,Alkiza,Por 10.000,0.0
2020,Zaldibar,Por 10.000,26.4
2020,Soraluze-Placencia de las Armas,Por 10.000,31.1
2021,Zalla,Por 10.000,49.6
2020,Asparrena,Por 10.000,73.7
2019,Zalla,Por 10.000,32.6
2021,Errezil,Por 10.000,0.0
2020,Zaratamo,Por 10.000,106.6
2020,Altzo,Por 10.000,0.0
2021,Derio,Por 10.000,27.7
2019,Errezil,Por 10.000,0.0
2019,Derio,Por 10.000,26.7
2021,Moreda de Álava/Moreda Araba,Por 10.000,0.0
2020,Erandio,Por 10.000,39.9
2020,Errenteria,Por 10.000,37.6
2021,Loiu,Por 10.000,45.8
2021,Amezketa,Por 10.000,22.3
2019,Loiu,Por 10.000,61.2
2021,Leintz-Gatzaga,Por 10.000,0.0
2020,Sondika,Por 10.000,21.2
2021,Kripan,Por 10.000,0.0
2021,Zamudio,Por 10.000,68.2
2019,Leintz-Gatzaga,Por 10.000,0.0
2019,Zamudio,Por 10.000,18.1
2019,Amezketa,Por 10.000,0.0
2020,Forua,Por 10.000,21.6
2020,Donostia / San Sebastián,Por 10.000,33.1
2021,Kortezubi,Por 10.000,0.0
2019,Moreda de Álava/Moreda Araba,Por 10.000,0.0
2019,Kortezubi,Por 10.000,0.0
2022,Urola Kosta,Por 10.000,24.7
2020,Murueta,Por 10.000,63.3
2020,Andoain,Por 10.000,32.1
2021,Nabarniz,Por 10.000,71.9
2020,Urola Kosta,Por 10.000,18.5
2019,Nabarniz,Por 10.000,0.0
2020,Aramaio,Por 10.000,0.0
2020,Iurreta,Por 10.000,31.7
2021,Segura,Por 10.000,0.0
2021,Ajangiz,Por 10.000,0.0
2022,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,54.5
2019,Ajangiz,Por 10.000,0.0
2019,Segura,Por 10.000,0.0
2021,,Por 10.000,34.3
2019,,Por 10.000,36.2
2019,Amurrio,Por 10.000,26.6
2021,Artziniega,Por 10.000,10.6
2020,Ayala/Aiara,Por 10.000,0.0
2020,Elciego,Por 10.000,0.0
2021,Añana,Por 10.000,0.0
2021,Berrobi,Por 10.000,34.5
2019,Arrankudiaga-Zollo,Por 10.000,19.6
2022,Araba/Álava,Por 10.000,41.6
2020,Araba/Álava,Por 10.000,33.2
2021,Araba/Álava,Por 10.000,34.0
2019,Araba/Álava,Por 10.000,37.4
2019,Bizkaia,Por 10.000,37.5
2020,Bizkaia,Por 10.000,35.9
2021,Bizkaia,Por 10.000,35.7
2022,Bizkaia,Por 10.000,39.7
2019,Gipuzkoa,Por 10.000,33.5
2020,Gipuzkoa,Por 10.000,30.5
2021,Gipuzkoa,Por 10.000,32.4
2022,Gipuzkoa,Por 10.000,39.5
