Year,Series,Institución,Territorio,Units,Value
2022,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.54
2018,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.49
2022,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2023,Sector público (total),Administración de Justicia autonómica,,Ratio,1.54
2016,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.5
2019,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.58
2014,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.57
2012,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.59
2010,Sector público (total),Administración de Justicia autonómica,,Ratio,1.55
2017,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.53
2019,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.5
2015,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.54
2022,Sector público (total),Administración de Justicia autonómica,,Ratio,1.54
2023,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.51
2011,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.61
2013,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.58
2020,Sector público (total),Administración de Justicia autonómica,Bizkaia,Ratio,1.52
2021,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.58
2019,Sector público (total),Administración de Justicia autonómica,,Ratio,1.54
2020,Sector público (total),Administración de Justicia autonómica,Araba/Álava,Ratio,1.57
2023,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2022,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.62
2021,Sector público (total),Administración de Justicia autonómica,,Ratio,1.55
2020,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2018,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2021,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.6
2016,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.57
2014,Sector público (total),Administración de Justicia autonómica,Gipuzkoa,Ratio,1.59
2020,Sector público (total),Sector público local,,Ratio,1.11
2017,Sector público (total),Sector público local,,Ratio,1.07
2023,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.09
2013,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.03
2013,Sector público (total),Sector público local,Araba/Álava,Ratio,1.22
2018,Sector público (total),Sector público local,Bizkaia,Ratio,1.02
2022,Sector público (total),Sector público local,Araba/Álava,Ratio,1.28
2016,Sector público (total),Sector público local,Bizkaia,Ratio,0.92
2014,Sector público (total),Sector público local,Bizkaia,Ratio,0.89
2012,Sector público (total),Sector público local,Bizkaia,Ratio,0.89
2010,Sector público (total),Sector público local,Bizkaia,Ratio,0.9
2016,Sector público (total),Sector público local,Araba/Álava,Ratio,1.24
2015,Sector público (total),Sector público local,Bizkaia,Ratio,0.9
2023,Sector público (total),Sector público local,Araba/Álava,Ratio,1.27
2011,Sector público (total),Sector público local,Bizkaia,Ratio,0.91
2014,Sector público (total),Sector público local,Araba/Álava,Ratio,1.23
2013,Sector público (total),Sector público local,Bizkaia,Ratio,0.89
2017,Sector público (total),Sector público local,Bizkaia,Ratio,1.01
2015,Sector público (total),Sector público local,,Ratio,1.01
2019,Sector público (total),Sector público local,Araba/Álava,Ratio,1.24
2010,Sector público (total),Sector público local,Araba/Álava,Ratio,1.2
2017,Sector público (total),Sector público local,Araba/Álava,Ratio,1.26
2015,Sector público (total),Sector público local,Araba/Álava,Ratio,1.22
2011,Sector público (total),Sector público local,Araba/Álava,Ratio,1.17
2021,Sector público (total),Sector público local,Araba/Álava,Ratio,1.26
2010,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.01
2016,Sector público (total),Sector público local,,Ratio,1.03
2022,Sector público (total),Sector público local,,Ratio,1.13
2020,Sector público (total),Sector público local,Araba/Álava,Ratio,1.27
2022,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.09
2013,Sector público (total),Sector público local,,Ratio,1.01
2012,Sector público (total),Sector público local,Araba/Álava,Ratio,1.22
2018,Sector público (total),Sector público local,,Ratio,1.08
2021,Sector público (total),Sector público local,Bizkaia,Ratio,1.06
2018,Sector público (total),Sector público local,Araba/Álava,Ratio,1.26
2021,Sector público (total),Sector público local,,Ratio,1.11
2019,Sector público (total),Sector público local,,Ratio,1.09
2022,Sector público (total),Sector público local,Bizkaia,Ratio,1.08
2019,Sector público (total),Sector público local,Bizkaia,Ratio,1.03
2020,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.07
2018,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.05
2016,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.02
2010,Sector público (total),Sector público local,,Ratio,1.0
2014,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.01
2023,Sector público (total),Sector público local,Bizkaia,Ratio,1.08
2021,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.07
2012,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.01
2011,Sector público (total),Sector público local,,Ratio,1.0
2017,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.04
2012,Sector público (total),Sector público local,,Ratio,1.0
2023,Sector público (total),Sector público local,,Ratio,1.12
2019,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.06
2011,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.01
2015,Sector público (total),Sector público local,Gipuzkoa,Ratio,1.02
2020,Sector público (total),Sector público local,Bizkaia,Ratio,1.05
2014,Sector público (total),Sector público local,,Ratio,1.0
2020,Sector público (total),Ayuntamientos,,Ratio,1.03
2022,Sector público (total),Ayuntamientos,Gipuzkoa,Ratio,1.03
2020,Sector público (total),Ayuntamientos,Gipuzkoa,Ratio,1.02
2021,Sector público (total),Ayuntamientos,Gipuzkoa,Ratio,1.02
2023,Sector público (total),Ayuntamientos,Gipuzkoa,Ratio,1.02
2023,Sector público (total),Ayuntamientos,,Ratio,1.05
2022,Sector público (total),Ayuntamientos,,Ratio,1.05
2022,Sector público (total),Ayuntamientos,Bizkaia,Ratio,1.0
2021,Sector público (total),Ayuntamientos,Bizkaia,Ratio,0.97
2023,Sector público (total),Ayuntamientos,Bizkaia,Ratio,1.0
2020,Sector público (total),Ayuntamientos,Bizkaia,Ratio,0.97
2021,Sector público (total),Ayuntamientos,,Ratio,1.03
2020,Sector público (total),Ayuntamientos,Araba/Álava,Ratio,1.19
2022,Sector público (total),Ayuntamientos,Araba/Álava,Ratio,1.22
2021,Sector público (total),Ayuntamientos,Araba/Álava,Ratio,1.19
2023,Sector público (total),Ayuntamientos,Araba/Álava,Ratio,1.2
2020,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.6
2018,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.62
2023,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.62
2016,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.62
2014,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.61
2021,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.61
2017,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.62
2013,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.6
2011,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.62
2015,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.56
2019,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.63
2016,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.55
2018,Sector público (total),Sector público estatal,,Ratio,0.65
2010,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.72
2013,Sector público (total),Sector público estatal,,Ratio,0.63
2022,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.61
2014,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.67
2016,Sector público (total),Sector público estatal,,Ratio,0.65
2010,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.6
2023,Sector público (total),Sector público estatal,,Ratio,0.63
2020,Sector público (total),Sector público estatal,,Ratio,0.64
2017,Sector público (total),Sector público estatal,,Ratio,0.65
2015,Sector público (total),Sector público estatal,,Ratio,0.65
2012,Sector público (total),Sector público estatal,,Ratio,0.63
2021,Sector público (total),Sector público estatal,,Ratio,0.64
2011,Sector público (total),Sector público estatal,,Ratio,0.65
2017,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.57
2022,Sector público (total),Sector público estatal,,Ratio,0.65
2017,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.7
2022,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.7
2020,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.7
2020,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.57
2018,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.7
2016,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.7
2012,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.66
2018,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.58
2023,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.68
2019,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.69
2015,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.7
2011,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.69
2012,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.58
2013,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.67
2011,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.6
2019,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.58
2019,Sector público (total),Sector público estatal,,Ratio,0.65
2021,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.57
2014,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.58
2014,Sector público (total),Sector público estatal,,Ratio,0.63
2013,Sector público (total),Sector público estatal,Araba/Álava,Ratio,0.57
2010,Sector público (total),Sector público estatal,,Ratio,0.69
2021,Sector público (total),Sector público estatal,Bizkaia,Ratio,0.68
2023,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.57
2015,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.63
2012,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.6
2010,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.68
2022,Sector público (total),Sector público estatal,Gipuzkoa,Ratio,0.6
2018,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.19
2010,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.23
2010,Sector público (total),Fuerzas armadas,,Ratio,0.27
2016,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.17
2017,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.28
2017,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.18
2012,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.16
2013,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.15
2015,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.16
2021,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.15
2020,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.15
2023,Sector público (total),Fuerzas armadas,,Ratio,0.2
2014,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.15
2016,Sector público (total),Fuerzas armadas,,Ratio,0.19
2023,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.15
2020,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.28
2011,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.18
2022,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.15
2017,Sector público (total),Fuerzas armadas,,Ratio,0.21
2011,Sector público (total),Fuerzas armadas,,Ratio,0.23
2011,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.29
2019,Sector público (total),Fuerzas armadas,,Ratio,0.19
2021,Sector público (total),Fuerzas armadas,,Ratio,0.2
2010,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.32
2018,Sector público (total),Fuerzas armadas,,Ratio,0.2
2022,Sector público (total),Fuerzas armadas,,Ratio,0.19
2014,Sector público (total),Fuerzas armadas,,Ratio,0.21
2012,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.27
2013,Sector público (total),Fuerzas armadas,,Ratio,0.21
2020,Sector público (total),Fuerzas armadas,,Ratio,0.19
2016,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.23
2021,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.16
2023,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.16
2012,Sector público (total),Fuerzas armadas,,Ratio,0.22
2011,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.21
2022,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.16
2012,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.22
2010,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.24
2022,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.3
2019,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.16
2013,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.22
2014,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.2
2015,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.19
2019,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.27
2020,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.17
2018,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.16
2016,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.18
2017,Sector público (total),Fuerzas armadas,Bizkaia,Ratio,0.18
2015,Sector público (total),Fuerzas armadas,,Ratio,0.19
2018,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.27
2014,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.26
2013,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.26
2015,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.21
2023,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.33
2021,Sector público (total),Fuerzas armadas,Araba/Álava,Ratio,0.31
2019,Sector público (total),Fuerzas armadas,Gipuzkoa,Ratio,0.17
2016,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.19
2011,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.2
2013,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.22
2017,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2023,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.25
2018,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.25
2020,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2022,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.21
2014,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.23
2013,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2023,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.28
2020,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2019,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.27
2012,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.19
2021,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.25
2021,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.22
2016,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2016,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2010,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.17
2022,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.27
2020,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2011,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.18
2021,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2015,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2015,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.19
2014,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2010,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.14
2011,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.16
2010,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.15
2013,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.2
2017,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2016,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.19
2014,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2022,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.24
2023,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.23
2019,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.24
2017,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.19
2012,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2013,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2022,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.23
2020,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.2
2023,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.24
2021,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.21
2019,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.23
2019,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.24
2018,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.22
2014,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2011,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.18
2015,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.19
2018,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.24
2015,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2017,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.17
2018,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.26
2012,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.21
2010,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.16
2012,Sector público (total),Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2020,Sector público (total),Administración de Justicia del Estado,,Ratio,1.39
2011,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.5
2013,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.37
2022,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.45
2020,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.32
2018,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.31
2014,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.37
2017,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.4
2012,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.5
2010,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.61
2015,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.46
2019,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.41
2022,Sector público (total),Administración de Justicia del Estado,,Ratio,1.41
2023,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.43
2014,Sector público (total),Administración de Justicia del Estado,,Ratio,1.4
2010,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.3
2010,Sector público (total),Administración de Justicia del Estado,,Ratio,1.46
2021,Sector público (total),Administración de Justicia del Estado,,Ratio,1.4
2018,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.35
2023,Sector público (total),Administración de Justicia del Estado,,Ratio,1.55
2012,Sector público (total),Administración de Justicia del Estado,,Ratio,1.41
2021,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.38
2018,Sector público (total),Administración de Justicia del Estado,,Ratio,1.32
2011,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.4
2011,Sector público (total),Administración de Justicia del Estado,,Ratio,1.41
2022,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.38
2020,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.43
2017,Sector público (total),Administración de Justicia del Estado,,Ratio,1.38
2023,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.57
2019,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.37
2016,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.4
2014,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.44
2015,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.36
2012,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.45
2010,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.39
2023,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.7
2013,Sector público (total),Administración de Justicia del Estado,,Ratio,1.4
2013,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.43
2017,Sector público (total),Administración de Justicia del Estado,Bizkaia,Ratio,1.39
2019,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.39
2021,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.42
2019,Sector público (total),Administración de Justicia del Estado,,Ratio,1.39
2015,Sector público (total),Administración de Justicia del Estado,,Ratio,1.4
2022,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.41
2020,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.37
2016,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.42
2018,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.26
2016,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.31
2014,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.39
2011,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.32
2012,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.17
2021,Sector público (total),Administración de Justicia del Estado,Gipuzkoa,Ratio,1.43
2013,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.37
2015,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.41
2017,Sector público (total),Administración de Justicia del Estado,Araba/Álava,Ratio,1.32
2016,Sector público (total),Administración de Justicia del Estado,,Ratio,1.39
