Year,Series,Sexua,Lurralde historikoa,Units,Value
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.1
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.7
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.1
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.7
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.6
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,99.2
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,99.2
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,98.8
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,96.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,94.2
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,93.3
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,97.6
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Araba / Álava,Porcentaje,94.7
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,95.3
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,96.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,98.2
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,99.5
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,97.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,99.0
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,94.8
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Bizkaia,Porcentaje,100.0
2019,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2020,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,99.6
2017,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2015,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2016,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2013,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2018,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2011,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2012,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2022,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,97.2
2010,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2021,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,98.0
2023,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,96.2
2014,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,100.0
2024,Erretirorako legezko adina gainditu eta pentsioa jasotzen duten biztanleen proportzioa,Gizona,Gipuzkoa,Porcentaje,96.2
