Year,Series,Sexo,Tipo de renta,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,Renta personal media,,Renta del trabajo,,,Soraluze-Placencia de las Armas,Euros,Soraluze-Placencia de las Armas,17626.0
2016,Renta personal media,,Renta del trabajo,,,Soraluze-Placencia de las Armas,Euros,Soraluze-Placencia de las Armas,15887.0
2018,Renta personal media,,Renta del trabajo,,,Soraluze-Placencia de las Armas,Euros,Soraluze-Placencia de las Armas,17088.0
2009,Renta personal media,,Renta del trabajo,,,Soraluze-Placencia de las Armas,Euros,Soraluze-Placencia de las Armas,15246.0
2021,Renta personal media,,Renta del trabajo,,,Soraluze-Placencia de las Armas,Euros,Soraluze-Placencia de las Armas,17474.0
2013,Renta personal media,,Renta del trabajo,,,Soraluze-Placencia de las Armas,Euros,Soraluze-Placencia de las Armas,14781.0
2018,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,21827.0
2011,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,21655.0
2015,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,23095.0
2021,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,26156.0
2020,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,23281.0
2014,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,21731.0
2016,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,22395.0
2019,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,24061.0
2009,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,22397.0
2013,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,21383.0
2017,Renta personal media,,Renta del trabajo,,,Sukarrieta,Euros,Sukarrieta,22582.0
2009,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,18389.0
2017,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,19528.0
2018,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,19675.0
2013,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,17859.0
2016,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,18641.0
2020,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,20486.0
2021,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,21010.0
2014,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,17934.0
2019,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,20288.0
2015,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,18446.0
2011,Renta personal media,,Renta del trabajo,,,Tolosa,Euros,Tolosa,18970.0
2021,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,16075.0
2020,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,13909.0
2014,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,11999.0
2018,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,13099.0
2013,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,11432.0
2017,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,12637.0
2019,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,13638.0
2016,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,13173.0
2009,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,13304.0
2015,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,12528.0
2011,Renta personal media,,Renta del trabajo,,,Trucios-Turtzioz,Euros,Trucios-Turtzioz,12199.0
2011,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,13705.0
2015,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,15876.0
2020,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,16447.0
2009,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,15269.0
2013,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,14627.0
2021,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,16430.0
2017,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,14194.0
2018,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,16210.0
2014,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,14410.0
2016,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,15430.0
2019,Renta personal media,,Renta del trabajo,,,Ubide,Euros,Ubide,17067.0
2020,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,17356.0
2014,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,14928.0
2016,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,15441.0
2013,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,14891.0
2011,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,15169.0
2015,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,15327.0
2019,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,16896.0
2009,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,15590.0
2018,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,16318.0
2017,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,16249.0
2021,Renta personal media,,Renta del trabajo,,,Ugao-Miraballes,Euros,Ugao-Miraballes,17808.0
2016,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,17812.0
2021,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,21206.0
2020,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,20219.0
2014,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,16766.0
2011,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,17001.0
2015,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,17448.0
2019,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,19860.0
2017,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,18170.0
2013,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,16628.0
2018,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,18347.0
2009,Renta personal media,,Renta del trabajo,,,Urduliz,Euros,Urduliz,16620.0
2019,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,16838.0
2016,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,15462.0
2011,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,14759.0
2013,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,14605.0
2020,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,16651.0
2015,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,15520.0
2017,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,16114.0
2009,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,14580.0
2021,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,17255.0
2014,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,15722.0
2018,Renta personal media,,Renta del trabajo,,,Urduña/Orduña,Euros,Urduña/Orduña,15882.0
2017,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,16870.0
2020,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,17652.0
2016,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,16741.0
2009,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,17579.0
2019,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,18031.0
2018,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,16799.0
2011,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,17132.0
2015,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,16992.0
2021,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,18466.0
2013,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,16999.0
2014,Renta personal media,,Renta del trabajo,,,Urkabustaiz,Euros,Urkabustaiz,16745.0
2011,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,16419.0
2017,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,17114.0
2021,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,18360.0
2015,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,16183.0
2013,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,15719.0
2014,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,15718.0
2016,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,16391.0
2009,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,16283.0
2020,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,18138.0
2019,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,17984.0
2018,Renta personal media,,Renta del trabajo,,,Urnieta,Euros,Urnieta,17314.0
2021,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,20210.0
2011,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,17542.0
2015,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,17784.0
2014,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,16599.0
2020,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,19480.0
2009,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,17403.0
2016,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,18585.0
2018,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,18690.0
2017,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,18723.0
2013,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,16668.0
2019,Renta personal media,,Renta del trabajo,,,Urretxu,Euros,Urretxu,19592.0
2018,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,18922.0
2009,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,17565.0
2019,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,20054.0
2015,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,17428.0
2014,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,16579.0
2017,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,18390.0
2021,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,19730.0
2013,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,16697.0
2020,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,19562.0
2011,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,17445.0
2016,Renta personal media,,Renta del trabajo,,,Usurbil,Euros,Usurbil,17639.0
2011,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,16696.0
2014,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,14981.0
2009,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,15960.0
2020,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,16709.0
2013,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,15167.0
2021,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,17845.0
2015,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,15326.0
2019,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,16266.0
2017,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,15810.0
2018,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,15865.0
2016,Renta personal media,,Renta del trabajo,,,Valdegovía/Gaubea,Euros,Valdegovía/Gaubea,15772.0
2018,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,15284.0
2017,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,15071.0
2015,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,14378.0
2019,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,16213.0
2011,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,14424.0
2020,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,16342.0
2021,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,16820.0
2014,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,14240.0
2013,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,14023.0
2009,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,14761.0
2016,Renta personal media,,Renta del trabajo,,,Valle de Trápaga-Trapagaran,Euros,Valle de Trápaga-Trapagaran,14566.0
2013,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,15635.0
2009,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,16087.0
2019,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,17570.0
2016,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,16176.0
2020,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,18016.0
2018,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,17491.0
2021,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,18329.0
2017,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,16385.0
2015,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,15615.0
2014,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,15159.0
2011,Renta personal media,,Renta del trabajo,,,Villabona,Euros,Villabona,16172.0
2017,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,13951.0
2019,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,13800.0
2015,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,13678.0
2021,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,12961.0
2016,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,13475.0
2009,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,13482.0
2011,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,11445.0
2018,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,12565.0
2014,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,12070.0
2020,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,12822.0
2013,Renta personal media,,Renta del trabajo,,,Villabuena de Álava/Eskuernaga,Euros,Villabuena de Álava/Eskuernaga,10737.0
2015,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,16808.0
2013,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,16586.0
2018,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,17704.0
2017,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,17245.0
2009,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,17137.0
2021,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,18769.0
2020,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,18180.0
2016,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,16848.0
2019,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,18391.0
2014,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,16486.0
2011,Renta personal media,,Renta del trabajo,,,Vitoria-Gasteiz,Euros,Vitoria-Gasteiz,17453.0
2016,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,13780.0
2009,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,11768.0
2021,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,13982.0
2018,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,16129.0
2015,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,13319.0
2019,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,15261.0
2014,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,13614.0
2017,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,14986.0
2013,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,12628.0
2020,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,13903.0
2011,Renta personal media,,Renta del trabajo,,,Yécora/Iekora,Euros,Yécora/Iekora,10617.0
2017,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,18182.0
2021,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,19383.0
2013,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,17335.0
2018,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,18158.0
2019,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,19416.0
2020,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,18623.0
2009,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,15971.0
2016,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,18696.0
2011,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,16908.0
2015,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,17377.0
2014,Renta personal media,,Renta del trabajo,,,Zaldibar,Euros,Zaldibar,17194.0
2013,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,17225.0
2009,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,16691.0
2011,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,17144.0
2018,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,18923.0
2014,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,17373.0
2019,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,20194.0
2016,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,18331.0
2015,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,17604.0
2020,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,20145.0
2017,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,18590.0
2021,Renta personal media,,Renta del trabajo,,,Zaldibia,Euros,Zaldibia,20232.0
2020,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,21177.0
2016,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,20136.0
2011,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,23930.0
2015,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,18716.0
2019,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,19836.0
2013,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,18357.0
2009,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,17611.0
2018,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,19488.0
2021,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,21715.0
2014,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,19060.0
2017,Renta personal media,,Renta del trabajo,,,Zalduondo,Euros,Zalduondo,18647.0
2020,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,17022.0
2021,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,17676.0
2018,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,15787.0
2016,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,14896.0
2014,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,14292.0
2019,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,16934.0
2015,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,14630.0
2009,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,14880.0
2017,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,15587.0
2013,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,14230.0
2011,Renta personal media,,Renta del trabajo,,,Zalla,Euros,Zalla,14589.0
2016,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,14881.0
2009,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,16178.0
2018,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,15682.0
2015,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,14450.0
2017,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,14242.0
2011,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,14331.0
2020,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,15911.0
2019,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,15393.0
2013,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,15140.0
2021,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,16644.0
2014,Renta personal media,,Renta del trabajo,,,Zambrana,Euros,Zambrana,14564.0
2009,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,15878.0
2017,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,17140.0
2021,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,18721.0
2011,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,16096.0
2014,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,15819.0
2018,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,16827.0
2016,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,17081.0
2020,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,17830.0
2013,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,16143.0
2019,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,17719.0
2015,Renta personal media,,Renta del trabajo,,,Zamudio,Euros,Zamudio,16334.0
2018,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,16013.0
2020,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,16684.0
2016,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,15721.0
2011,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,15462.0
2021,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,17515.0
2019,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,16648.0
2017,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,15965.0
2009,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,16176.0
2013,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,14573.0
2014,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,14685.0
2015,Renta personal media,,Renta del trabajo,,,Zaratamo,Euros,Zaratamo,15170.0
2020,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,21088.0
2015,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,18037.0
2021,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,21720.0
2018,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,19788.0
2011,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,18040.0
2016,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,18536.0
2009,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,17977.0
2019,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,20696.0
2017,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,19217.0
2013,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,16993.0
2014,Renta personal media,,Renta del trabajo,,,Zarautz,Euros,Zarautz,17091.0
2019,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,21204.0
2014,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,18410.0
2017,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,19575.0
2013,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,18371.0
2021,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,21202.0
2015,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,18501.0
2018,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,19361.0
2011,Renta personal media,,Renta del trabajo,,,Zeanuri,Euros,Zeanuri,17732.0
