Year,Zerbitzu publikoak,Sexua,Lurralde historikoa,Units,Value
2020,Justizia-administrazioa,Gizona,Bizkaia,PT,14.8
2017,Justizia-administrazioa,Gizona,Bizkaia,PT,10.5
2018,Justizia-administrazioa,Gizona,Bizkaia,PT,31.0
2021,Justizia-administrazioa,Gizona,Bizkaia,PT,18.8
2022,Justizia-administrazioa,Gizona,Bizkaia,PT,32.0
2023,Justizia-administrazioa,Gizona,Bizkaia,PT,28.9
2016,Justizia-administrazioa,Gizona,Bizkaia,PT,12.5
2019,Justizia-administrazioa,Gizona,Bizkaia,PT,16.7
2016,Justizia-administrazioa,Gizona,Gipuzkoa,PT,5.3
2018,Justizia-administrazioa,Gizona,Gipuzkoa,PT,13.6
2019,Justizia-administrazioa,Gizona,Gipuzkoa,PT,28.6
2020,Justizia-administrazioa,Gizona,Gipuzkoa,PT,20.0
2021,Justizia-administrazioa,Gizona,Gipuzkoa,PT,28.9
2022,Justizia-administrazioa,Gizona,Gipuzkoa,PT,20.7
2023,Justizia-administrazioa,Gizona,Gipuzkoa,PT,16.6
2017,Justizia-administrazioa,Gizona,Gipuzkoa,PT,8.3
2012,Herritarren segurtasuna,,,PT,59.3
2015,Herritarren segurtasuna,,,PT,60.2
2011,Herritarren segurtasuna,,,PT,32.2
2023,Herritarren segurtasuna,,,PT,59.5
2013,Herritarren segurtasuna,,,PT,53.6
2021,Herritarren segurtasuna,,,PT,61.5
2014,Herritarren segurtasuna,,,PT,46.1
2017,Herritarren segurtasuna,,,PT,66.9
2018,Herritarren segurtasuna,,,PT,72.6
2020,Herritarren segurtasuna,,,PT,55.3
2022,Herritarren segurtasuna,,,PT,56.2
2016,Herritarren segurtasuna,,,PT,61.7
2019,Herritarren segurtasuna,,,PT,60.2
2016,Herritarren segurtasuna,,Araba / Álava,PT,57.9
2018,Herritarren segurtasuna,,Araba / Álava,PT,73.7
2019,Herritarren segurtasuna,,Araba / Álava,PT,92.3
2017,Herritarren segurtasuna,,Araba / Álava,PT,80.8
2021,Herritarren segurtasuna,,Araba / Álava,PT,53.1
2023,Herritarren segurtasuna,,Araba / Álava,PT,65.7
2020,Herritarren segurtasuna,,Araba / Álava,PT,56.0
2022,Herritarren segurtasuna,,Araba / Álava,PT,37.0
2019,Herritarren segurtasuna,,Bizkaia,PT,50.0
2022,Herritarren segurtasuna,,Bizkaia,PT,69.7
2016,Herritarren segurtasuna,,Bizkaia,PT,60.0
2017,Herritarren segurtasuna,,Bizkaia,PT,51.1
2020,Herritarren segurtasuna,,Bizkaia,PT,56.9
2021,Herritarren segurtasuna,,Bizkaia,PT,72.2
2023,Herritarren segurtasuna,,Bizkaia,PT,61.4
2018,Herritarren segurtasuna,,Bizkaia,PT,67.9
2016,Herritarren segurtasuna,,Gipuzkoa,PT,65.2
2017,Herritarren segurtasuna,,Gipuzkoa,PT,74.5
2022,Herritarren segurtasuna,,Gipuzkoa,PT,53.8
2023,Herritarren segurtasuna,,Gipuzkoa,PT,56.0
2019,Herritarren segurtasuna,,Gipuzkoa,PT,60.7
2021,Herritarren segurtasuna,,Gipuzkoa,PT,57.2
2018,Herritarren segurtasuna,,Gipuzkoa,PT,77.8
2020,Herritarren segurtasuna,,Gipuzkoa,PT,53.6
2021,Herritarren segurtasuna,Emakumea,,PT,58.0
2022,Herritarren segurtasuna,Emakumea,,PT,51.7
2017,Herritarren segurtasuna,Emakumea,,PT,62.7
2018,Herritarren segurtasuna,Emakumea,,PT,62.5
2019,Herritarren segurtasuna,Emakumea,,PT,58.3
2020,Herritarren segurtasuna,Emakumea,,PT,50.0
2016,Herritarren segurtasuna,Emakumea,,PT,56.9
2023,Herritarren segurtasuna,Emakumea,,PT,56.4
2018,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,70.0
2016,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,44.4
2017,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,75.0
2019,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,83.3
2020,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,57.1
2021,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,33.4
2022,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,25.8
2023,Herritarren segurtasuna,Emakumea,Araba / Álava,PT,70.7
2016,Herritarren segurtasuna,Emakumea,Bizkaia,PT,50.0
2017,Herritarren segurtasuna,Emakumea,Bizkaia,PT,44.0
2020,Herritarren segurtasuna,Emakumea,Bizkaia,PT,50.0
2021,Herritarren segurtasuna,Emakumea,Bizkaia,PT,66.4
2023,Herritarren segurtasuna,Emakumea,Bizkaia,PT,51.2
2022,Herritarren segurtasuna,Emakumea,Bizkaia,PT,62.8
2018,Herritarren segurtasuna,Emakumea,Bizkaia,PT,47.8
2019,Herritarren segurtasuna,Emakumea,Bizkaia,PT,43.5
2016,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,68.0
2017,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,77.3
2019,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,64.5
2021,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,56.2
2023,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,56.1
2022,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,52.0
2020,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,46.7
2018,Herritarren segurtasuna,Emakumea,Gipuzkoa,PT,73.9
2020,Herritarren segurtasuna,Gizona,,PT,60.9
2019,Herritarren segurtasuna,Gizona,,PT,62.1
2017,Herritarren segurtasuna,Gizona,,PT,71.2
2022,Herritarren segurtasuna,Gizona,,PT,60.6
2023,Herritarren segurtasuna,Gizona,,PT,62.9
2018,Herritarren segurtasuna,Gizona,,PT,82.0
2021,Herritarren segurtasuna,Gizona,,PT,65.6
2016,Herritarren segurtasuna,Gizona,,PT,66.7
2019,Herritarren segurtasuna,Gizona,Araba / Álava,PT,100.0
2016,Herritarren segurtasuna,Gizona,Araba / Álava,PT,70.0
2018,Herritarren segurtasuna,Gizona,Araba / Álava,PT,77.8
2021,Herritarren segurtasuna,Gizona,Araba / Álava,PT,65.6
2023,Herritarren segurtasuna,Gizona,Araba / Álava,PT,62.6
2017,Herritarren segurtasuna,Gizona,Araba / Álava,PT,85.7
2020,Herritarren segurtasuna,Gizona,Araba / Álava,PT,54.5
2022,Herritarren segurtasuna,Gizona,Araba / Álava,PT,49.0
2020,Herritarren segurtasuna,Gizona,Bizkaia,PT,63.0
2022,Herritarren segurtasuna,Gizona,Bizkaia,PT,78.5
2017,Herritarren segurtasuna,Gizona,Bizkaia,PT,60.0
2018,Herritarren segurtasuna,Gizona,Bizkaia,PT,83.3
2019,Herritarren segurtasuna,Gizona,Bizkaia,PT,57.1
2021,Herritarren segurtasuna,Gizona,Bizkaia,PT,80.0
2016,Herritarren segurtasuna,Gizona,Bizkaia,PT,69.2
2023,Herritarren segurtasuna,Gizona,Bizkaia,PT,76.3
2016,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,61.9
2017,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,72.0
2018,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,81.8
2019,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,56.7
2020,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,61.5
2021,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,58.4
2022,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,55.2
2023,Herritarren segurtasuna,Gizona,Gipuzkoa,PT,55.8
2016,Gizarte zerbitzuak,,,PT,60.2
2013,Gizarte zerbitzuak,,,PT,32.7
2023,Gizarte zerbitzuak,,,PT,62.2
2019,Gizarte zerbitzuak,,,PT,57.5
2014,Gizarte zerbitzuak,,,PT,30.3
2022,Gizarte zerbitzuak,,,PT,51.6
2017,Gizarte zerbitzuak,,,PT,57.1
2011,Gizarte zerbitzuak,,,PT,35.2
2020,Gizarte zerbitzuak,,,PT,58.3
2015,Gizarte zerbitzuak,,,PT,36.4
2018,Gizarte zerbitzuak,,,PT,60.5
2012,Gizarte zerbitzuak,,,PT,47.6
2021,Gizarte zerbitzuak,,,PT,59.6
2023,Gizarte zerbitzuak,,Araba / Álava,PT,62.9
2022,Gizarte zerbitzuak,,Araba / Álava,PT,53.5
2019,Gizarte zerbitzuak,,Araba / Álava,PT,78.6
2020,Gizarte zerbitzuak,,Araba / Álava,PT,44.0
2018,Gizarte zerbitzuak,,Araba / Álava,PT,73.7
2021,Gizarte zerbitzuak,,Araba / Álava,PT,50.4
2017,Gizarte zerbitzuak,,Araba / Álava,PT,69.2
2016,Gizarte zerbitzuak,,Araba / Álava,PT,66.7
2023,Gizarte zerbitzuak,,Bizkaia,PT,53.9
2022,Gizarte zerbitzuak,,Bizkaia,PT,60.1
2021,Gizarte zerbitzuak,,Bizkaia,PT,57.2
2017,Gizarte zerbitzuak,,Bizkaia,PT,34.1
2019,Gizarte zerbitzuak,,Bizkaia,PT,48.7
2018,Gizarte zerbitzuak,,Bizkaia,PT,48.1
2020,Gizarte zerbitzuak,,Bizkaia,PT,65.3
2016,Gizarte zerbitzuak,,Bizkaia,PT,42.9
2022,Gizarte zerbitzuak,,Gipuzkoa,PT,46.0
2023,Gizarte zerbitzuak,,Gipuzkoa,PT,67.1
2019,Gizarte zerbitzuak,,Gipuzkoa,PT,58.3
2021,Gizarte zerbitzuak,,Gipuzkoa,PT,62.5
2017,Gizarte zerbitzuak,,Gipuzkoa,PT,71.1
2016,Gizarte zerbitzuak,,Gipuzkoa,PT,74.4
2020,Gizarte zerbitzuak,,Gipuzkoa,PT,58.5
2018,Gizarte zerbitzuak,,Gipuzkoa,PT,69.8
2019,Gizarte zerbitzuak,Emakumea,,PT,54.2
2017,Gizarte zerbitzuak,Emakumea,,PT,52.6
2022,Gizarte zerbitzuak,Emakumea,,PT,48.1
2020,Gizarte zerbitzuak,Emakumea,,PT,54.7
2016,Gizarte zerbitzuak,Emakumea,,PT,50.0
2018,Gizarte zerbitzuak,Emakumea,,PT,51.9
2023,Gizarte zerbitzuak,Emakumea,,PT,54.9
2021,Gizarte zerbitzuak,Emakumea,,PT,58.5
2016,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,55.6
2023,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,73.0
2022,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,38.6
2017,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,75.0
2018,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,66.7
2019,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,100.0
2020,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,40.0
2021,Gizarte zerbitzuak,Emakumea,Araba / Álava,PT,28.9
2021,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,50.4
2019,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,36.4
2016,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,22.7
2017,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,29.2
2018,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,36.4
2020,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,63.6
2022,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,59.8
2023,Gizarte zerbitzuak,Emakumea,Bizkaia,PT,39.4
2023,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,60.3
2016,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,72.0
2020,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,55.6
2017,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,66.7
2018,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,61.9
2019,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,58.1
2021,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,66.5
2022,Gizarte zerbitzuak,Emakumea,Gipuzkoa,PT,42.4
2019,Gizarte zerbitzuak,Gizona,,PT,61.1
2018,Gizarte zerbitzuak,Gizona,,PT,67.7
2022,Gizarte zerbitzuak,Gizona,,PT,54.8
2017,Gizarte zerbitzuak,Gizona,,PT,61.8
2020,Gizarte zerbitzuak,Gizona,,PT,61.9
2023,Gizarte zerbitzuak,Gizona,,PT,70.6
2021,Gizarte zerbitzuak,Gizona,,PT,60.9
2016,Gizarte zerbitzuak,Gizona,,PT,72.3
2022,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,69.4
2016,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,77.8
2018,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,80.0
2019,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,62.5
2020,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,50.0
2023,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,56.8
2021,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,62.9
2017,Gizarte zerbitzuak,Gizona,Araba / Álava,PT,64.3
2019,Gizarte zerbitzuak,Gizona,Bizkaia,PT,64.7
2017,Gizarte zerbitzuak,Gizona,Bizkaia,PT,41.2
2018,Gizarte zerbitzuak,Gizona,Bizkaia,PT,56.7
2020,Gizarte zerbitzuak,Gizona,Bizkaia,PT,66.7
2021,Gizarte zerbitzuak,Gizona,Bizkaia,PT,67.0
2023,Gizarte zerbitzuak,Gizona,Bizkaia,PT,75.9
2016,Gizarte zerbitzuak,Gizona,Bizkaia,PT,65.0
2022,Gizarte zerbitzuak,Gizona,Bizkaia,PT,60.4
2016,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,77.8
2017,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,75.0
2018,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,77.3
2019,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,58.6
2021,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,57.1
2022,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,48.5
2023,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,75.2
2020,Gizarte zerbitzuak,Gizona,Gipuzkoa,PT,61.5
2014,Garraio publikoa,,,PT,72.6
2019,Garraio publikoa,,,PT,86.3
2016,Garraio publikoa,,,PT,83.9
2022,Garraio publikoa,,,PT,81.0
2017,Garraio publikoa,,,PT,87.9
2012,Garraio publikoa,,,PT,78.0
2018,Garraio publikoa,,,PT,83.1
2015,Garraio publikoa,,,PT,83.2
2021,Garraio publikoa,,,PT,85.2
2013,Garraio publikoa,,,PT,70.2
2011,Garraio publikoa,,,PT,78.1
2020,Garraio publikoa,,,PT,82.9
2023,Garraio publikoa,,,PT,81.2
2022,Garraio publikoa,,Araba / Álava,PT,63.6
2017,Garraio publikoa,,Araba / Álava,PT,88.0
2016,Garraio publikoa,,Araba / Álava,PT,68.4
2021,Garraio publikoa,,Araba / Álava,PT,83.4
2019,Garraio publikoa,,Araba / Álava,PT,78.6
2023,Garraio publikoa,,Araba / Álava,PT,82.9
2020,Garraio publikoa,,Araba / Álava,PT,72.0
2018,Garraio publikoa,,Araba / Álava,PT,76.5
2017,Garraio publikoa,,Bizkaia,PT,86.0
2021,Garraio publikoa,,Bizkaia,PT,72.7
2020,Garraio publikoa,,Bizkaia,PT,88.0
2019,Garraio publikoa,,Bizkaia,PT,86.0
2016,Garraio publikoa,,Bizkaia,PT,90.0
2023,Garraio publikoa,,Bizkaia,PT,74.2
2018,Garraio publikoa,,Bizkaia,PT,80.0
2022,Garraio publikoa,,Bizkaia,PT,77.5
2023,Garraio publikoa,,Gipuzkoa,PT,84.6
2020,Garraio publikoa,,Gipuzkoa,PT,83.3
2017,Garraio publikoa,,Gipuzkoa,PT,89.6
2018,Garraio publikoa,,Gipuzkoa,PT,89.1
2021,Garraio publikoa,,Gipuzkoa,PT,91.8
2016,Garraio publikoa,,Gipuzkoa,PT,83.7
2019,Garraio publikoa,,Gipuzkoa,PT,88.3
2022,Garraio publikoa,,Gipuzkoa,PT,87.9
2019,Garraio publikoa,Emakumea,,PT,87.1
2023,Garraio publikoa,Emakumea,,PT,80.8
2021,Garraio publikoa,Emakumea,,PT,83.7
2022,Garraio publikoa,Emakumea,,PT,78.0
2020,Garraio publikoa,Emakumea,,PT,83.3
2016,Garraio publikoa,Emakumea,,PT,86.9
2018,Garraio publikoa,Emakumea,,PT,86.0
2017,Garraio publikoa,Emakumea,,PT,86.2
2020,Garraio publikoa,Emakumea,Araba / Álava,PT,76.9
2022,Garraio publikoa,Emakumea,Araba / Álava,PT,58.8
2023,Garraio publikoa,Emakumea,Araba / Álava,PT,72.3
2018,Garraio publikoa,Emakumea,Araba / Álava,PT,87.5
2019,Garraio publikoa,Emakumea,Araba / Álava,PT,66.7
2021,Garraio publikoa,Emakumea,Araba / Álava,PT,70.9
2016,Garraio publikoa,Emakumea,Araba / Álava,PT,66.7
2017,Garraio publikoa,Emakumea,Araba / Álava,PT,81.8
2017,Garraio publikoa,Emakumea,Bizkaia,PT,78.3
2016,Garraio publikoa,Emakumea,Bizkaia,PT,91.7
2019,Garraio publikoa,Emakumea,Bizkaia,PT,82.6
2020,Garraio publikoa,Emakumea,Bizkaia,PT,87.5
2022,Garraio publikoa,Emakumea,Bizkaia,PT,74.6
2018,Garraio publikoa,Emakumea,Bizkaia,PT,76.0
2023,Garraio publikoa,Emakumea,Bizkaia,PT,73.9
2021,Garraio publikoa,Emakumea,Bizkaia,PT,68.4
2023,Garraio publikoa,Emakumea,Gipuzkoa,PT,87.4
2017,Garraio publikoa,Emakumea,Gipuzkoa,PT,95.8
2021,Garraio publikoa,Emakumea,Gipuzkoa,PT,92.6
2016,Garraio publikoa,Emakumea,Gipuzkoa,PT,89.3
2018,Garraio publikoa,Emakumea,Gipuzkoa,PT,95.8
2019,Garraio publikoa,Emakumea,Gipuzkoa,PT,93.9
2020,Garraio publikoa,Emakumea,Gipuzkoa,PT,82.8
2022,Garraio publikoa,Emakumea,Gipuzkoa,PT,86.0
2022,Garraio publikoa,Gizona,,PT,84.2
2020,Garraio publikoa,Gizona,,PT,82.5
2018,Garraio publikoa,Gizona,,PT,80.3
2016,Garraio publikoa,Gizona,,PT,80.7
2019,Garraio publikoa,Gizona,,PT,85.5
2021,Garraio publikoa,Gizona,,PT,86.9
2017,Garraio publikoa,Gizona,,PT,89.7
2023,Garraio publikoa,Gizona,,PT,81.8
2019,Garraio publikoa,Gizona,Araba / Álava,PT,87.5
2021,Garraio publikoa,Gizona,Araba / Álava,PT,91.4
2018,Garraio publikoa,Gizona,Araba / Álava,PT,66.7
2022,Garraio publikoa,Gizona,Araba / Álava,PT,68.6
2016,Garraio publikoa,Gizona,Araba / Álava,PT,70.0
2020,Garraio publikoa,Gizona,Araba / Álava,PT,66.7
2023,Garraio publikoa,Gizona,Araba / Álava,PT,89.8
2017,Garraio publikoa,Gizona,Araba / Álava,PT,92.9
2016,Garraio publikoa,Gizona,Bizkaia,PT,88.5
2018,Garraio publikoa,Gizona,Bizkaia,PT,83.3
2019,Garraio publikoa,Gizona,Bizkaia,PT,90.0
2020,Garraio publikoa,Gizona,Bizkaia,PT,88.5
2022,Garraio publikoa,Gizona,Bizkaia,PT,81.1
2023,Garraio publikoa,Gizona,Bizkaia,PT,74.8
2021,Garraio publikoa,Gizona,Bizkaia,PT,77.6
2017,Garraio publikoa,Gizona,Bizkaia,PT,95.0
2019,Garraio publikoa,Gizona,Gipuzkoa,PT,81.5
2016,Garraio publikoa,Gizona,Gipuzkoa,PT,76.2
2017,Garraio publikoa,Gizona,Gipuzkoa,PT,83.3
2018,Garraio publikoa,Gizona,Gipuzkoa,PT,81.8
2020,Garraio publikoa,Gizona,Gipuzkoa,PT,84.0
2022,Garraio publikoa,Gizona,Gipuzkoa,PT,89.6
2023,Garraio publikoa,Gizona,Gipuzkoa,PT,81.4
2021,Garraio publikoa,Gizona,Gipuzkoa,PT,90.8
2019,Herri-lanak,,,PT,65.2
2022,Herri-lanak,,,PT,51.2
2013,Herri-lanak,,,PT,50.0
2012,Herri-lanak,,,PT,57.3
2017,Herri-lanak,,,PT,66.4
2014,Herri-lanak,,,PT,52.3
2018,Herri-lanak,,,PT,62.8
2016,Herri-lanak,,,PT,58.2
2011,Herri-lanak,,,PT,59.8
2023,Herri-lanak,,,PT,66.5
2020,Herri-lanak,,,PT,56.9
2021,Herri-lanak,,,PT,63.4
2015,Herri-lanak,,,PT,55.0
2021,Herri-lanak,,Araba / Álava,PT,29.2
2020,Herri-lanak,,Araba / Álava,PT,51.9
2018,Herri-lanak,,Araba / Álava,PT,47.4
2019,Herri-lanak,,Araba / Álava,PT,64.3
2022,Herri-lanak,,Araba / Álava,PT,33.5
2016,Herri-lanak,,Araba / Álava,PT,52.6
2023,Herri-lanak,,Araba / Álava,PT,59.5
2017,Herri-lanak,,Araba / Álava,PT,72.0
2017,Herri-lanak,,Bizkaia,PT,76.2
2019,Herri-lanak,,Bizkaia,PT,64.3
2023,Herri-lanak,,Bizkaia,PT,52.7
2021,Herri-lanak,,Bizkaia,PT,65.8
2018,Herri-lanak,,Bizkaia,PT,72.5
2022,Herri-lanak,,Bizkaia,PT,51.0
2016,Herri-lanak,,Bizkaia,PT,54.3
2020,Herri-lanak,,Bizkaia,PT,68.1
2021,Herri-lanak,,Gipuzkoa,PT,68.3
2017,Herri-lanak,,Gipuzkoa,PT,54.3
2018,Herri-lanak,,Gipuzkoa,PT,58.1
2019,Herri-lanak,,Gipuzkoa,PT,66.1
2022,Herri-lanak,,Gipuzkoa,PT,56.4
2016,Herri-lanak,,Gipuzkoa,PT,64.4
2023,Herri-lanak,,Gipuzkoa,PT,77.7
2020,Herri-lanak,,Gipuzkoa,PT,50.0
2020,Herri-lanak,Emakumea,,PT,52.3
2019,Herri-lanak,Emakumea,,PT,62.5
2022,Herri-lanak,Emakumea,,PT,51.1
2023,Herri-lanak,Emakumea,,PT,64.1
2017,Herri-lanak,Emakumea,,PT,66.1
2021,Herri-lanak,Emakumea,,PT,64.0
2018,Herri-lanak,Emakumea,,PT,56.6
2016,Herri-lanak,Emakumea,,PT,56.4
2017,Herri-lanak,Emakumea,Araba / Álava,PT,45.5
2016,Herri-lanak,Emakumea,Araba / Álava,PT,55.6
2018,Herri-lanak,Emakumea,Araba / Álava,PT,50.0
2019,Herri-lanak,Emakumea,Araba / Álava,PT,66.7
2020,Herri-lanak,Emakumea,Araba / Álava,PT,53.3
2022,Herri-lanak,Emakumea,Araba / Álava,PT,30.4
2023,Herri-lanak,Emakumea,Araba / Álava,PT,61.4
2021,Herri-lanak,Emakumea,Araba / Álava,PT,15.4
2022,Herri-lanak,Emakumea,Bizkaia,PT,52.5
2019,Herri-lanak,Emakumea,Bizkaia,PT,52.2
2021,Herri-lanak,Emakumea,Bizkaia,PT,72.9
2020,Herri-lanak,Emakumea,Bizkaia,PT,60.0
2016,Herri-lanak,Emakumea,Bizkaia,PT,38.1
2018,Herri-lanak,Emakumea,Bizkaia,PT,63.6
2023,Herri-lanak,Emakumea,Bizkaia,PT,46.1
2017,Herri-lanak,Emakumea,Bizkaia,PT,78.3
2017,Herri-lanak,Emakumea,Gipuzkoa,PT,63.6
2016,Herri-lanak,Emakumea,Gipuzkoa,PT,72.0
2018,Herri-lanak,Emakumea,Gipuzkoa,PT,52.4
2019,Herri-lanak,Emakumea,Gipuzkoa,PT,70.4
2020,Herri-lanak,Emakumea,Gipuzkoa,PT,46.7
2022,Herri-lanak,Emakumea,Gipuzkoa,PT,56.9
2023,Herri-lanak,Emakumea,Gipuzkoa,PT,77.3
2021,Herri-lanak,Emakumea,Gipuzkoa,PT,65.0
2019,Herri-lanak,Gizona,,PT,67.9
2021,Herri-lanak,Gizona,,PT,62.8
2016,Herri-lanak,Gizona,,PT,60.0
2022,Herri-lanak,Gizona,,PT,51.3
2020,Herri-lanak,Gizona,,PT,61.5
2017,Herri-lanak,Gizona,,PT,66.7
2023,Herri-lanak,Gizona,,PT,69.1
2018,Herri-lanak,Gizona,,PT,68.3
2019,Herri-lanak,Gizona,Araba / Álava,PT,62.5
2021,Herri-lanak,Gizona,Araba / Álava,PT,37.3
2023,Herri-lanak,Gizona,Araba / Álava,PT,58.4
2020,Herri-lanak,Gizona,Araba / Álava,PT,50.0
2016,Herri-lanak,Gizona,Araba / Álava,PT,50.0
2018,Herri-lanak,Gizona,Araba / Álava,PT,44.4
2022,Herri-lanak,Gizona,Araba / Álava,PT,36.6
2017,Herri-lanak,Gizona,Araba / Álava,PT,92.9
2016,Herri-lanak,Gizona,Bizkaia,PT,68.0
2017,Herri-lanak,Gizona,Bizkaia,PT,73.7
2018,Herri-lanak,Gizona,Bizkaia,PT,79.3
2019,Herri-lanak,Gizona,Bizkaia,PT,78.9
2020,Herri-lanak,Gizona,Bizkaia,PT,74.1
2021,Herri-lanak,Gizona,Bizkaia,PT,56.9
2022,Herri-lanak,Gizona,Bizkaia,PT,49.1
2023,Herri-lanak,Gizona,Bizkaia,PT,62.8
2017,Herri-lanak,Gizona,Gipuzkoa,PT,45.8
2016,Herri-lanak,Gizona,Gipuzkoa,PT,55.0
2018,Herri-lanak,Gizona,Gipuzkoa,PT,63.6
2020,Herri-lanak,Gizona,Gipuzkoa,PT,53.8
2022,Herri-lanak,Gizona,Gipuzkoa,PT,56.0
2023,Herri-lanak,Gizona,Gipuzkoa,PT,78.1
2021,Herri-lanak,Gizona,Gipuzkoa,PT,72.2
2019,Herri-lanak,Gizona,Gipuzkoa,PT,62.1
2023,Laguntza behar duten pertsonentzako laguntza,,,PT,38.7
2020,Laguntza behar duten pertsonentzako laguntza,,,PT,40.5
2019,Laguntza behar duten pertsonentzako laguntza,,,PT,42.2
2021,Laguntza behar duten pertsonentzako laguntza,,,PT,40.5
2011,Laguntza behar duten pertsonentzako laguntza,,,PT,37.3
2014,Laguntza behar duten pertsonentzako laguntza,,,PT,12.6
2016,Laguntza behar duten pertsonentzako laguntza,,,PT,27.0
2013,Laguntza behar duten pertsonentzako laguntza,,,PT,24.8
2022,Laguntza behar duten pertsonentzako laguntza,,,PT,40.8
2018,Laguntza behar duten pertsonentzako laguntza,,,PT,43.6
2012,Laguntza behar duten pertsonentzako laguntza,,,PT,28.7
2015,Laguntza behar duten pertsonentzako laguntza,,,PT,22.3
2017,Laguntza behar duten pertsonentzako laguntza,,,PT,29.8
2023,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,36.6
2021,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,41.0
2019,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,66.7
2022,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,49.4
2016,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,6.7
2018,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,37.5
2020,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,46.4
2017,Laguntza behar duten pertsonentzako laguntza,,Araba / Álava,PT,13.0
2020,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,34.8
2016,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,23.8
2019,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,30.8
2022,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,41.1
2018,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,46.5
2021,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,47.9
2017,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,25.6
2023,Laguntza behar duten pertsonentzako laguntza,,Bizkaia,PT,43.5
2022,Laguntza behar duten pertsonentzako laguntza,,Gipuzkoa,PT,38.0
2017,Laguntza behar duten pertsonentzako laguntza,,Gipuzkoa,PT,42.9
