Year,Tipo de valor,Territorio,Comarca,Municipio,Units,GeoCode,Serie,Value
2015,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,Valor añadido del sector manufacturo,7378.2
2018,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,Valor añadido del sector manufacturo,8193.9
2014,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,Valor añadido del sector manufacturo en proporción al PIB,31.5
2014,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,Valor añadido del sector manufacturo,7577.5
2021,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,Valor añadido del sector manufacturo,6888.4
2016,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,Valor añadido del sector manufacturo en proporción al PIB,32.0
2015,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,Valor añadido del sector manufacturo en proporción al PIB,30.6
2021,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,Valor añadido del sector manufacturo en proporción al PIB,30.3
2017,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,Valor añadido del sector manufacturo en proporción al PIB,29.5
2020,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,Valor añadido del sector manufacturo en proporción al PIB,31.5
2014,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,45.0
2021,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,45.4
2016,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,12823.2
2017,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,41.2
2014,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,12621.2
2020,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,12771.4
2016,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,42.7
2018,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,47.2
2019,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,42.2
2021,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,16402.2
2017,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,12401.4
2015,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,12330.1
2018,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,16685.1
2015,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,43.4
2019,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,Valor añadido del sector manufacturo,14041.0
2020,Nominal,,,Azkoitia,Porcentaje,Azkoitia,Valor añadido del sector manufacturo en proporción al PIB,41.5
2021,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,31.2
2017,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,9128.9
2016,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,29.7
2019,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,27.6
2020,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,8654.4
2018,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,29.2
2016,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,9077.5
2018,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,10129.7
2014,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,29.5
2015,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,8395.7
2020,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,27.7
2015,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,28.9
2014,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,8261.8
2021,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,10124.7
2017,Nominal,,,Azpeitia,Porcentaje,Azpeitia,Valor añadido del sector manufacturo en proporción al PIB,28.9
2019,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,Valor añadido del sector manufacturo,9803.0
2014,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,378.1
2014,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,1.8
2018,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,2.7
2016,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,2.6
2017,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,616.2
2020,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,265.9
2019,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,501.3
2021,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,1.2
2020,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,1.5
2017,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,2.9
2015,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,392.3
2021,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,219.1
2016,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,511.6
2018,Nominal,,,Bakio,Euro per cápita,Bakio,Valor añadido del sector manufacturo,596.4
2019,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,2.4
2015,Nominal,,,Bakio,Porcentaje,Bakio,Valor añadido del sector manufacturo en proporción al PIB,2.0
2017,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,2.0
2018,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,2.0
2021,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,0.0
2019,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,0.0
2016,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,2.4
2016,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,410.8
2014,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,0.0
2020,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,0.0
2015,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,2.3
2014,Nominal,,,Baliarrain,Porcentaje,Baliarrain,Valor añadido del sector manufacturo en proporción al PIB,0.0
2021,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,0.0
2017,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,390.7
2020,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,0.0
2019,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,0.0
2018,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,378.7
2015,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,Valor añadido del sector manufacturo,389.1
2019,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2567.5
2020,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2127.2
2017,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2579.7
2014,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,3186.4
2021,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,14.0
2021,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2489.9
2019,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,13.4
2015,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,14.1
2015,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2788.5
2020,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,12.1
2016,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2764.0
2018,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,11.6
2014,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,17.8
2016,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,14.5
2017,Nominal,,,Balmaseda,Porcentaje,Balmaseda,Valor añadido del sector manufacturo en proporción al PIB,13.9
2018,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,Valor añadido del sector manufacturo,2065.8
2021,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,37.5
2019,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,42.4
2014,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,17279.3
2021,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,13210.2
2014,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,50.0
2017,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,20184.1
2020,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,34.9
2015,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,47.8
2018,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,23052.0
2018,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,43.5
2019,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,18347.8
2016,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,43.4
2016,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,21759.1
2017,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo en proporción al PIB,41.2
2020,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,10336.5
2015,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,Valor añadido del sector manufacturo,19725.7
2017,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,4.9
2019,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,4.3
2014,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,4.0
2018,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,4.3
2014,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,918.3
2021,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,3.5
2016,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,4.3
2015,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,3.6
2020,Nominal,,,Barakaldo,Porcentaje,Barakaldo,Valor añadido del sector manufacturo en proporción al PIB,3.8
2019,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,1088.2
2017,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,1185.4
2020,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,880.7
2021,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,851.5
2015,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,869.6
2016,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,1024.6
2018,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,Valor añadido del sector manufacturo,1061.6
2017,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,305.9
2019,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,0.3
2015,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,1.9
2014,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,327.6
2019,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,45.8
2020,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,0.1
2021,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,0.4
2018,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,81.0
2015,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,271.3
2020,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,11.5
2021,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,66.8
2018,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,0.6
2014,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,2.3
2016,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,1.3
2017,Nominal,,,Barrika,Porcentaje,Barrika,Valor añadido del sector manufacturo en proporción al PIB,2.1
2016,Nominal,,,Barrika,Euro per cápita,Barrika,Valor añadido del sector manufacturo,193.6
2021,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,406.4
2019,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,7.1
2021,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,2.7
2016,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,7.2
2016,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,1218.4
2015,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,1846.4
2014,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,860.2
2020,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,361.7
2019,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,1123.0
2015,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,10.3
2018,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,4.5
2018,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,777.6
2014,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,5.6
2017,Nominal,,,Barrundia,Euro per cápita,Barrundia,Valor añadido del sector manufacturo,903.8
2020,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,2.6
2017,Nominal,,,Barrundia,Porcentaje,Barrundia,Valor añadido del sector manufacturo en proporción al PIB,5.8
2020,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,16.9
2014,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,19.6
2019,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,19.0
2021,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,19.8
2018,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,6513.0
2015,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,5061.9
2016,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,5099.4
2020,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,4809.3
2021,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,6206.7
2019,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,6084.1
2015,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,18.5
2016,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,17.9
2017,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,18.9
2014,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,5368.7
2017,Nominal,,,Basauri,Euro per cápita,Basauri,Valor añadido del sector manufacturo,5621.7
2018,Nominal,,,Basauri,Porcentaje,Basauri,Valor añadido del sector manufacturo en proporción al PIB,20.6
2017,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,56.5
2016,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,53.1
2014,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,52.2
2019,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,37125.6
2015,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,53.0
2021,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,35957.3
2015,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,24038.4
2018,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,58.2
2017,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,29404.1
2018,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,36131.1
2020,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,58.9
2019,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,57.7
2020,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,33875.5
2014,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,22879.9
2021,Nominal,,,Beasain,Porcentaje,Beasain,Valor añadido del sector manufacturo en proporción al PIB,57.2
2016,Nominal,,,Beasain,Euro per cápita,Beasain,Valor añadido del sector manufacturo,24080.6
2021,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,39.5
2020,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,15290.0
2015,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,19225.4
2019,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,20794.1
2018,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,19126.8
2021,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,18475.4
2020,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,35.1
2015,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,45.6
2014,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,17889.2
2016,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,44.2
2017,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,40.7
2016,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,21282.6
2014,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,42.6
2019,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,39.1
2017,Nominal,,,Bedia,Euro per cápita,Bedia,Valor añadido del sector manufacturo,18783.0
2018,Nominal,,,Bedia,Porcentaje,Bedia,Valor añadido del sector manufacturo en proporción al PIB,40.9
2017,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,8.9
2017,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,2133.9
2016,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,9.6
2016,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,1928.3
2014,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,7.1
2014,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,1349.0
2020,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,4380.2
2015,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,1298.8
2019,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,2491.8
2019,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,10.9
2020,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,19.2
2018,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,9.9
2021,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,3834.8
2021,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,15.1
2018,Nominal,,,Beizama,Euro per cápita,Beizama,Valor añadido del sector manufacturo,2177.4
2015,Nominal,,,Beizama,Porcentaje,Beizama,Valor añadido del sector manufacturo en proporción al PIB,6.4
2018,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,64197.7
2020,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,58893.1
2017,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,63.9
2015,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,51288.2
2017,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,54978.6
2016,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,62.2
2021,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,63.3
2016,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,48627.5
2019,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,58042.4
2019,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,62.2
2014,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,55.0
2018,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,65.6
2021,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,59275.0
2020,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,63.4
2015,Nominal,,,Belauntza,Porcentaje,Belauntza,Valor añadido del sector manufacturo en proporción al PIB,64.8
2014,Nominal,,,Belauntza,Euro per cápita,Belauntza,Valor añadido del sector manufacturo,34470.1
2018,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,2743.1
2015,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,19.8
2019,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,16.0
2017,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,2636.2
2020,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,3628.3
2021,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,3193.1
2018,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,14.5
2019,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,3050.7
2016,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,3840.0
2021,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,11.6
2015,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,3857.6
2014,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,23.8
2020,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,19.9
2016,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,19.9
2017,Nominal,,,Berango,Porcentaje,Berango,Valor añadido del sector manufacturo en proporción al PIB,14.7
2014,Nominal,,,Berango,Euro per cápita,Berango,Valor añadido del sector manufacturo,4338.7
2019,Nominal,,,Berantevilla,Euro per cápita,Berantevilla,Valor añadido del sector manufacturo,122415.4
2018,Nominal,,,Berantevilla,Euro per cápita,Berantevilla,Valor añadido del sector manufacturo,106684.5
2016,Nominal,,,Berantevilla,Porcentaje,Berantevilla,Valor añadido del sector manufacturo en proporción al PIB,64.2
2016,Nominal,,,Berantevilla,Euro per cápita,Berantevilla,Valor añadido del sector manufacturo,97015.7
2020,Nominal,,,Berantevilla,Porcentaje,Berantevilla,Valor añadido del sector manufacturo en proporción al PIB,67.3
2019,Nominal,,,Berantevilla,Porcentaje,Berantevilla,Valor añadido del sector manufacturo en proporción al PIB,67.5
2020,Nominal,,,Berantevilla,Euro per cápita,Berantevilla,Valor añadido del sector manufacturo,91182.8
2014,Nominal,,,Berantevilla,Euro per cápita,Berantevilla,Valor añadido del sector manufacturo,102959.5
