Year,Series,Enfermedad no transmisible,Sexo,Territorio,Units,Value
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,282.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,293.5
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,276.2
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,280.5
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,277.0
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,274.4
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,285.3
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,285.9
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,Bizkaia,Por 100.000 habitantes,275.1
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,249.5
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,244.4
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,249.8
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,248.3
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,284.9
2015,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,244.0
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,250.3
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,230.9
2020,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,251.1
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,253.9
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,251.4
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,264.6
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,Por 100.000 habitantes,253.9
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,252.4
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,275.6
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,265.1
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,269.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,275.9
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,262.6
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,260.7
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,271.6
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,269.6
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,267.0
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,272.8
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,279.1
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,Por 100.000 habitantes,257.0
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,224.8
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,180.4
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,201.6
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,224.7
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,213.9
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,196.1
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,205.0
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,207.2
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,213.1
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,224.0
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,214.9
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,227.4
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,Por 100.000 habitantes,197.6
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,295.8
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,286.1
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,278.7
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,289.4
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,300.9
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,268.2
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,285.4
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,292.8
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,298.2
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,278.1
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,294.9
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,289.9
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,Por 100.000 habitantes,292.8
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,243.4
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,253.0
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,256.3
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,257.9
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,230.5
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,298.0
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,264.5
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,274.6
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,260.4
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,250.5
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,264.7
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,259.8
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Gipuzkoa,Por 100.000 habitantes,258.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,256.4
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,238.7
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,260.1
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,260.1
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,249.9
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,244.5
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,243.3
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,258.1
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,253.9
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,251.5
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,260.7
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,257.1
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,,Por 100.000 habitantes,252.9
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,222.8
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,234.1
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,208.2
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,197.2
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,212.8
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,200.9
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,195.5
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,186.7
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,221.5
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,215.5
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,213.4
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,203.3
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Araba/Álava,Por 100.000 habitantes,187.1
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,282.4
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,276.1
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,258.1
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,277.8
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,257.5
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,261.8
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,274.0
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,259.9
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,285.4
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,274.1
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,272.5
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,264.0
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Bizkaia,Por 100.000 habitantes,282.5
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,249.1
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,242.7
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,245.4
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,254.1
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,236.9
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,271.2
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,247.5
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,242.4
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,242.8
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,229.2
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,231.4
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,247.2
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Hombre,Gipuzkoa,Por 100.000 habitantes,238.3
2014,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,283.9
2019,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,277.6
2018,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,281.7
2021,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,276.7
2022,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,282.3
2017,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,282.4
2020,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,273.5
2013,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,272.0
2012,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,272.4
2016,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,281.6
2015,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,284.0
2011,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,279.1
2010,Tasa de mortalidad,Cáncer,,,Por 100.000 habitantes,267.5
2022,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,243.6
2020,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,224.1
2012,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,232.0
2011,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,257.9
2021,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,250.6
2014,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,234.3
2013,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,247.7
2016,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,250.5
2018,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,243.0
2010,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,224.0
2015,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,263.6
2017,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,268.7
2019,Tasa de mortalidad,Cáncer,,Araba/Álava,Por 100.000 habitantes,250.4
2022,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,301.6
2012,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,289.1
2010,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,287.6
2019,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,297.8
2016,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,303.7
2014,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,303.4
2020,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,292.3
2013,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,285.8
2018,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,293.8
2017,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,291.2
2011,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,291.5
2021,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,291.9
2015,Tasa de mortalidad,Cáncer,,Bizkaia,Por 100.000 habitantes,295.8
2017,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,274.4
2013,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,260.5
2014,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,274.9
2022,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,269.7
2016,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,260.3
2020,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,266.1
2011,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,268.4
2015,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,274.1
2012,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,263.6
2019,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,257.9
2010,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,254.3
2021,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,264.4
2018,Tasa de mortalidad,Cáncer,,Gipuzkoa,Por 100.000 habitantes,280.0
2012,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,193.8
2018,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,213.6
2010,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,195.2
2019,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,215.3
2022,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,228.0
2016,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,215.0
2015,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,218.4
2014,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,216.6
2017,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,215.4
2013,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,199.0
2021,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,220.5
2020,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,210.6
2011,Tasa de mortalidad,Cáncer,Mujer,,Por 100.000 habitantes,209.7
2016,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,177.2
2014,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,178.9
2013,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,177.8
2022,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,208.2
2018,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,168.7
2010,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,160.0
2020,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,178.0
2012,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,161.7
2017,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,206.4
2015,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,220.4
2011,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,174.2
2019,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,187.7
2021,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,Por 100.000 habitantes,202.8
2020,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,225.3
2013,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,206.0
2021,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,229.8
2014,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,231.8
2010,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,209.0
2022,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,245.7
2017,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,218.5
2012,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,205.2
2011,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,222.7
2016,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,234.5
2015,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,220.2
2019,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,226.5
2018,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,Por 100.000 habitantes,224.1
2010,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,188.0
2011,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,203.9
2019,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,209.8
2018,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,216.9
2013,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,196.9
2014,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,208.7
2017,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,214.6
2012,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,189.3
2015,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,214.6
2020,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,201.6
2016,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,200.2
2021,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,213.6
2022,Tasa de mortalidad,Cáncer,Mujer,Gipuzkoa,Por 100.000 habitantes,208.5
2018,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,353.9
2011,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,351.9
2022,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,340.1
2017,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,353.3
2016,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,352.1
2019,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,343.8
2013,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,348.9
2014,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,354.9
2010,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,343.2
2015,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,353.1
2021,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,336.3
2020,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,340.3
2012,Tasa de mortalidad,Cáncer,Hombre,,Por 100.000 habitantes,355.1
2014,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,291.0
2017,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,332.9
2022,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,280.3
2019,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,315.2
2018,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,319.7
2016,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,325.8
2021,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,300.1
2012,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,303.2
2020,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,271.8
2013,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,318.9
2011,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,342.1
2010,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,288.3
2015,Tasa de mortalidad,Cáncer,Hombre,Araba/Álava,Por 100.000 habitantes,307.9
2011,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,364.9
2022,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,361.8
2019,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,374.8
2013,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,371.4
2012,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,378.8
2014,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,380.3
2016,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,378.1
2017,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,369.6
2021,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,359.0
2020,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,364.7
2018,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,368.8
2010,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,371.3
2015,Tasa de mortalidad,Cáncer,Hombre,Bizkaia,Por 100.000 habitantes,377.0
2011,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,335.3
2018,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,346.0
2013,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,326.7
2015,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,336.2
2012,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,340.9
2022,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,333.9
2021,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,317.7
2017,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,337.0
2014,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,343.9
2010,Tasa de mortalidad,Cáncer,Hombre,Gipuzkoa,Por 100.000 habitantes,323.0
