Year,Edad,Nivel educativo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2016,10 años y más,Estudios primarios,,,Idiazabal,Porcentaje,Idiazabal,38.2
2010,10 años y más,Estudios primarios,,,Idiazabal,Porcentaje,Idiazabal,41.9
2014,10 años y más,Estudios primarios,,,Idiazabal,Porcentaje,Idiazabal,39.7
2018,10 años y más,Estudios primarios,,,Idiazabal,Porcentaje,Idiazabal,36.1
2021,10 años y más,Estudios primarios,,,Idiazabal,Porcentaje,Idiazabal,33.7
2013,10 años y más,Estudios primarios,,,Idiazabal,Porcentaje,Idiazabal,39.7
2021,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,34.1
2013,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,39.4
2019,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,35.2
2015,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,37.7
2020,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,34.4
2018,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,36.3
2014,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,38.6
2016,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,37.3
2010,10 años y más,Estudios primarios,,,Igorre,Porcentaje,Igorre,40.0
2021,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,31.5
2019,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,31.3
2016,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,33.9
2013,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,34.1
2018,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,33.2
2020,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,32.0
2014,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,33.4
2010,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,34.8
2015,10 años y más,Estudios primarios,,,Ikaztegieta,Porcentaje,Ikaztegieta,33.3
2019,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,31.6
2021,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,30.7
2020,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,31.1
2015,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,34.7
2018,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,32.8
2014,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,35.0
2010,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,36.6
2016,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,34.3
2013,10 años y más,Estudios primarios,,,Irun,Porcentaje,Irun,35.3
2016,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,37.4
2020,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,34.5
2013,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,38.8
2021,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,33.8
2014,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,38.3
2018,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,35.6
2010,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,41.1
2019,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,34.7
2015,10 años y más,Estudios primarios,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,38.3
2018,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,28.1
2014,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,29.2
2019,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,27.5
2015,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,29.9
2010,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,31.0
2021,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,26.2
2013,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,28.8
2020,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,26.3
2016,10 años y más,Estudios primarios,,,Irura,Porcentaje,Irura,29.6
2020,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,30.9
2014,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,40.7
2010,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,45.3
2018,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,34.4
2015,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,39.8
2013,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,42.1
2021,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,30.2
2016,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,37.9
2019,10 años y más,Estudios primarios,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,32.6
2019,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,35.9
2010,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,48.2
2018,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,38.6
2015,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,41.2
2014,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,42.7
2020,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,34.6
2016,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,40.3
2021,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,33.3
2013,10 años y más,Estudios primarios,,,Ispaster,Porcentaje,Ispaster,42.4
2013,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,33.1
2018,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,30.6
2016,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,33.5
2010,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,34.0
2015,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,31.8
2019,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,31.9
2014,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,33.2
2021,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,28.6
2020,10 años y más,Estudios primarios,,,Itsasondo,Porcentaje,Itsasondo,30.8
2010,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,45.2
2018,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,41.3
2016,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,43.5
2019,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,40.1
2015,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,43.2
2013,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,45.2
2021,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,39.6
2020,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,39.6
2014,10 años y más,Estudios primarios,,,Iurreta,Porcentaje,Iurreta,44.0
2015,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,32.4
2016,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,31.7
2013,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,31.6
2014,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,32.7
2020,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,30.3
2019,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,28.1
2018,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,27.1
2021,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,28.5
2010,10 años y más,Estudios primarios,,,Izurtza,Porcentaje,Izurtza,37.3
2021,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,43.1
2020,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,44.1
2014,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,52.1
2018,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,47.7
2015,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,51.7
2019,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,44.9
2010,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,54.6
2016,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,49.6
2013,10 años y más,Estudios primarios,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,52.3
2014,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,33.8
2015,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,32.9
2019,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,30.5
2013,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,35.2
2018,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,32.4
2016,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,33.8
2020,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,30.2
2010,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,38.6
2021,10 años y más,Estudios primarios,,,Kortezubi,Porcentaje,Kortezubi,29.9
2015,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,50.3
2016,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,49.1
2019,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,44.0
2010,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,56.4
2018,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,47.1
2021,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,43.2
2020,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,44.6
2013,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,50.9
2014,10 años y más,Estudios primarios,,,Kripan,Porcentaje,Kripan,51.8
2016,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,39.5
2020,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,34.6
2015,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,39.4
2014,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,39.2
2013,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,41.3
2018,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,38.8
2021,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,34.0
2010,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,44.1
2019,10 años y más,Estudios primarios,,,Kuartango,Porcentaje,Kuartango,36.7
2016,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,40.4
2014,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,43.5
2020,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,37.3
2018,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,38.7
2019,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,37.8
2015,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,41.6
2010,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,44.8
2013,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,44.1
2021,10 años y más,Estudios primarios,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,36.1
2013,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,53.5
2016,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,47.6
2015,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,50.3
2019,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,46.5
2018,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,47.5
2021,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,41.9
2020,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,41.6
2014,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,51.9
2010,10 años y más,Estudios primarios,,,Lagrán,Porcentaje,Lagrán,59.2
2021,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,36.1
2013,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,44.0
2020,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,37.7
2015,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,43.2
2010,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,46.0
2014,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,43.8
2016,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,42.1
2019,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,38.3
2018,10 años y más,Estudios primarios,,,Laguardia,Porcentaje,Laguardia,39.0
2016,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,52.2
2020,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,46.8
2014,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,53.6
2015,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,53.4
2018,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,47.7
2021,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,43.7
2013,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,53.3
2010,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,54.3
2019,10 años y más,Estudios primarios,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,48.6
2013,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,51.3
2016,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,48.9
2010,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,52.6
2015,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,48.0
2019,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,44.6
2014,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,51.0
2020,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,42.9
2021,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,41.9
2018,10 años y más,Estudios primarios,,,Lanestosa,Porcentaje,Lanestosa,46.3
2021,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,37.3
2014,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,44.0
2015,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,42.5
2020,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,37.6
2018,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,40.3
2013,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,44.9
2016,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,41.7
2010,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,44.8
2019,10 años y más,Estudios primarios,,,Lantarón,Porcentaje,Lantarón,38.7
2020,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,43.4
2013,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,51.7
2010,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,55.2
2021,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,42.4
2014,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,50.9
2016,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,49.8
2015,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,51.4
2019,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,44.7
2018,10 años y más,Estudios primarios,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,47.9
2019,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,25.1
2014,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,29.3
2020,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,24.5
2013,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,30.0
2015,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,27.8
2021,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,23.2
2010,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,32.6
2016,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,27.0
2018,10 años y más,Estudios primarios,,,Larrabetzu,Porcentaje,Larrabetzu,25.7
2013,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,41.5
2020,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,33.8
2015,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,42.4
2010,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,49.8
2016,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,40.7
2021,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,35.5
2018,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,38.4
2019,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,36.8
2014,10 años y más,Estudios primarios,,,Larraul,Porcentaje,Larraul,40.8
2016,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,40.7
2010,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,43.6
2020,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,36.8
2015,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,41.2
2013,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,42.0
2014,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,41.5
2018,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,39.3
2019,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,37.6
2021,10 años y más,Estudios primarios,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,35.5
2021,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,34.4
2014,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,39.9
2020,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,35.6
2013,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,40.4
2015,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,39.5
2016,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,39.0
2018,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,37.2
2010,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,41.6
2019,10 años y más,Estudios primarios,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,36.3
2015,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,21.1
2021,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,16.6
2013,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,22.4
2016,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,20.4
2018,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,19.1
2010,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,24.2
2020,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,17.3
2014,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,21.3
2019,10 años y más,Estudios primarios,,,Laukiz,Porcentaje,Laukiz,18.6
2016,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,33.7
2018,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,33.0
2019,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,31.9
2014,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,35.2
2015,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,35.0
2010,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,36.4
2021,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,30.3
2013,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,35.6
2020,10 años y más,Estudios primarios,,,Lazkao,Porcentaje,Lazkao,31.6
2021,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,39.8
2016,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,47.5
2015,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,49.7
2018,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,44.1
2013,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,50.0
2014,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,50.5
2019,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,42.0
2010,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,50.9
2020,10 años y más,Estudios primarios,,,Leaburu,Porcentaje,Leaburu,40.2
2018,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,38.6
2021,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,35.7
2019,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,37.2
2016,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,40.2
2013,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,42.6
2010,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,44.4
2020,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,36.5
2014,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,42.1
2015,10 años y más,Estudios primarios,,,Legazpi,Porcentaje,Legazpi,41.1
2015,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,37.4
2014,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,37.7
2010,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,38.4
2019,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,35.1
2013,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,37.1
2016,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,37.6
2021,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,34.6
2018,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,36.5
2020,10 años y más,Estudios primarios,,,Legorreta,Porcentaje,Legorreta,34.7
2020,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,33.8
2021,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,32.9
2016,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,38.3
2014,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,37.9
2010,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,41.3
2015,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,38.0
2019,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,34.6
2013,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,37.9
2018,10 años y más,Estudios primarios,,,Legutio,Porcentaje,Legutio,36.5
2019,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,22.8
2016,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,25.2
2018,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,26.8
2014,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,26.0
2021,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,23.3
2020,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,22.4
2013,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,28.4
2010,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,30.8
2015,10 años y más,Estudios primarios,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,26.5
2018,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,25.5
2016,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,27.0
2014,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,27.8
2021,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,23.8
2020,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,24.5
2019,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,24.9
2010,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,29.6
2015,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,27.5
2013,10 años y más,Estudios primarios,,,Leioa,Porcentaje,Leioa,28.3
2019,10 años y más,Estudios primarios,,,Lekeitio,Porcentaje,Lekeitio,32.4
2018,10 años y más,Estudios primarios,,,Lekeitio,Porcentaje,Lekeitio,33.9
2020,10 años y más,Estudios primarios,,,Lekeitio,Porcentaje,Lekeitio,31.7
2015,10 años y más,Estudios primarios,,,Lekeitio,Porcentaje,Lekeitio,36.9
