Year,Series,Tipo de valor,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asparrena,Porcentaje,Asparrena,56.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Asparrena,Euro per cápita,Asparrena,44717.4
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Asparrena,Euro per cápita,Asparrena,47687.0
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Asparrena,Euro per cápita,Asparrena,47144.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Asparrena,Euro per cápita,Asparrena,35634.8
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Asparrena,Euro per cápita,Asparrena,40947.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asparrena,Porcentaje,Asparrena,60.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asparrena,Porcentaje,Asparrena,51.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,60.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,60.9
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,62.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,40777.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,59.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,61.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,64.0
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,46380.8
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,48439.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,45149.0
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,38346.8
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,43461.9
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,54559.3
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Asteasu,Euro per cápita,Asteasu,41734.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,61.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Asteasu,Porcentaje,Asteasu,59.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,17.5
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,8761.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,7939.4
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,8120.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,15.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,14.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,16.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,18.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,17.9
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,7329.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,13.7
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,7701.4
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,9362.7
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Astigarraga,Porcentaje,Astigarraga,19.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,7340.3
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Astigarraga,Euro per cápita,Astigarraga,8988.6
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,1131.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,907.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,5.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,9.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,9.4
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,1359.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,661.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,8.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,8.7
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,1106.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,1235.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,8.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,11.4
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,1058.9
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Ataun,Euro per cápita,Ataun,806.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ataun,Porcentaje,Ataun,9.9
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,43225.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,54.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,61.8
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,42396.4
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,29180.8
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,35994.2
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,36348.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,38.4
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,41141.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,62.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,49.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,49.8
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,63.1
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,39073.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Atxondo,Euro per cápita,Atxondo,35836.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Atxondo,Porcentaje,Atxondo,62.3
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,1193.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,6.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,9.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,5.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,8.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,1703.1
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,2015.0
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,2134.1
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,1805.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,10.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,6.7
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,1276.8
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,1639.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,7.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Aulesti,Porcentaje,Aulesti,7.0
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Aulesti,Euro per cápita,Aulesti,1652.4
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,6926.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,33.4
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,8035.9
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,7694.0
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,6429.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,33.8
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,7378.2
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,8193.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,31.5
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,7577.5
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Ayala/Aiara,Euro per cápita,Ayala/Aiara,6888.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,32.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,30.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,30.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,29.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,31.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,45.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,45.4
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,12823.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,41.2
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,12621.2
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,12771.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,42.7
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,47.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,42.2
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,16402.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,12401.4
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,12330.1
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,16685.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,43.4
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Azkoitia,Euro per cápita,Azkoitia,14041.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azkoitia,Porcentaje,Azkoitia,41.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,31.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,9128.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,29.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,27.6
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,8654.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,29.2
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,9077.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,10129.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,29.5
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,8395.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,27.7
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,28.9
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,8261.8
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,10124.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Azpeitia,Porcentaje,Azpeitia,28.9
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Azpeitia,Euro per cápita,Azpeitia,9803.0
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,378.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,1.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,2.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,2.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,616.2
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,265.9
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,501.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,1.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,1.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,2.9
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,392.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,219.1
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,511.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Bakio,Euro per cápita,Bakio,596.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,2.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Bakio,Porcentaje,Bakio,2.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,2.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,2.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,0.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,0.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,2.4
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,410.8
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,0.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,0.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,2.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baliarrain,Porcentaje,Baliarrain,0.0
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,0.0
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,390.7
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,0.0
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,0.0
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,378.7
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Baliarrain,Euro per cápita,Baliarrain,389.1
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2567.5
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2127.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2579.7
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,3186.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,14.0
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2489.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,13.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,14.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2788.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,12.1
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2764.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,11.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,17.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,14.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Balmaseda,Porcentaje,Balmaseda,13.9
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Balmaseda,Euro per cápita,Balmaseda,2065.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,37.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,42.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,17279.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,13210.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,50.0
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,20184.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,34.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,47.8
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,23052.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,43.5
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,18347.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,43.4
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,21759.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,41.2
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,10336.5
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Baños de Ebro/Mañueta,Euro per cápita,Baños de Ebro/Mañueta,19725.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,4.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,4.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,4.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,4.3
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,918.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,3.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,4.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,3.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barakaldo,Porcentaje,Barakaldo,3.8
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,1088.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,1185.4
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,880.7
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,851.5
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,869.6
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,1024.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Barakaldo,Euro per cápita,Barakaldo,1061.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,305.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,0.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,1.9
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,327.6
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,45.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,0.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,0.4
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,81.0
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,271.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,11.5
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,66.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,0.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,2.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,1.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrika,Porcentaje,Barrika,2.1
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrika,Euro per cápita,Barrika,193.6
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,406.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrundia,Porcentaje,Barrundia,7.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrundia,Porcentaje,Barrundia,2.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrundia,Porcentaje,Barrundia,7.2
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,1218.4
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,1846.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,860.2
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,361.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,1123.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrundia,Porcentaje,Barrundia,10.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrundia,Porcentaje,Barrundia,4.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Barrundia,Euro per cápita,Barrundia,777.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Barrundia,Porcentaje,Barrundia,5.6
