Year,Series,Actividad económica,Forma de medir el empleo,Sexo,Territorio histórico,Units,Value
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ea,Porcentaje,26.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elgeta,Porcentaje,63.4
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Etxebarri,Porcentaje,19.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bilbao,Porcentaje,2.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Valdegovía/Gaubea,Porcentaje,12.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,San Millán/Donemiliaga,Porcentaje,0.6
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elburgo/Burgelu,Porcentaje,2.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Busturia,Porcentaje,8.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Valdegovía/Gaubea,Porcentaje,9.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Eskoriatza,Porcentaje,44.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Durango,Porcentaje,11.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Karrantza Harana/Valle de Carranza,Porcentaje,8.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Dima,Porcentaje,18.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elciego,Porcentaje,33.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elciego,Porcentaje,34.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Artea,Porcentaje,51.3
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gabiria,Porcentaje,25.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ezkio-Itsaso,Porcentaje,66.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Asparrena,Porcentaje,59.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zeanuri,Porcentaje,2.6
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ezkio-Itsaso,Porcentaje,69.1
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Urkabustaiz,Porcentaje,39.8
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zeanuri,Porcentaje,2.1
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Artea,Porcentaje,50.8
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,San Millán/Donemiliaga,Porcentaje,1.2
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zeberio,Porcentaje,14.7
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zeberio,Porcentaje,14.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Hondarribia,Porcentaje,3.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Karrantza Harana/Valle de Carranza,Porcentaje,5.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Dima,Porcentaje,12.6
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,San Millán/Donemiliaga,Porcentaje,1.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Durango,Porcentaje,10.7
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bilbao,Porcentaje,3.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Eskoriatza,Porcentaje,41.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Busturia,Porcentaje,9.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ea,Porcentaje,26.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gaintza,Porcentaje,0.0
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gaintza,Porcentaje,0.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bilbao,Porcentaje,2.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Etxebarri,Porcentaje,18.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gaintza,Porcentaje,0.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Valdegovía/Gaubea,Porcentaje,17.7
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gabiria,Porcentaje,29.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bilbo Handia / Gran Bilbao,Porcentaje,10.2
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Durangaldea / Duranguesado,Porcentaje,35.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bilbo Handia / Gran Bilbao,Porcentaje,10.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gabiria,Porcentaje,30.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Etxebarria,Porcentaje,85.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Debagoiena / Alto Deba,Porcentaje,42.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Berriz,Porcentaje,60.1
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Getaria,Porcentaje,26.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elantxobe,Porcentaje,0.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Berriatua,Porcentaje,76.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Durangaldea / Duranguesado,Porcentaje,34.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Getaria,Porcentaje,26.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elorrio,Porcentaje,28.4
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Harana/Valle de Arana,Porcentaje,11.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elduain,Porcentaje,50.7
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bermeo,Porcentaje,14.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ereño,Porcentaje,2.9
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ereño,Porcentaje,2.2
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ereño,Porcentaje,2.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elvillar/Bilar,Porcentaje,32.3
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ermua,Porcentaje,37.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Añana (comarca),Porcentaje,54.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Berango,Porcentaje,23.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Villabuena de Álava/Eskuernaga,Porcentaje,43.5
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Fruiz,Porcentaje,7.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Eibar,Porcentaje,16.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Basauri,Porcentaje,20.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Agurain/Salvatierra,Porcentaje,27.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Galdakao,Porcentaje,19.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Agurain/Salvatierra,Porcentaje,27.1
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Villabuena de Álava/Eskuernaga,Porcentaje,42.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Galdakao,Porcentaje,17.1
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Galdames,Porcentaje,35.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Hernialde,Porcentaje,2.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Barrika,Porcentaje,2.7
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Hernialde,Porcentaje,2.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gamiz-Fika,Porcentaje,8.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrieta,Porcentaje,5.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Debagoiena / Alto Deba,Porcentaje,42.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Agurain/Salvatierra,Porcentaje,31.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Garai,Porcentaje,0.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bakio,Porcentaje,2.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legutio,Porcentaje,69.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Garai,Porcentaje,1.1
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Enkartazioak / Encartaciones,Porcentaje,12.9
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legutio,Porcentaje,67.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Enkartazioak / Encartaciones,Porcentaje,12.9
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrigorriaga,Porcentaje,28.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gatika,Porcentaje,25.1
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gatika,Porcentaje,32.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gatika,Porcentaje,22.7
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legutio,Porcentaje,67.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gautegiz Arteaga,Porcentaje,1.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zizurkil,Porcentaje,41.4
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrieta,Porcentaje,4.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Kuartango,Porcentaje,8.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gordexola,Porcentaje,14.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gordexola,Porcentaje,14.6
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arratia Nerbioi / Arratia-Nervión,Porcentaje,39.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gordexola,Porcentaje,14.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ikaztegieta,Porcentaje,61.2
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gorliz,Porcentaje,2.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Harana/Valle de Arana,Porcentaje,10.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,50.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Getxo,Porcentaje,2.1
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arratzua-Ubarrundia,Porcentaje,1.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Getxo,Porcentaje,2.3
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zestoa,Porcentaje,42.9
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Güeñes,Porcentaje,10.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,23.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Irura,Porcentaje,57.9
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Güeñes,Porcentaje,11.3
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ikaztegieta,Porcentaje,59.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arratzua-Ubarrundia,Porcentaje,1.1
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gernika-Lumo,Porcentaje,14.7
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zerain,Porcentaje,41.0
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gizaburuaga,Porcentaje,71.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Kantaurialdea / Cantábrica Alavesa,Porcentaje,37.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Irura,Porcentaje,62.5
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gernika-Lumo,Porcentaje,15.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ibarrangelu,Porcentaje,0.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ibarrangelu,Porcentaje,2.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Elvillar/Bilar,Porcentaje,36.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arakaldo,Porcentaje,8.3
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ispaster,Porcentaje,22.5
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Yécora/Iekora,Porcentaje,10.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ribera Baja/Erriberabeitia,Porcentaje,33.6
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ispaster,Porcentaje,23.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gernika-Bermeo,Porcentaje,19.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amorebieta-Etxano,Porcentaje,25.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ispaster,Porcentaje,5.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ribera Baja/Erriberabeitia,Porcentaje,40.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Izurtza,Porcentaje,79.5
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bidania-Goiatz,Porcentaje,27.7
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amorebieta-Etxano,Porcentaje,27.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Yécora/Iekora,Porcentaje,9.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lanestosa,Porcentaje,10.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,38.7
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gernika-Bermeo,Porcentaje,20.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Yécora/Iekora,Porcentaje,10.3
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Larrabetzu,Porcentaje,14.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,18.6
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Larrabetzu,Porcentaje,14.5
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Larrabetzu,Porcentaje,13.1
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laukiz,Porcentaje,0.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Berrobi,Porcentaje,32.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leioa,Porcentaje,7.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aia,Porcentaje,38.2
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,4.4
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,24.7
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Armiñón,Porcentaje,70.6
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Orendain,Porcentaje,12.8
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,23.6
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aia,Porcentaje,40.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leioa,Porcentaje,7.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Berastegi,Porcentaje,45.3
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Erriberagoitia/Ribera Alta,Porcentaje,7.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ayala/Aiara,Porcentaje,35.3
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,20.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,5.5
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aia,Porcentaje,37.9
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,47.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,46.5
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,35.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,31.9
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zalduondo,Porcentaje,0.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,23.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,46.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Goierri,Porcentaje,41.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,22.7
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Orendain,Porcentaje,14.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,37.7
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,2.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aia,Porcentaje,42.6
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ayala/Aiara,Porcentaje,34.6
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,37.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,2.5
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,7.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,2.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gaztelu,Porcentaje,0.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,6.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,24.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Gaztelu,Porcentaje,0.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Campezo/Kanpezu,Porcentaje,17.6
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,20.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,3.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Altzaga,Porcentaje,2.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,19.7
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ataun,Porcentaje,6.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Altzaga,Porcentaje,2.6
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,41.9
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lanestosa,Porcentaje,2.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,7.3
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ataun,Porcentaje,6.6
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,19.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,22.1
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,21.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,18.2
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,2.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,1.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,,Porcentaje,18.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Navaridas,Porcentaje,23.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Orendain,Porcentaje,10.1
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Errioxa / Rioja Alavesa,Porcentaje,41.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Orendain,Porcentaje,8.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,25.3
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,22.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Campezo/Kanpezu,Porcentaje,15.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Asteasu,Porcentaje,60.5
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,38.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,33.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baliarrain,Porcentaje,0.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Asteasu,Porcentaje,57.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baliarrain,Porcentaje,3.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,17.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,32.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baliarrain,Porcentaje,0.0
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,37.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,59.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,58.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,7.7
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,44.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,4.9
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,22.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Artziniega,Porcentaje,26.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Errioxa / Rioja Alavesa,Porcentaje,41.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ondarroa,Porcentaje,7.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,55.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ondarroa,Porcentaje,8.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,59.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Astigarraga,Porcentaje,18.9
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Campezo/Kanpezu,Porcentaje,18.3
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Astigarraga,Porcentaje,19.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,42.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,14.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Campezo/Kanpezu,Porcentaje,14.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aretxabaleta,Porcentaje,50.5
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lasarte-Oria,Porcentaje,21.4
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aretxabaleta,Porcentaje,49.9
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lasarte-Oria,Porcentaje,22.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Errioxa / Rioja Alavesa,Porcentaje,40.8
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,30.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,42.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,0.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baños de Ebro/Mañueta,Porcentaje,34.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,32.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aretxabaleta,Porcentaje,49.7
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendaro,Porcentaje,41.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Campezo/Kanpezu,Porcentaje,17.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendaro,Porcentaje,46.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Moreda de Álava/Moreda Araba,Porcentaje,25.6
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,40.6
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Bernedo,Porcentaje,27.3
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arama,Porcentaje,4.2
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zumaia,Porcentaje,41.6
