Year,Series,Sexua,Adina,Lurralde historikoa,Units,Value
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,83.1
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,80.2
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,76.3
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,78.5
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,85.1
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,79.7
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,81.6
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,73.1
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,75.7
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,81.4
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,83.0
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,82.9
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,,Porcentaje,72.1
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,79.5
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,78.8
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,77.2
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,85.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,87.5
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,81.3
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,85.3
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,71.9
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,77.3
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,80.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,69.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,81.0
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,76.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Araba / Álava,Porcentaje,80.2
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,78.0
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,80.3
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,83.9
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,76.8
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,73.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,86.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,79.6
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,82.8
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,84.6
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,76.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,82.8
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,81.5
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,81.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Bizkaia,Porcentaje,72.3
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,82.7
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,78.5
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,81.3
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,82.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,81.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,82.9
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,75.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,74.2
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,75.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,77.9
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,80.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,82.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,79.9
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-24 urte,Gipuzkoa,Porcentaje,71.7
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,18.6
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,18.3
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,21.6
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,21.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,24.1
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,18.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,12.1
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,24.2
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,11.9
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,25.4
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,11.4
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,26.1
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,21.4
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,,Porcentaje,23.5
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,27.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,21.3
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,20.6
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,23.6
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,19.8
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,24.1
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,11.8
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,10.9
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,20.1
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,24.9
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,11.0
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,26.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,21.2
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Araba / Álava,Porcentaje,24.5
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,20.6
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,11.6
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,24.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,21.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,10.9
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,25.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,21.5
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,24.2
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,18.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,18.7
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,23.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,10.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,17.8
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Bizkaia,Porcentaje,21.9
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,13.1
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,17.8
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,27.6
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,18.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,24.2
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,21.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,26.6
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,14.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,25.5
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,20.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,18.4
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,13.2
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,24.0
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,15-64 urte,Gipuzkoa,Porcentaje,21.6
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,10.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,11.5
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,15.2
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,13.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,3.0
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,14.1
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,17.6
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,2.9
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,3.0
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,13.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,9.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,9.7
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,11.6
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,,Porcentaje,15.6
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,18.8
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,16.9
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,11.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,11.4
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,2.2
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,12.5
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,14.3
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,11.5
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,14.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,2.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,11.5
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,13.9
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,2.0
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Araba / Álava,Porcentaje,18.7
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,13.5
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,12.6
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,12.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,13.2
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,2.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,2.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,10.5
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,9.1
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,16.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,9.7
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,12.2
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,14.4
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,15.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Bizkaia,Porcentaje,2.9
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,19.5
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,4.7
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,3.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,5.0
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,8.3
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,13.0
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,10.7
