Year,Institución,Territorio,Units,Value
2021,Sector público estatal,Araba/Álava,Ratio,0.57
2020,Sector público estatal,Araba/Álava,Ratio,0.57
2016,Sector público estatal,Araba/Álava,Ratio,0.55
2013,Sector público estatal,Araba/Álava,Ratio,0.57
2010,Sector público estatal,Araba/Álava,Ratio,0.6
2012,Sector público estatal,Araba/Álava,Ratio,0.58
2019,Sector público estatal,Araba/Álava,Ratio,0.58
2014,Sector público estatal,Araba/Álava,Ratio,0.58
2017,Sector público estatal,Araba/Álava,Ratio,0.57
2022,Sector público estatal,Araba/Álava,Ratio,0.61
2018,Sector público estatal,Bizkaia,Ratio,0.7
2020,Sector público estatal,Bizkaia,Ratio,0.7
2022,Sector público estatal,Bizkaia,Ratio,0.7
2023,Sector público estatal,Bizkaia,Ratio,0.68
2021,Sector público estatal,Bizkaia,Ratio,0.68
2019,Sector público estatal,Bizkaia,Ratio,0.69
2014,Sector público estatal,Bizkaia,Ratio,0.67
2017,Sector público estatal,Bizkaia,Ratio,0.7
2016,Sector público estatal,Bizkaia,Ratio,0.7
2015,Sector público estatal,Bizkaia,Ratio,0.7
2013,Sector público estatal,Bizkaia,Ratio,0.67
2011,Sector público estatal,Bizkaia,Ratio,0.69
2010,Sector público estatal,Bizkaia,Ratio,0.72
2012,Sector público estatal,Bizkaia,Ratio,0.66
2010,Sector público estatal,Gipuzkoa,Ratio,0.68
2013,Sector público estatal,Gipuzkoa,Ratio,0.6
2017,Sector público estatal,Gipuzkoa,Ratio,0.62
2023,Sector público estatal,Gipuzkoa,Ratio,0.57
2021,Sector público estatal,Gipuzkoa,Ratio,0.61
2020,Sector público estatal,Gipuzkoa,Ratio,0.6
2019,Sector público estatal,Gipuzkoa,Ratio,0.63
2016,Sector público estatal,Gipuzkoa,Ratio,0.62
2015,Sector público estatal,Gipuzkoa,Ratio,0.63
2014,Sector público estatal,Gipuzkoa,Ratio,0.61
2012,Sector público estatal,Gipuzkoa,Ratio,0.6
2011,Sector público estatal,Gipuzkoa,Ratio,0.62
2018,Sector público estatal,Gipuzkoa,Ratio,0.62
2022,Sector público estatal,Gipuzkoa,Ratio,0.6
2023,Fuerzas armadas,,Ratio,0.2
2016,Fuerzas armadas,,Ratio,0.19
2020,Fuerzas armadas,,Ratio,0.19
2013,Fuerzas armadas,,Ratio,0.21
2012,Fuerzas armadas,,Ratio,0.22
2011,Fuerzas armadas,,Ratio,0.23
2019,Fuerzas armadas,,Ratio,0.19
2015,Fuerzas armadas,,Ratio,0.19
2018,Fuerzas armadas,,Ratio,0.2
2014,Fuerzas armadas,,Ratio,0.21
2010,Fuerzas armadas,,Ratio,0.27
2021,Fuerzas armadas,,Ratio,0.2
2022,Fuerzas armadas,,Ratio,0.19
2017,Fuerzas armadas,,Ratio,0.21
2021,Fuerzas armadas,Araba/Álava,Ratio,0.31
2011,Fuerzas armadas,Araba/Álava,Ratio,0.29
2023,Fuerzas armadas,Araba/Álava,Ratio,0.33
2022,Fuerzas armadas,Araba/Álava,Ratio,0.3
2018,Fuerzas armadas,Araba/Álava,Ratio,0.27
2013,Fuerzas armadas,Araba/Álava,Ratio,0.26
2019,Fuerzas armadas,Araba/Álava,Ratio,0.27
2010,Fuerzas armadas,Araba/Álava,Ratio,0.32
2014,Fuerzas armadas,Araba/Álava,Ratio,0.26
2017,Fuerzas armadas,Araba/Álava,Ratio,0.28
2020,Fuerzas armadas,Araba/Álava,Ratio,0.28
2012,Fuerzas armadas,Araba/Álava,Ratio,0.27
2016,Fuerzas armadas,Araba/Álava,Ratio,0.23
2015,Fuerzas armadas,Araba/Álava,Ratio,0.21
2022,Fuerzas armadas,Bizkaia,Ratio,0.16
2021,Fuerzas armadas,Bizkaia,Ratio,0.16
2010,Fuerzas armadas,Bizkaia,Ratio,0.24
2015,Fuerzas armadas,Bizkaia,Ratio,0.19
2012,Fuerzas armadas,Bizkaia,Ratio,0.22
2014,Fuerzas armadas,Bizkaia,Ratio,0.2
2013,Fuerzas armadas,Bizkaia,Ratio,0.22
2019,Fuerzas armadas,Bizkaia,Ratio,0.16
2017,Fuerzas armadas,Bizkaia,Ratio,0.18
2016,Fuerzas armadas,Bizkaia,Ratio,0.18
2023,Fuerzas armadas,Bizkaia,Ratio,0.16
2018,Fuerzas armadas,Bizkaia,Ratio,0.16
2011,Fuerzas armadas,Bizkaia,Ratio,0.21
2020,Fuerzas armadas,Bizkaia,Ratio,0.17
2016,Fuerzas armadas,Gipuzkoa,Ratio,0.17
2018,Fuerzas armadas,Gipuzkoa,Ratio,0.19
2020,Fuerzas armadas,Gipuzkoa,Ratio,0.15
2021,Fuerzas armadas,Gipuzkoa,Ratio,0.15
2023,Fuerzas armadas,Gipuzkoa,Ratio,0.15
2019,Fuerzas armadas,Gipuzkoa,Ratio,0.17
2022,Fuerzas armadas,Gipuzkoa,Ratio,0.15
2017,Fuerzas armadas,Gipuzkoa,Ratio,0.18
2012,Fuerzas armadas,Gipuzkoa,Ratio,0.16
2010,Fuerzas armadas,Gipuzkoa,Ratio,0.23
2011,Fuerzas armadas,Gipuzkoa,Ratio,0.18
2014,Fuerzas armadas,Gipuzkoa,Ratio,0.15
2015,Fuerzas armadas,Gipuzkoa,Ratio,0.16
2013,Fuerzas armadas,Gipuzkoa,Ratio,0.15
2012,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.19
2022,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.24
2021,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.22
2016,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2018,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.24
2014,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2017,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.17
2015,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2023,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.25
2020,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.21
2013,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.2
2011,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.18
2010,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.16
2019,Fuerzas y cuerpos de seguridad del Estado,,Ratio,0.24
2015,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.19
2014,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2011,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.18
2018,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.25
2021,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2020,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2019,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.24
2012,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2010,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.14
2013,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.2
2017,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.19
2022,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.21
2023,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.23
2016,Fuerzas y cuerpos de seguridad del Estado,Araba/Álava,Ratio,0.19
2018,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.22
2020,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.2
2021,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.21
2019,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.23
2017,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2015,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.19
2012,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2013,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2011,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.16
2010,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.15
2022,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.23
2016,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.19
2023,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.24
2014,Fuerzas y cuerpos de seguridad del Estado,Bizkaia,Ratio,0.18
2023,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.28
2021,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.25
2018,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.26
2020,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2019,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.27
2017,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2022,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.27
2012,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.21
2010,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.17
2015,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2014,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.23
2016,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.24
2011,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.2
2013,Fuerzas y cuerpos de seguridad del Estado,Gipuzkoa,Ratio,0.22
2014,Administración de Justicia del Estado,,Ratio,1.4
2015,Administración de Justicia del Estado,,Ratio,1.4
2016,Administración de Justicia del Estado,,Ratio,1.39
2022,Administración de Justicia del Estado,,Ratio,1.41
2021,Administración de Justicia del Estado,,Ratio,1.4
2013,Administración de Justicia del Estado,,Ratio,1.4
2019,Administración de Justicia del Estado,,Ratio,1.39
2023,Administración de Justicia del Estado,,Ratio,1.55
2017,Administración de Justicia del Estado,,Ratio,1.38
2020,Administración de Justicia del Estado,,Ratio,1.39
2011,Administración de Justicia del Estado,,Ratio,1.41
2012,Administración de Justicia del Estado,,Ratio,1.41
2018,Administración de Justicia del Estado,,Ratio,1.32
2010,Administración de Justicia del Estado,,Ratio,1.46
2018,Administración de Justicia del Estado,Araba/Álava,Ratio,1.26
2013,Administración de Justicia del Estado,Araba/Álava,Ratio,1.37
2023,Administración de Justicia del Estado,Araba/Álava,Ratio,1.7
2014,Administración de Justicia del Estado,Araba/Álava,Ratio,1.39
2010,Administración de Justicia del Estado,Araba/Álava,Ratio,1.3
2011,Administración de Justicia del Estado,Araba/Álava,Ratio,1.32
2012,Administración de Justicia del Estado,Araba/Álava,Ratio,1.17
2016,Administración de Justicia del Estado,Araba/Álava,Ratio,1.31
2022,Administración de Justicia del Estado,Araba/Álava,Ratio,1.41
2019,Administración de Justicia del Estado,Araba/Álava,Ratio,1.39
2015,Administración de Justicia del Estado,Araba/Álava,Ratio,1.41
2020,Administración de Justicia del Estado,Araba/Álava,Ratio,1.37
2017,Administración de Justicia del Estado,Araba/Álava,Ratio,1.32
2021,Administración de Justicia del Estado,Araba/Álava,Ratio,1.42
2023,Administración de Justicia del Estado,Bizkaia,Ratio,1.57
2022,Administración de Justicia del Estado,Bizkaia,Ratio,1.38
2021,Administración de Justicia del Estado,Bizkaia,Ratio,1.38
2019,Administración de Justicia del Estado,Bizkaia,Ratio,1.37
2018,Administración de Justicia del Estado,Bizkaia,Ratio,1.35
2017,Administración de Justicia del Estado,Bizkaia,Ratio,1.39
2020,Administración de Justicia del Estado,Bizkaia,Ratio,1.43
2016,Administración de Justicia del Estado,Bizkaia,Ratio,1.4
2015,Administración de Justicia del Estado,Bizkaia,Ratio,1.36
2014,Administración de Justicia del Estado,Bizkaia,Ratio,1.44
2013,Administración de Justicia del Estado,Bizkaia,Ratio,1.43
2012,Administración de Justicia del Estado,Bizkaia,Ratio,1.45
2011,Administración de Justicia del Estado,Bizkaia,Ratio,1.4
2010,Administración de Justicia del Estado,Bizkaia,Ratio,1.39
2023,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.43
2021,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.43
2018,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.31
2017,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.4
2016,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.42
2015,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.46
2014,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.37
2013,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.37
2022,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.45
2012,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.5
2011,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.5
2020,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.32
2019,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.41
2010,Administración de Justicia del Estado,Gipuzkoa,Ratio,1.61
