Year,Computer skills,Sex,Age,Province,Units,Value
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Gipuzkoa,%,42.92
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Gipuzkoa,%,42.32
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Gipuzkoa,%,42.21
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Gipuzkoa,%,45.38
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,16-74 years,Gipuzkoa,%,45.75
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,,%,37.16
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,,%,39.86
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,,%,41.0
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,,%,35.44
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,,%,37.38
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Araba/Álava,%,36.41
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Araba/Álava,%,32.14
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Araba/Álava,%,38.53
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Araba/Álava,%,42.45
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Araba/Álava,%,38.74
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Bizkaia,%,40.16
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Bizkaia,%,35.46
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Bizkaia,%,37.57
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Bizkaia,%,41.38
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Bizkaia,%,36.63
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Gipuzkoa,%,40.01
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Gipuzkoa,%,39.69
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Gipuzkoa,%,37.28
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Gipuzkoa,%,37.51
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",,25-74 years,Gipuzkoa,%,36.94
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,,%,83.18
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,,%,85.68
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,,%,88.68
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,,%,90.28
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,,%,86.5
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Araba/Álava,%,92.24
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Araba/Álava,%,74.79
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Araba/Álava,%,94.03
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Araba/Álava,%,89.77
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Araba/Álava,%,83.9
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Bizkaia,%,80.24
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Bizkaia,%,90.71
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Bizkaia,%,84.29
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Bizkaia,%,88.74
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Bizkaia,%,87.56
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Gipuzkoa,%,87.54
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Gipuzkoa,%,91.74
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Gipuzkoa,%,85.35
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Gipuzkoa,%,90.02
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-24 years,Gipuzkoa,%,84.41
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,,%,42.93
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,,%,41.81
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,,%,45.07
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,,%,41.74
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,,%,44.55
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Araba/Álava,%,39.57
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Araba/Álava,%,44.31
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Araba/Álava,%,42.42
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Araba/Álava,%,42.88
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Araba/Álava,%,44.91
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Bizkaia,%,42.08
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Bizkaia,%,43.91
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Bizkaia,%,40.65
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Bizkaia,%,42.12
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Bizkaia,%,43.95
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Gipuzkoa,%,42.33
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Gipuzkoa,%,46.51
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Gipuzkoa,%,43.69
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Gipuzkoa,%,47.05
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,16-74 years,Gipuzkoa,%,43.01
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,,%,35.74
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,,%,36.51
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,,%,39.61
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,,%,40.29
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,,%,37.51
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Araba/Álava,%,37.25
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Araba/Álava,%,40.16
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Araba/Álava,%,38.54
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Araba/Álava,%,38.71
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Araba/Álava,%,33.32
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Bizkaia,%,39.4
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Bizkaia,%,35.49
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Bizkaia,%,36.49
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Bizkaia,%,36.8
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Bizkaia,%,38.97
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Gipuzkoa,%,41.83
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Gipuzkoa,%,38.22
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Gipuzkoa,%,41.08
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Gipuzkoa,%,37.87
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Female,25-74 years,Gipuzkoa,%,35.63
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,,%,86.4
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,,%,77.2
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,,%,81.93
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,,%,77.02
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,,%,82.55
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Araba/Álava,%,71.4
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Araba/Álava,%,88.54
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Araba/Álava,%,73.54
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Araba/Álava,%,76.92
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Araba/Álava,%,82.49
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Bizkaia,%,85.49
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Bizkaia,%,85.77
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Bizkaia,%,81.08
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Bizkaia,%,75.48
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Bizkaia,%,86.33
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Gipuzkoa,%,79.85
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Gipuzkoa,%,74.65
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Gipuzkoa,%,82.42
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Gipuzkoa,%,89.18
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-24 years,Gipuzkoa,%,72.35
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,,%,45.46
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,,%,46.84
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,,%,42.74
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,,%,41.65
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,,%,40.29
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Araba/Álava,%,42.74
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Araba/Álava,%,40.61
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Araba/Álava,%,48.29
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Araba/Álava,%,37.2
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Araba/Álava,%,43.65
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Bizkaia,%,39.15
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Bizkaia,%,41.79
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Bizkaia,%,44.18
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Bizkaia,%,46.29
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Bizkaia,%,48.37
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Gipuzkoa,%,43.52
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Gipuzkoa,%,41.41
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Gipuzkoa,%,40.93
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Gipuzkoa,%,44.97
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,16-74 years,Gipuzkoa,%,43.74
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,,%,38.27
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,,%,40.12
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,,%,41.72
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,,%,35.13
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,,%,36.79
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Araba/Álava,%,38.95
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Araba/Álava,%,30.92
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Araba/Álava,%,38.34
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Araba/Álava,%,35.55
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Araba/Álava,%,44.79
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Bizkaia,%,43.41
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Bizkaia,%,36.43
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Bizkaia,%,34.36
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Bizkaia,%,39.73
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Bizkaia,%,41.38
2021,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Gipuzkoa,%,37.52
2020,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Gipuzkoa,%,38.9
2023,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Gipuzkoa,%,38.29
2019,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Gipuzkoa,%,37.15
2022,"Creating presentations or documents that integrate text, images, tables, or graphs",Male,25-74 years,Gipuzkoa,%,36.33
2021,Using spreadsheets,,16-24 years,,%,67.34
2020,Using spreadsheets,,16-24 years,,%,70.73
2019,Using spreadsheets,,16-24 years,,%,70.08
2022,Using spreadsheets,,16-24 years,,%,68.34
2023,Using spreadsheets,,16-24 years,,%,63.58
2021,Using spreadsheets,,16-24 years,Araba/Álava,%,61.31
2023,Using spreadsheets,,16-24 years,Araba/Álava,%,57.79
2020,Using spreadsheets,,16-24 years,Araba/Álava,%,68.93
2022,Using spreadsheets,,16-24 years,Araba/Álava,%,74.63
2019,Using spreadsheets,,16-24 years,Araba/Álava,%,70.0
2021,Using spreadsheets,,16-24 years,Bizkaia,%,64.2
2023,Using spreadsheets,,16-24 years,Bizkaia,%,60.93
2019,Using spreadsheets,,16-24 years,Bizkaia,%,69.07
2020,Using spreadsheets,,16-24 years,Bizkaia,%,68.82
2022,Using spreadsheets,,16-24 years,Bizkaia,%,69.09
2019,Using spreadsheets,,16-24 years,Gipuzkoa,%,71.5
2021,Using spreadsheets,,16-24 years,Gipuzkoa,%,74.53
2022,Using spreadsheets,,16-24 years,Gipuzkoa,%,64.64
2020,Using spreadsheets,,16-24 years,Gipuzkoa,%,74.4
2023,Using spreadsheets,,16-24 years,Gipuzkoa,%,70.09
2021,Using spreadsheets,,16-74 years,,%,44.44
2023,Using spreadsheets,,16-74 years,,%,41.85
2020,Using spreadsheets,,16-74 years,,%,41.11
2019,Using spreadsheets,,16-74 years,,%,41.92
2022,Using spreadsheets,,16-74 years,,%,42.23
2019,Using spreadsheets,,16-74 years,Araba/Álava,%,42.89
2022,Using spreadsheets,,16-74 years,Araba/Álava,%,44.9
2020,Using spreadsheets,,16-74 years,Araba/Álava,%,39.71
2023,Using spreadsheets,,16-74 years,Araba/Álava,%,37.35
2021,Using spreadsheets,,16-74 years,Araba/Álava,%,44.08
2021,Using spreadsheets,,16-74 years,Bizkaia,%,44.57
2022,Using spreadsheets,,16-74 years,Bizkaia,%,40.86
2023,Using spreadsheets,,16-74 years,Bizkaia,%,41.54
2020,Using spreadsheets,,16-74 years,Bizkaia,%,41.21
2019,Using spreadsheets,,16-74 years,Bizkaia,%,41.11
2023,Using spreadsheets,,16-74 years,Gipuzkoa,%,44.42
2021,Using spreadsheets,,16-74 years,Gipuzkoa,%,44.39
2022,Using spreadsheets,,16-74 years,Gipuzkoa,%,43.22
2020,Using spreadsheets,,16-74 years,Gipuzkoa,%,41.61
2019,Using spreadsheets,,16-74 years,Gipuzkoa,%,42.77
2020,Using spreadsheets,,25-74 years,,%,37.44
2021,Using spreadsheets,,25-74 years,,%,41.37
2022,Using spreadsheets,,25-74 years,,%,38.78
2023,Using spreadsheets,,25-74 years,,%,38.98
2019,Using spreadsheets,,25-74 years,,%,38.75
2022,Using spreadsheets,,25-74 years,Araba/Álava,%,41.35
2023,Using spreadsheets,,25-74 years,Araba/Álava,%,34.53
2019,Using spreadsheets,,25-74 years,Araba/Álava,%,39.83
2020,Using spreadsheets,,25-74 years,Araba/Álava,%,36.04
2021,Using spreadsheets,,25-74 years,Araba/Álava,%,41.73
2019,Using spreadsheets,,25-74 years,Bizkaia,%,38.17
2020,Using spreadsheets,,25-74 years,Bizkaia,%,37.91
2023,Using spreadsheets,,25-74 years,Bizkaia,%,39.1
2022,Using spreadsheets,,25-74 years,Bizkaia,%,37.17
2021,Using spreadsheets,,25-74 years,Bizkaia,%,42.07
2020,Using spreadsheets,,25-74 years,Gipuzkoa,%,37.32
2023,Using spreadsheets,,25-74 years,Gipuzkoa,%,40.84
2021,Using spreadsheets,,25-74 years,Gipuzkoa,%,40.03
2019,Using spreadsheets,,25-74 years,Gipuzkoa,%,39.19
2022,Using spreadsheets,,25-74 years,Gipuzkoa,%,40.21
2021,Using spreadsheets,Female,16-24 years,,%,64.17
2020,Using spreadsheets,Female,16-24 years,,%,68.82
2019,Using spreadsheets,Female,16-24 years,,%,70.34
2022,Using spreadsheets,Female,16-24 years,,%,68.72
2023,Using spreadsheets,Female,16-24 years,,%,64.48
2023,Using spreadsheets,Female,16-24 years,Araba/Álava,%,62.43
2022,Using spreadsheets,Female,16-24 years,Araba/Álava,%,72.24
2020,Using spreadsheets,Female,16-24 years,Araba/Álava,%,64.62
2019,Using spreadsheets,Female,16-24 years,Araba/Álava,%,70.26
2021,Using spreadsheets,Female,16-24 years,Araba/Álava,%,62.48
2023,Using spreadsheets,Female,16-24 years,Bizkaia,%,58.92
2019,Using spreadsheets,Female,16-24 years,Bizkaia,%,67.84
2020,Using spreadsheets,Female,16-24 years,Bizkaia,%,65.82
2022,Using spreadsheets,Female,16-24 years,Bizkaia,%,69.38
2021,Using spreadsheets,Female,16-24 years,Bizkaia,%,59.54
2022,Using spreadsheets,Female,16-24 years,Gipuzkoa,%,66.21
2023,Using spreadsheets,Female,16-24 years,Gipuzkoa,%,73.46
2020,Using spreadsheets,Female,16-24 years,Gipuzkoa,%,75.14
2019,Using spreadsheets,Female,16-24 years,Gipuzkoa,%,73.9
2021,Using spreadsheets,Female,16-24 years,Gipuzkoa,%,72.32
2019,Using spreadsheets,Female,16-74 years,,%,39.57
2023,Using spreadsheets,Female,16-74 years,,%,40.89
2020,Using spreadsheets,Female,16-74 years,,%,39.77
2021,Using spreadsheets,Female,16-74 years,,%,42.32
2022,Using spreadsheets,Female,16-74 years,,%,41.07
2019,Using spreadsheets,Female,16-74 years,Araba/Álava,%,40.2
2021,Using spreadsheets,Female,16-74 years,Araba/Álava,%,43.21
2023,Using spreadsheets,Female,16-74 years,Araba/Álava,%,39.31
2020,Using spreadsheets,Female,16-74 years,Araba/Álava,%,39.72
2022,Using spreadsheets,Female,16-74 years,Araba/Álava,%,43.88
2020,Using spreadsheets,Female,16-74 years,Bizkaia,%,38.18
2019,Using spreadsheets,Female,16-74 years,Bizkaia,%,38.1
2021,Using spreadsheets,Female,16-74 years,Bizkaia,%,41.04
2023,Using spreadsheets,Female,16-74 years,Bizkaia,%,39.9
2022,Using spreadsheets,Female,16-74 years,Bizkaia,%,38.9
2021,Using spreadsheets,Female,16-74 years,Gipuzkoa,%,44.01
2023,Using spreadsheets,Female,16-74 years,Gipuzkoa,%,43.22
2022,Using spreadsheets,Female,16-74 years,Gipuzkoa,%,43.39
2019,Using spreadsheets,Female,16-74 years,Gipuzkoa,%,41.65
2020,Using spreadsheets,Female,16-74 years,Gipuzkoa,%,42.34
2022,Using spreadsheets,Female,25-74 years,,%,37.57
2021,Using spreadsheets,Female,25-74 years,,%,39.58
2020,Using spreadsheets,Female,25-74 years,,%,36.35
2019,Using spreadsheets,Female,25-74 years,,%,36.14
2023,Using spreadsheets,Female,25-74 years,,%,37.94
2023,Using spreadsheets,Female,25-74 years,Araba/Álava,%,36.57
2022,Using spreadsheets,Female,25-74 years,Araba/Álava,%,40.58
2021,Using spreadsheets,Female,25-74 years,Araba/Álava,%,40.86
2019,Using spreadsheets,Female,25-74 years,Araba/Álava,%,36.59
2020,Using spreadsheets,Female,25-74 years,Araba/Álava,%,36.87
2021,Using spreadsheets,Female,25-74 years,Bizkaia,%,38.74
2023,Using spreadsheets,Female,25-74 years,Bizkaia,%,37.61
2022,Using spreadsheets,Female,25-74 years,Bizkaia,%,35.08
2019,Using spreadsheets,Female,25-74 years,Bizkaia,%,35.04
2020,Using spreadsheets,Female,25-74 years,Bizkaia,%,35.03
2022,Using spreadsheets,Female,25-74 years,Gipuzkoa,%,40.32
2023,Using spreadsheets,Female,25-74 years,Gipuzkoa,%,39.13
2021,Using spreadsheets,Female,25-74 years,Gipuzkoa,%,40.36
2020,Using spreadsheets,Female,25-74 years,Gipuzkoa,%,38.26
2019,Using spreadsheets,Female,25-74 years,Gipuzkoa,%,37.74
2021,Using spreadsheets,Male,16-24 years,,%,70.16
2019,Using spreadsheets,Male,16-24 years,,%,69.81
2022,Using spreadsheets,Male,16-24 years,,%,67.98
2020,Using spreadsheets,Male,16-24 years,,%,72.51
2023,Using spreadsheets,Male,16-24 years,,%,62.72
2020,Using spreadsheets,Male,16-24 years,Araba/Álava,%,72.68
2022,Using spreadsheets,Male,16-24 years,Araba/Álava,%,76.98
2021,Using spreadsheets,Male,16-24 years,Araba/Álava,%,60.36
2023,Using spreadsheets,Male,16-24 years,Araba/Álava,%,54.19
2019,Using spreadsheets,Male,16-24 years,Araba/Álava,%,69.71
2021,Using spreadsheets,Male,16-24 years,Bizkaia,%,68.76
2019,Using spreadsheets,Male,16-24 years,Bizkaia,%,70.3
2023,Using spreadsheets,Male,16-24 years,Bizkaia,%,62.89
2020,Using spreadsheets,Male,16-24 years,Bizkaia,%,71.66
2022,Using spreadsheets,Male,16-24 years,Bizkaia,%,68.79
2021,Using spreadsheets,Male,16-24 years,Gipuzkoa,%,76.33
2023,Using spreadsheets,Male,16-24 years,Gipuzkoa,%,66.82
2020,Using spreadsheets,Male,16-24 years,Gipuzkoa,%,73.69
2022,Using spreadsheets,Male,16-24 years,Gipuzkoa,%,63.16
2019,Using spreadsheets,Male,16-24 years,Gipuzkoa,%,69.19
2023,Using spreadsheets,Male,16-74 years,,%,42.84
2021,Using spreadsheets,Male,16-74 years,,%,46.58
2019,Using spreadsheets,Male,16-74 years,,%,44.35
2022,Using spreadsheets,Male,16-74 years,,%,43.44
2020,Using spreadsheets,Male,16-74 years,,%,42.48
2020,Using spreadsheets,Male,16-74 years,Araba/Álava,%,39.7
2022,Using spreadsheets,Male,16-74 years,Araba/Álava,%,45.95
2021,Using spreadsheets,Male,16-74 years,Araba/Álava,%,44.95
2023,Using spreadsheets,Male,16-74 years,Araba/Álava,%,35.4
2019,Using spreadsheets,Male,16-74 years,Araba/Álava,%,45.71
2019,Using spreadsheets,Male,16-74 years,Bizkaia,%,44.24
2022,Using spreadsheets,Male,16-74 years,Bizkaia,%,42.95
2020,Using spreadsheets,Male,16-74 years,Bizkaia,%,44.29
2021,Using spreadsheets,Male,16-74 years,Bizkaia,%,48.18
2023,Using spreadsheets,Male,16-74 years,Bizkaia,%,43.27
2019,Using spreadsheets,Male,16-74 years,Gipuzkoa,%,43.91
2020,Using spreadsheets,Male,16-74 years,Gipuzkoa,%,40.86
2021,Using spreadsheets,Male,16-74 years,Gipuzkoa,%,44.77
2023,Using spreadsheets,Male,16-74 years,Gipuzkoa,%,45.65
2022,Using spreadsheets,Male,16-74 years,Gipuzkoa,%,43.05
2023,Using spreadsheets,Male,25-74 years,,%,40.06
2019,Using spreadsheets,Male,25-74 years,,%,41.44
2021,Using spreadsheets,Male,25-74 years,,%,43.19
2022,Using spreadsheets,Male,25-74 years,,%,40.07
2020,Using spreadsheets,Male,25-74 years,,%,38.56
2023,Using spreadsheets,Male,25-74 years,Araba/Álava,%,32.43
2020,Using spreadsheets,Male,25-74 years,Araba/Álava,%,35.19
2021,Using spreadsheets,Male,25-74 years,Araba/Álava,%,42.61
2019,Using spreadsheets,Male,25-74 years,Araba/Álava,%,43.17
2022,Using spreadsheets,Male,25-74 years,Araba/Álava,%,42.14
2022,Using spreadsheets,Male,25-74 years,Bizkaia,%,39.43
2020,Using spreadsheets,Male,25-74 years,Bizkaia,%,40.89
2021,Using spreadsheets,Male,25-74 years,Bizkaia,%,45.5
2019,Using spreadsheets,Male,25-74 years,Bizkaia,%,41.44
2023,Using spreadsheets,Male,25-74 years,Bizkaia,%,40.68
2020,Using spreadsheets,Male,25-74 years,Gipuzkoa,%,36.35
2021,Using spreadsheets,Male,25-74 years,Gipuzkoa,%,39.7
2019,Using spreadsheets,Male,25-74 years,Gipuzkoa,%,40.67
2023,Using spreadsheets,Male,25-74 years,Gipuzkoa,%,42.6
2022,Using spreadsheets,Male,25-74 years,Gipuzkoa,%,40.1
2020,Programming in a programming language,,16-24 years,,%,13.21
2022,Programming in a programming language,,16-24 years,,%,11.04
2023,Programming in a programming language,,16-24 years,,%,16.58
2019,Programming in a programming language,,16-24 years,,%,12.34
2021,Programming in a programming language,,16-24 years,,%,14.65
2021,Programming in a programming language,,16-24 years,Araba/Álava,%,14.49
2023,Programming in a programming language,,16-24 years,Araba/Álava,%,14.41
2022,Programming in a programming language,,16-24 years,Araba/Álava,%,11.05
2020,Programming in a programming language,,16-24 years,Araba/Álava,%,7.03
2019,Programming in a programming language,,16-24 years,Araba/Álava,%,10.56
2022,Programming in a programming language,,16-24 years,Bizkaia,%,11.36
2023,Programming in a programming language,,16-24 years,Bizkaia,%,20.07
2019,Programming in a programming language,,16-24 years,Bizkaia,%,14.19
2021,Programming in a programming language,,16-24 years,Bizkaia,%,14.51
2020,Programming in a programming language,,16-24 years,Bizkaia,%,16.12
2020,Programming in a programming language,,16-24 years,Gipuzkoa,%,11.7
2022,Programming in a programming language,,16-24 years,Gipuzkoa,%,10.53
2019,Programming in a programming language,,16-24 years,Gipuzkoa,%,10.54
2023,Programming in a programming language,,16-24 years,Gipuzkoa,%,12.47
2021,Programming in a programming language,,16-24 years,Gipuzkoa,%,14.93
2021,Programming in a programming language,,16-74 years,,%,5.27
2023,Programming in a programming language,,16-74 years,,%,6.23
2020,Programming in a programming language,,16-74 years,,%,5.69
2022,Programming in a programming language,,16-74 years,,%,5.26
2019,Programming in a programming language,,16-74 years,,%,5.56
2020,Programming in a programming language,,16-74 years,Araba/Álava,%,5.73
2022,Programming in a programming language,,16-74 years,Araba/Álava,%,4.73
2023,Programming in a programming language,,16-74 years,Araba/Álava,%,4.26
