Year,Tipo de violencia,Territorio,Units,Value
2019,Todos los tipos de violencia,Altzaga,Por 10.000,0.0
2019,Todos los tipos de violencia,Arrankudiaga-Zollo,Por 10.000,39.1
2019,Todos los tipos de violencia,Mutriku,Por 10.000,49.4
2018,Todos los tipos de violencia,Orozko,Por 10.000,37.7
2018,Todos los tipos de violencia,Berrobi,Por 10.000,0.0
2021,Todos los tipos de violencia,Erandio,Por 10.000,76.3
2018,Todos los tipos de violencia,Errigoiti,Por 10.000,0.0
2019,Todos los tipos de violencia,Arrieta,Por 10.000,0.0
2019,Todos los tipos de violencia,Mañaria,Por 10.000,77.5
2021,Todos los tipos de violencia,Arrieta,Por 10.000,0.0
2020,Todos los tipos de violencia,Beasain,Por 10.000,29.1
2019,Todos los tipos de violencia,Gorbeialdea / Estribaciones del Gorbea,Por 10.000,21.4
2018,Todos los tipos de violencia,Andoain,Por 10.000,34.7
2021,Todos los tipos de violencia,Sopela,Por 10.000,59.1
2018,Todos los tipos de violencia,Hernialde,Por 10.000,131.6
2021,Todos los tipos de violencia,Barakaldo,Por 10.000,65.4
2019,Todos los tipos de violencia,Balmaseda,Por 10.000,43.2
2018,Todos los tipos de violencia,Orendain,Por 10.000,97.1
2019,Todos los tipos de violencia,Portugalete,Por 10.000,42.4
2021,Todos los tipos de violencia,Barrika,Por 10.000,77.9
2018,Todos los tipos de violencia,Derio,Por 10.000,27.1
2018,Todos los tipos de violencia,Zerain,Por 10.000,0.0
2021,Todos los tipos de violencia,Otxandio,Por 10.000,15.3
2019,Todos los tipos de violencia,Agurain/Salvatierra,Por 10.000,41.4
2018,Todos los tipos de violencia,Orexa,Por 10.000,0.0
2019,Todos los tipos de violencia,Zestoa,Por 10.000,38.0
2019,Todos los tipos de violencia,Izurtza,Por 10.000,0.0
2021,Todos los tipos de violencia,Santurtzi,Por 10.000,79.3
2020,Todos los tipos de violencia,Loiu,Por 10.000,45.2
2020,Todos los tipos de violencia,Lezama,Por 10.000,24.4
2021,Todos los tipos de violencia,Ribera Baja/Erriberabeitia,Por 10.000,27.0
2020,Todos los tipos de violencia,Aizarnazabal,Por 10.000,0.0
2020,Todos los tipos de violencia,Andoain,Por 10.000,42.8
2019,Todos los tipos de violencia,Forua,Por 10.000,0.0
2021,Todos los tipos de violencia,Lemoiz,Por 10.000,15.8
2021,Todos los tipos de violencia,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,67.7
2019,Todos los tipos de violencia,Amorebieta-Etxano,Por 10.000,37.5
2018,Todos los tipos de violencia,Sondika,Por 10.000,25.6
2018,Todos los tipos de violencia,Amoroto,Por 10.000,0.0
2019,Todos los tipos de violencia,Busturia,Por 10.000,73.3
2020,Todos los tipos de violencia,Kripan,Por 10.000,0.0
2019,Todos los tipos de violencia,Karrantza Harana/Valle de Carranza,Por 10.000,44.0
2021,Todos los tipos de violencia,Urduña/Orduña,Por 10.000,35.2
2021,Todos los tipos de violencia,Artea,Por 10.000,0.0
2020,Todos los tipos de violencia,Beizama,Por 10.000,0.0
2018,Todos los tipos de violencia,San Millán/Donemiliaga,Por 10.000,31.4
2020,Todos los tipos de violencia,Munitibar-Arbatzegi Gerrikaitz,Por 10.000,0.0
2021,Todos los tipos de violencia,Eibar,Por 10.000,58.7
2018,Todos los tipos de violencia,Iruraiz-Gauna,Por 10.000,0.0
2019,Todos los tipos de violencia,Elduain,Por 10.000,0.0
2021,Todos los tipos de violencia,Arrankudiaga-Zollo,Por 10.000,38.7
2019,Todos los tipos de violencia,Artzentales,Por 10.000,61.0
2019,Todos los tipos de violencia,Larrabetzu,Por 10.000,9.4
2021,Todos los tipos de violencia,Durango,Por 10.000,39.6
2019,Todos los tipos de violencia,Kortezubi,Por 10.000,0.0
2020,Todos los tipos de violencia,Iruraiz-Gauna,Por 10.000,0.0
2019,Todos los tipos de violencia,Igorre,Por 10.000,27.9
2018,Todos los tipos de violencia,Arratia Nerbioi / Arratia-Nervión,Por 10.000,39.6
2021,Todos los tipos de violencia,Gizaburuaga,Por 10.000,0.0
2021,Todos los tipos de violencia,Berrobi,Por 10.000,34.5
2021,Todos los tipos de violencia,Ikaztegieta,Por 10.000,0.0
2022,Todos los tipos de violencia,Durangaldea / Duranguesado,Por 10.000,15.6
2020,Todos los tipos de violencia,Gernika-Bermeo,Por 10.000,35.3
2020,Todos los tipos de violencia,Balmaseda,Por 10.000,52.8
2020,Todos los tipos de violencia,Legutio,Por 10.000,44.2
2020,Todos los tipos de violencia,Legorreta,Por 10.000,27.6
2019,Todos los tipos de violencia,Morga,Por 10.000,0.0
2021,Todos los tipos de violencia,Bidania-Goiatz,Por 10.000,0.0
2021,Todos los tipos de violencia,Muxika,Por 10.000,42.9
2020,Todos los tipos de violencia,Arabako Errioxa / Rioja Alavesa,Por 10.000,305.3
2019,Todos los tipos de violencia,Bernedo,Por 10.000,0.0
2018,Todos los tipos de violencia,Ereño,Por 10.000,0.0
2018,Todos los tipos de violencia,Ibarra,Por 10.000,51.3
2020,Todos los tipos de violencia,Harana/Valle de Arana,Por 10.000,194.2
2020,Todos los tipos de violencia,Maruri-Jatabe,Por 10.000,0.0
2018,Todos los tipos de violencia,Ibarrangelu,Por 10.000,98.7
2018,Todos los tipos de violencia,Hondarribia,Por 10.000,33.7
2021,Todos los tipos de violencia,Hondarribia,Por 10.000,33.7
2020,Todos los tipos de violencia,Zestoa,Por 10.000,49.2
2020,Todos los tipos de violencia,Galdakao,Por 10.000,40.2
2020,Todos los tipos de violencia,Labastida/Bastida,Por 10.000,26.0
2021,Todos los tipos de violencia,Galdames,Por 10.000,25.5
2020,Todos los tipos de violencia,Berango,Por 10.000,23.8
2019,Todos los tipos de violencia,Maruri-Jatabe,Por 10.000,0.0
2018,Todos los tipos de violencia,Zaratamo,Por 10.000,24.1
2018,Todos los tipos de violencia,Gernika-Lumo,Por 10.000,48.4
2020,Todos los tipos de violencia,Markina-Ondarroa,Por 10.000,34.0
2018,Todos los tipos de violencia,Ermua,Por 10.000,34.6
2020,Todos los tipos de violencia,Mañaria,Por 10.000,38.8
2020,Todos los tipos de violencia,Enkartazioak / Encartaciones,Por 10.000,486.1
2018,Todos los tipos de violencia,Urnieta,Por 10.000,35.3
2018,Todos los tipos de violencia,Gamiz-Fika,Por 10.000,27.9
2019,Todos los tipos de violencia,Legutio,Por 10.000,57.9
2020,Todos los tipos de violencia,Gamiz-Fika,Por 10.000,28.8
2020,Todos los tipos de violencia,Gautegiz Arteaga,Por 10.000,23.7
2020,Todos los tipos de violencia,Eskoriatza,Por 10.000,9.8
2021,Todos los tipos de violencia,Gordexola,Por 10.000,60.8
2021,Todos los tipos de violencia,Enkartazioak / Encartaciones,Por 10.000,532.8
2021,Todos los tipos de violencia,Etxebarria,Por 10.000,0.0
2018,Todos los tipos de violencia,Legutio,Por 10.000,35.4
2019,Todos los tipos de violencia,Durangaldea / Duranguesado,Por 10.000,33.8
2020,Todos los tipos de violencia,Gaintza,Por 10.000,0.0
2018,Todos los tipos de violencia,Getxo,Por 10.000,33.2
2019,Todos los tipos de violencia,Segura,Por 10.000,0.0
2021,Todos los tipos de violencia,Ajangiz,Por 10.000,0.0
2018,Todos los tipos de violencia,Elduain,Por 10.000,0.0
2019,Todos los tipos de violencia,Gernika-Lumo,Por 10.000,56.1
2019,Todos los tipos de violencia,Barrundia,Por 10.000,47.7
2018,Todos los tipos de violencia,Ea,Por 10.000,0.0
2021,Todos los tipos de violencia,Arratzu,Por 10.000,45.5
2020,Todos los tipos de violencia,Ibarra,Por 10.000,41.9
2018,Todos los tipos de violencia,Durango,Por 10.000,43.5
2021,Todos los tipos de violencia,Elduain,Por 10.000,82.6
2019,Todos los tipos de violencia,Arabako Errioxa / Rioja Alavesa,Por 10.000,35.7
2019,Todos los tipos de violencia,Dima,Por 10.000,14.1
2019,Todos los tipos de violencia,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,86.9
2019,Todos los tipos de violencia,Zierbena,Por 10.000,56.3
2018,Todos los tipos de violencia,Tolosa,Por 10.000,39.5
2021,Todos los tipos de violencia,Zeberio,Por 10.000,56.1
2021,Todos los tipos de violencia,Gautegiz Arteaga,Por 10.000,46.2
2020,Todos los tipos de violencia,Ikaztegieta,Por 10.000,0.0
2022,Todos los tipos de violencia,Arabako Errioxa / Rioja Alavesa,Por 10.000,305.4
2019,Todos los tipos de violencia,Ikaztegieta,Por 10.000,0.0
2018,Todos los tipos de violencia,Berantevilla,Por 10.000,0.0
2021,Todos los tipos de violencia,Iruraiz-Gauna,Por 10.000,0.0
2021,Todos los tipos de violencia,Tolosa,Por 10.000,53.2
2019,Todos los tipos de violencia,Irun,Por 10.000,66.8
2020,Todos los tipos de violencia,San Millán/Donemiliaga,Por 10.000,61.7
2018,Todos los tipos de violencia,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,85.0
2018,Todos los tipos de violencia,Hernani,Por 10.000,58.9
2021,Todos los tipos de violencia,Zalduondo,Por 10.000,101.0
2018,Todos los tipos de violencia,Donostialdea,Por 10.000,47.6
2021,Todos los tipos de violencia,Busturia,Por 10.000,35.5
2019,Todos los tipos de violencia,Vitoria-Gasteiz,Por 10.000,52.4
2021,Todos los tipos de violencia,Itsasondo,Por 10.000,0.0
2019,Todos los tipos de violencia,Deba,Por 10.000,18.4
2018,Todos los tipos de violencia,Zalduondo,Por 10.000,0.0
2019,Todos los tipos de violencia,Hernialde,Por 10.000,0.0
2020,Todos los tipos de violencia,Güeñes,Por 10.000,38.4
2021,Todos los tipos de violencia,Güeñes,Por 10.000,23.5
2021,Todos los tipos de violencia,Larraul,Por 10.000,90.1
2019,Todos los tipos de violencia,Zizurkil,Por 10.000,13.2
2018,Todos los tipos de violencia,Altzo,Por 10.000,0.0
2021,Todos los tipos de violencia,Zizurkil,Por 10.000,62.1
2018,Todos los tipos de violencia,Lazkao,Por 10.000,14.6
2018,Todos los tipos de violencia,Güeñes,Por 10.000,26.6
2021,Todos los tipos de violencia,Markina-Ondarroa,Por 10.000,30.4
2020,Todos los tipos de violencia,Samaniego,Por 10.000,0.0
2019,Todos los tipos de violencia,Zalla,Por 10.000,51.3
2020,Todos los tipos de violencia,Gizaburuaga,Por 10.000,0.0
2021,Todos los tipos de violencia,Asparrena,Por 10.000,72.2
2019,Todos los tipos de violencia,Nabarniz,Por 10.000,0.0
2019,Todos los tipos de violencia,Bermeo,Por 10.000,57.1
2018,Todos los tipos de violencia,Larrabetzu,Por 10.000,9.4
2018,Todos los tipos de violencia,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,48.7
2021,Todos los tipos de violencia,Nabarniz,Por 10.000,71.9
2019,Todos los tipos de violencia,Leaburu,Por 10.000,57.5
2018,Todos los tipos de violencia,Kortezubi,Por 10.000,45.5
2018,Todos los tipos de violencia,Urola Kosta,Por 10.000,33.1
2018,Todos los tipos de violencia,Barrika,Por 10.000,67.6
2021,Todos los tipos de violencia,Pasaia,Por 10.000,59.3
2021,Todos los tipos de violencia,Baños de Ebro/Mañueta,Por 10.000,73.0
2021,Todos los tipos de violencia,Morga,Por 10.000,0.0
2020,Todos los tipos de violencia,Lagrán,Por 10.000,0.0
2020,Todos los tipos de violencia,Barakaldo,Por 10.000,55.5
2019,Todos los tipos de violencia,Moreda de Álava/Moreda Araba,Por 10.000,0.0
2019,Todos los tipos de violencia,Zegama,Por 10.000,0.0
2019,Todos los tipos de violencia,Legorreta,Por 10.000,27.7
2021,Todos los tipos de violencia,Arraia-Maeztu,Por 10.000,55.7
2018,Todos los tipos de violencia,Izurtza,Por 10.000,0.0
2020,Todos los tipos de violencia,Donostia / San Sebastián,Por 10.000,44.4
2020,Todos los tipos de violencia,Izurtza,Por 10.000,0.0
2018,Todos los tipos de violencia,Arrigorriaga,Por 10.000,47.2
2020,Todos los tipos de violencia,Bidania-Goiatz,Por 10.000,38.0
2022,Todos los tipos de violencia,Plentzia-Mungia,Por 10.000,40.7
2021,Todos los tipos de violencia,Urduliz,Por 10.000,47.4
2018,Todos los tipos de violencia,Lantarón,Por 10.000,48.9
2019,Todos los tipos de violencia,Artziniega,Por 10.000,72.5
2020,Todos los tipos de violencia,Lanestosa,Por 10.000,78.7
2020,Todos los tipos de violencia,Arratia Nerbioi / Arratia-Nervión,Por 10.000,538.6
2020,Todos los tipos de violencia,Lizartza,Por 10.000,0.0
2021,Todos los tipos de violencia,Idiazabal,Por 10.000,26.2
2018,Todos los tipos de violencia,Lanestosa,Por 10.000,0.0
2020,Todos los tipos de violencia,Añana,Por 10.000,0.0
2019,Todos los tipos de violencia,Arrasate/Mondragón,Por 10.000,41.9
2019,Todos los tipos de violencia,Erandio,Por 10.000,91.4
2021,Todos los tipos de violencia,Artzentales,Por 10.000,58.8
2021,Todos los tipos de violencia,Irun,Por 10.000,71.0
2021,Todos los tipos de violencia,Sopuerta,Por 10.000,37.2
2019,Todos los tipos de violencia,Zamudio,Por 10.000,36.3
2021,Todos los tipos de violencia,Orozko,Por 10.000,36.1
2021,Todos los tipos de violencia,Yécora/Iekora,Por 10.000,86.2
2018,Todos los tipos de violencia,Leintz-Gatzaga,Por 10.000,0.0
2020,Todos los tipos de violencia,Leioa,Por 10.000,43.6
2021,Todos los tipos de violencia,Arantzazu,Por 10.000,99.0
2021,Todos los tipos de violencia,Leioa,Por 10.000,55.5
2020,Todos los tipos de violencia,Aduna,Por 10.000,132.7
2018,Todos los tipos de violencia,Ayala/Aiara,Por 10.000,6.9
2020,Todos los tipos de violencia,Irun,Por 10.000,61.3
2021,Todos los tipos de violencia,Amezketa,Por 10.000,22.3
2018,Todos los tipos de violencia,Laguardia,Por 10.000,0.0
2019,Todos los tipos de violencia,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,54.2
2020,Todos los tipos de violencia,Oñati,Por 10.000,25.8
2020,Todos los tipos de violencia,Leintz-Gatzaga,Por 10.000,0.0
2019,Todos los tipos de violencia,Laudio/Llodio,Por 10.000,36.1
2020,Todos los tipos de violencia,Lemoiz,Por 10.000,0.0
2020,Todos los tipos de violencia,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,86.0
2018,Todos los tipos de violencia,Lemoiz,Por 10.000,122.2
2018,Todos los tipos de violencia,Santurtzi,Por 10.000,53.5
2018,Todos los tipos de violencia,Debabarrena / Bajo Deba,Por 10.000,25.2
2021,Todos los tipos de violencia,Lezama,Por 10.000,32.7
2018,Todos los tipos de violencia,Asparrena,Por 10.000,24.7
2021,Todos los tipos de violencia,Tolosaldea,Por 10.000,40.0
2018,Todos los tipos de violencia,Ortuella,Por 10.000,51.2
2021,Todos los tipos de violencia,Oñati,Por 10.000,12.1
2019,Todos los tipos de violencia,Elburgo/Burgelu,Por 10.000,0.0
2019,Todos los tipos de violencia,Errigoiti,Por 10.000,45.0
2020,Todos los tipos de violencia,Bilbao,Por 10.000,48.3
2021,Todos los tipos de violencia,Trucios-Turtzioz,Por 10.000,0.0
2020,Todos los tipos de violencia,Ortuella,Por 10.000,79.3
2020,Todos los tipos de violencia,Sestao,Por 10.000,110.8
2021,Todos los tipos de violencia,Beasain,Por 10.000,39.5
2019,Todos los tipos de violencia,Albiztur,Por 10.000,0.0
2020,Todos los tipos de violencia,Portugalete,Por 10.000,50.1
2018,Todos los tipos de violencia,Sestao,Por 10.000,65.8
2020,Todos los tipos de violencia,Artziniega,Por 10.000,31.3
2018,Todos los tipos de violencia,Lekeitio,Por 10.000,32.8
2021,Todos los tipos de violencia,Sukarrieta,Por 10.000,0.0
2020,Todos los tipos de violencia,Atxondo,Por 10.000,0.0
2018,Todos los tipos de violencia,Azpeitia,Por 10.000,29.6
2018,Todos los tipos de violencia,Errenteria,Por 10.000,65.3
2020,Todos los tipos de violencia,Leza,Por 10.000,360.4
2018,Todos los tipos de violencia,,Por 10.000,47.3
2021,Todos los tipos de violencia,Peñacerrada-Urizaharra,Por 10.000,0.0
2020,Todos los tipos de violencia,Mutriku,Por 10.000,49.3
2021,Todos los tipos de violencia,Mallabia,Por 10.000,16.9
2021,Todos los tipos de violencia,Orexa,Por 10.000,0.0
2018,Todos los tipos de violencia,Gabiria,Por 10.000,0.0
2019,Todos los tipos de violencia,Leza,Por 10.000,0.0
2021,Todos los tipos de violencia,Aramaio,Por 10.000,28.1
2020,Todos los tipos de violencia,Zaldibar,Por 10.000,59.4
2018,Todos los tipos de violencia,Gaztelu,Por 10.000,0.0
2021,Todos los tipos de violencia,Ortuella,Por 10.000,85.7
2020,Todos los tipos de violencia,Zigoitia,Por 10.000,24.5
2019,Todos los tipos de violencia,Abaltzisketa,Por 10.000,0.0
2018,Todos los tipos de violencia,Altzaga,Por 10.000,0.0
2020,Todos los tipos de violencia,Trucios-Turtzioz,Por 10.000,0.0
2021,Todos los tipos de violencia,Mañaria,Por 10.000,79.4
2019,Todos los tipos de violencia,Otxandio,Por 10.000,29.9
2021,Todos los tipos de violencia,Kuartango,Por 10.000,58.5
2018,Todos los tipos de violencia,Ubide,Por 10.000,0.0
2020,Todos los tipos de violencia,Aulesti,Por 10.000,0.0
2020,Todos los tipos de violencia,Plentzia-Mungia,Por 10.000,40.7
2020,Todos los tipos de violencia,Zaratamo,Por 10.000,154.0
2020,Todos los tipos de violencia,Lapuebla de Labarca,Por 10.000,23.6
2021,Todos los tipos de violencia,Laudio/Llodio,Por 10.000,45.2
2019,Todos los tipos de violencia,Alegia,Por 10.000,46.8
2021,Todos los tipos de violencia,Oyón-Oion,Por 10.000,17.1
2019,Todos los tipos de violencia,Ormaiztegi,Por 10.000,15.5
2020,Todos los tipos de violencia,Ziortza-Bolibar,Por 10.000,99.0
2018,Todos los tipos de violencia,Aulesti,Por 10.000,0.0
2019,Todos los tipos de violencia,Markina-Ondarroa,Por 10.000,27.0
2020,Todos los tipos de violencia,Lezo,Por 10.000,78.7
2019,Todos los tipos de violencia,Lezo,Por 10.000,42.7
2018,Todos los tipos de violencia,Urduliz,Por 10.000,67.6
2020,Todos los tipos de violencia,Markina-Xemein,Por 10.000,28.4
2021,Todos los tipos de violencia,Urola Kosta,Por 10.000,25.8
2018,Todos los tipos de violencia,Ataun,Por 10.000,12.0
2020,Todos los tipos de violencia,Ormaiztegi,Por 10.000,0.0
2019,Todos los tipos de violencia,Markina-Xemein,Por 10.000,20.5
2021,Todos los tipos de violencia,Zigoitia,Por 10.000,23.7
2022,Todos los tipos de violencia,Bidasoa Beherea / Bajo Bidasoa,Por 10.000,1.0
2019,Todos los tipos de violencia,Orio,Por 10.000,42.9
2020,Todos los tipos de violencia,Arraia-Maeztu,Por 10.000,29.7
2021,Todos los tipos de violencia,Alonsotegi,Por 10.000,59.4
2020,Todos los tipos de violencia,Errezil,Por 10.000,36.8
2021,Todos los tipos de violencia,Mundaka,Por 10.000,61.6
2018,Todos los tipos de violencia,Soraluze-Placencia de las Armas,Por 10.000,20.3
2021,Todos los tipos de violencia,Bedia,Por 10.000,35.2
2020,Todos los tipos de violencia,Zambrana,Por 10.000,47.4
2019,Todos los tipos de violencia,Atxondo,Por 10.000,28.4
2018,Todos los tipos de violencia,Meñaka,Por 10.000,87.7
2021,Todos los tipos de violencia,Areatza,Por 10.000,46.3
2021,Todos los tipos de violencia,Arabako Errioxa / Rioja Alavesa,Por 10.000,304.2
2019,Todos los tipos de violencia,Usurbil,Por 10.000,74.0
2018,Todos los tipos de violencia,Zalla,Por 10.000,30.3
2021,Todos los tipos de violencia,Usurbil,Por 10.000,32.6
2018,Todos los tipos de violencia,Zumarraga,Por 10.000,17.8
2019,Todos los tipos de violencia,Anoeta,Por 10.000,10.2
2020,Todos los tipos de violencia,Mendata,Por 10.000,0.0
2019,Todos los tipos de violencia,Oiartzun,Por 10.000,34.0
2019,Todos los tipos de violencia,Iruña Oka/Iruña de Oca,Por 10.000,35.0
2019,Todos los tipos de violencia,Navaridas,Por 10.000,0.0
2021,Todos los tipos de violencia,Leaburu,Por 10.000,0.0
2019,Todos los tipos de violencia,Villabona,Por 10.000,50.4
2021,Todos los tipos de violencia,Zuia,Por 10.000,17.9
2019,Todos los tipos de violencia,Zigoitia,Por 10.000,12.7
2019,Todos los tipos de violencia,Pasaia,Por 10.000,63.3
2020,Todos los tipos de violencia,Mendexa,Por 10.000,87.3
2021,Todos los tipos de violencia,Navaridas,Por 10.000,102.0
2018,Todos los tipos de violencia,Antzuola,Por 10.000,27.0
2019,Todos los tipos de violencia,Zuia,Por 10.000,0.0
2020,Todos los tipos de violencia,Arama,Por 10.000,93.5
2018,Todos los tipos de violencia,Arabako Lautada / Llanada Alavesa,Por 10.000,45.5
2021,Todos los tipos de violencia,Urretxu,Por 10.000,59.0
2019,Todos los tipos de violencia,Areatza,Por 10.000,111.8
2021,Todos los tipos de violencia,Mendexa,Por 10.000,0.0
2019,Todos los tipos de violencia,Urretxu,Por 10.000,32.3
2018,Todos los tipos de violencia,Navaridas,Por 10.000,0.0
2018,Todos los tipos de violencia,Zuia,Por 10.000,0.0
2018,Todos los tipos de violencia,Arama,Por 10.000,0.0
2021,Todos los tipos de violencia,Zaldibia,Por 10.000,12.4
2018,Todos los tipos de violencia,Leaburu,Por 10.000,0.0
2020,Todos los tipos de violencia,Usurbil,Por 10.000,22.7
2019,Todos los tipos de violencia,Zarautz,Por 10.000,22.5
2021,Todos los tipos de violencia,Artziniega,Por 10.000,10.6
2019,Todos los tipos de violencia,Aretxabaleta,Por 10.000,22.8
2021,Todos los tipos de violencia,Igorre,Por 10.000,46.6
2018,Todos los tipos de violencia,Ordizia,Por 10.000,39.8
2020,Todos los tipos de violencia,Alkiza,Por 10.000,0.0
2019,Todos los tipos de violencia,Arama,Por 10.000,0.0
2020,Todos los tipos de violencia,Añana (comarca),Por 10.000,46.0
2019,Todos los tipos de violencia,Okondo,Por 10.000,87.4
2020,Todos los tipos de violencia,Lazkao,Por 10.000,45.3
2018,Todos los tipos de violencia,Zarautz,Por 10.000,34.4
2021,Todos los tipos de violencia,Ugao-Miraballes,Por 10.000,59.3
2020,Todos los tipos de violencia,Urretxu,Por 10.000,47.0
2021,Todos los tipos de violencia,Mendata,Por 10.000,49.0
2019,Todos los tipos de violencia,Zumaia,Por 10.000,24.2
2021,Todos los tipos de violencia,Lanciego/Lantziego,Por 10.000,28.4
2019,Todos los tipos de violencia,Asteasu,Por 10.000,52.3
2021,Todos los tipos de violencia,Villabona,Por 10.000,27.5
2020,Todos los tipos de violencia,Antzuola,Por 10.000,27.7
2018,Todos los tipos de violencia,Bergara,Por 10.000,23.9
2021,Todos los tipos de violencia,Zambrana,Por 10.000,0.0
2021,Todos los tipos de violencia,Zumarraga,Por 10.000,20.4
2021,Todos los tipos de violencia,Lasarte-Oria,Por 10.000,28.4
2019,Todos los tipos de violencia,Alkiza,Por 10.000,0.0
2018,Todos los tipos de violencia,Ugao-Miraballes,Por 10.000,34.6
2022,Todos los tipos de violencia,Arabako Lautada / Llanada Alavesa,Por 10.000,1.5
2020,Todos los tipos de violencia,Ataun,Por 10.000,47.9
2021,Todos los tipos de violencia,Errigoiti,Por 10.000,45.2
2019,Todos los tipos de violencia,Bergara,Por 10.000,33.2
2020,Todos los tipos de violencia,Morga,Por 10.000,0.0
2020,Todos los tipos de violencia,Baliarrain,Por 10.000,0.0
2019,Todos los tipos de violencia,Debagoiena / Alto Deba,Por 10.000,35.5
2019,Todos los tipos de violencia,Aia,Por 10.000,43.0
2020,Todos los tipos de violencia,Zumaia,Por 10.000,16.0
2019,Todos los tipos de violencia,Baliarrain,Por 10.000,0.0
2020,Todos los tipos de violencia,Muxika,Por 10.000,84.5
2018,Todos los tipos de violencia,Aia,Por 10.000,31.9
2019,Todos los tipos de violencia,Mendata,Por 10.000,52.6
2020,Todos los tipos de violencia,Areatza,Por 10.000,62.2
2018,Todos los tipos de violencia,Mendaro,Por 10.000,18.7
2019,Todos los tipos de violencia,Azkoitia,Por 10.000,8.5
2018,Todos los tipos de violencia,Bedia,Por 10.000,18.0
2019,Todos los tipos de violencia,Lanciego/Lantziego,Por 10.000,58.3
2020,Todos los tipos de violencia,Bedia,Por 10.000,0.0
2021,Todos los tipos de violencia,Alegia,Por 10.000,34.9
2020,Todos los tipos de violencia,Azkoitia,Por 10.000,33.8
2018,Todos los tipos de violencia,Azkoitia,Por 10.000,27.1
2019,Todos los tipos de violencia,Samaniego,Por 10.000,0.0
2018,Todos los tipos de violencia,Kuartango,Por 10.000,66.2
2018,Todos los tipos de violencia,Atxondo,Por 10.000,69.9
2019,Todos los tipos de violencia,Azpeitia,Por 10.000,24.0
2021,Todos los tipos de violencia,Hernialde,Por 10.000,0.0
2019,Todos los tipos de violencia,Altzo,Por 10.000,0.0
2022,Todos los tipos de violencia,Bilbo Handia / Gran Bilbao,Por 10.000,1.6
2021,Todos los tipos de violencia,Zumaia,Por 10.000,47.6
2021,Todos los tipos de violencia,Bilbao,Por 10.000,43.6
2021,Todos los tipos de violencia,Errezil,Por 10.000,38.6
2020,Todos los tipos de violencia,Oyón-Oion,Por 10.000,46.0
2019,Todos los tipos de violencia,Ajangiz,Por 10.000,0.0
2021,Todos los tipos de violencia,Valle de Trápaga-Trapagaran,Por 10.000,80.2
2019,Todos los tipos de violencia,Mungia,Por 10.000,30.3
2019,Todos los tipos de violencia,Ondarroa,Por 10.000,33.0
2019,Todos los tipos de violencia,Astigarraga,Por 10.000,46.8
2020,Todos los tipos de violencia,Deba,Por 10.000,11.0
2019,Todos los tipos de violencia,Ayala/Aiara,Por 10.000,27.5
2021,Todos los tipos de violencia,Añana (comarca),Por 10.000,49.1
2018,Todos los tipos de violencia,Morga,Por 10.000,0.0
2021,Todos los tipos de violencia,Villabuena de Álava/Eskuernaga,Por 10.000,70.9
2020,Todos los tipos de violencia,Laguardia,Por 10.000,14.0
2018,Todos los tipos de violencia,Lapuebla de Labarca,Por 10.000,0.0
2021,Todos los tipos de violencia,Goierri,Por 10.000,32.2
2021,Todos los tipos de violencia,Aulesti,Por 10.000,0.0
2019,Todos los tipos de violencia,Errezil,Por 10.000,0.0
2020,Todos los tipos de violencia,Kortezubi,Por 10.000,0.0
2018,Todos los tipos de violencia,Baliarrain,Por 10.000,0.0
2021,Todos los tipos de violencia,Baliarrain,Por 10.000,0.0
2020,Todos los tipos de violencia,Zalduondo,Por 10.000,0.0
2018,Todos los tipos de violencia,Zigoitia,Por 10.000,38.0
2018,Todos los tipos de violencia,Elorrio,Por 10.000,16.0
2020,Todos los tipos de violencia,Albiztur,Por 10.000,0.0
2020,Todos los tipos de violencia,Amorebieta-Etxano,Por 10.000,33.0
2021,Todos los tipos de violencia,Astigarraga,Por 10.000,28.3
2021,Todos los tipos de violencia,Balmaseda,Por 10.000,57.4
2019,Todos los tipos de violencia,Orendain,Por 10.000,92.6
2020,Todos los tipos de violencia,Amoroto,Por 10.000,0.0
2019,Todos los tipos de violencia,Asparrena,Por 10.000,25.0
2020,Todos los tipos de violencia,Derio,Por 10.000,57.2
2021,Todos los tipos de violencia,Ubide,Por 10.000,0.0
2019,Todos los tipos de violencia,Aulesti,Por 10.000,0.0
2022,Todos los tipos de violencia,Markina-Ondarroa,Por 10.000,34.0
2021,Todos los tipos de violencia,Moreda de Álava/Moreda Araba,Por 10.000,0.0
2018,Todos los tipos de violencia,Otxandio,Por 10.000,30.2
2020,Todos los tipos de violencia,Arakaldo,Por 10.000,0.0
2018,Todos los tipos de violencia,Mañaria,Por 10.000,79.7
2020,Todos los tipos de violencia,Arantzazu,Por 10.000,0.0
2021,Todos los tipos de violencia,Laukiz,Por 10.000,15.5
2019,Todos los tipos de violencia,Amurrio,Por 10.000,38.0
2018,Todos los tipos de violencia,Abaltzisketa,Por 10.000,0.0
2020,Todos los tipos de violencia,Kuartango,Por 10.000,0.0
2019,Todos los tipos de violencia,Larraul,Por 10.000,0.0
