Year,ServBasico,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2021,BSRVSAN,,Gorbeialdea / Estribaciones del Gorbea,,Ehunekoa,Gorbeialdea / Estribaciones del Gorbea,99.6
2022,BSRVSAN,,Gorbeialdea / Estribaciones del Gorbea,,Ehunekoa,Gorbeialdea / Estribaciones del Gorbea,99.6
2010,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2011,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2013,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2014,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2015,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2016,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2017,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2018,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2019,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2020,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2021,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2022,BSRVH2O,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,100.0
2010,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.8
2011,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.7
2013,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.8
2014,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2015,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2016,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2017,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2018,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2019,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2020,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2021,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2022,BSRVSAN,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,99.9
2010,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2011,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2013,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2014,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2015,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2016,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2017,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2018,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2019,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2020,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2021,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2022,BSRVH2O,,,Samaniego,Ehunekoa,Samaniego,100.0
2010,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2011,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2013,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2014,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2015,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2016,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2017,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2018,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2019,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,99.2
2020,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,100.0
2021,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,100.0
2022,BSRVSAN,,,Samaniego,Ehunekoa,Samaniego,100.0
2010,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2011,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2013,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2014,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2015,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2016,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2017,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2018,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2019,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2020,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2021,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2022,BSRVH2O,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2010,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,99.6
2011,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,99.6
2013,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,99.7
2014,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2015,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2016,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2017,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2018,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2019,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2020,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2021,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,100.0
2022,BSRVSAN,,,San Millán/Donemiliaga,Ehunekoa,San Millán/Donemiliaga,99.7
2010,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2011,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2013,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2014,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2015,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2016,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2017,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2018,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2019,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2020,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2021,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2022,BSRVH2O,,,Urkabustaiz,Ehunekoa,Urkabustaiz,100.0
2010,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.2
2011,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.3
2013,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.1
2014,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.1
2015,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.1
2016,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.1
2017,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.3
2018,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.3
2019,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.4
2020,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.4
2021,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.6
2022,BSRVSAN,,,Urkabustaiz,Ehunekoa,Urkabustaiz,98.6
2010,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2011,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2013,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2014,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2015,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2016,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2017,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2018,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2019,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2020,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2021,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2022,BSRVH2O,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,100.0
2010,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.1
2011,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,97.0
2013,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.4
2014,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.6
2015,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.5
2016,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.5
2017,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.7
2018,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.7
2019,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.7
2020,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.7
2021,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,96.5
2022,BSRVSAN,,,Valdegovía/Gaubea,Ehunekoa,Valdegovía/Gaubea,97.1
2010,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2011,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2013,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2014,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2015,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2016,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2017,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2018,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2019,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2020,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2021,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2022,BSRVH2O,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2010,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,99.3
2011,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,99.2
2013,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2014,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2015,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2016,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,100.0
2017,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,98.3
2018,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,98.3
2019,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,98.3
2020,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,98.2
2021,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,98.3
2022,BSRVSAN,,,Harana/Valle de Arana,Ehunekoa,Harana/Valle de Arana,99.1
2010,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2011,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2013,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2014,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2015,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2016,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2017,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2018,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2019,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2020,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2021,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2022,BSRVH2O,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,100.0
2010,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2011,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.3
2013,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2014,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2015,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2016,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2017,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2018,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2019,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2020,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2021,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,98.3
2022,BSRVSAN,,,Villabuena de Álava/Eskuernaga,Ehunekoa,Villabuena de Álava/Eskuernaga,99.2
2010,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2011,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2013,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2014,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2015,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2016,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2017,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2018,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2019,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2020,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2021,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2022,BSRVH2O,,,Legutio,Ehunekoa,Legutio,100.0
2010,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.7
2011,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2013,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2014,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2015,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2016,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2017,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2018,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2019,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2020,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2021,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2022,BSRVSAN,,,Legutio,Ehunekoa,Legutio,99.9
2010,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2011,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2013,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2014,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2015,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2016,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2017,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2018,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2019,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2020,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2021,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2022,BSRVH2O,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,100.0
2010,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2011,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2013,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2014,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2015,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2016,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2017,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2018,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2019,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.8
2020,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.9
2021,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.9
2022,BSRVSAN,,,Vitoria-Gasteiz,Ehunekoa,Vitoria-Gasteiz,99.9
2010,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.8
2011,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2013,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2014,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2015,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2016,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2017,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2018,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2019,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2020,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2021,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2022,BSRVH2O,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.9
2010,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.6
2011,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.6
2013,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.6
2014,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.6
2015,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.6
2016,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2017,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2018,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2019,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2020,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2021,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2022,BSRVSAN,,Arabako Kantaurialdea / Cantábrica Alavesa,,Ehunekoa,Arabako Kantaurialdea / Cantábrica Alavesa,99.7
2010,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2011,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2013,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2014,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2015,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2016,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2017,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2018,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2019,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2020,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2021,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2022,BSRVH2O,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,100.0
2010,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.2
2011,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.2
2013,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.2
2014,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.2
2015,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.1
2016,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.1
2017,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.1
2018,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.0
2019,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.0
2020,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.0
2021,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,98.0
2022,BSRVSAN,,,Yécora/Iekora,Ehunekoa,Yécora/Iekora,97.9
2010,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2011,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2013,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2014,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2015,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2016,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2017,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2018,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2019,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2020,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2021,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2022,BSRVH2O,,,Zalduondo,Ehunekoa,Zalduondo,100.0
2010,BSRVSAN,,,Zalduondo,Ehunekoa,Zalduondo,95.1
2011,BSRVSAN,,,Zalduondo,Ehunekoa,Zalduondo,96.2
2013,BSRVSAN,,,Zalduondo,Ehunekoa,Zalduondo,96.2
2014,BSRVSAN,,,Zalduondo,Ehunekoa,Zalduondo,96.2
2015,BSRVSAN,,,Zalduondo,Ehunekoa,Zalduondo,96.3
