Year,Series,Age,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2016,Employment rate,16 years and over,,,,,Galdames,%,Galdames,48.3
2023,Employment rate,16 years and over,,,,,Galdames,%,Galdames,51.3
2021,Employment rate,16 years and over,,,,,Galdames,%,Galdames,49.2
2018,Employment rate,16 years and over,,,,,Galdames,%,Galdames,50.1
2020,Employment rate,16 years and over,,,,,Galdames,%,Galdames,48.7
2015,Employment rate,16 years and over,,,,,Galdames,%,Galdames,48.2
2019,Employment rate,16 years and over,,,,,Galdames,%,Galdames,48.1
2010,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,52.3
2023,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,54.1
2018,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,50.9
2015,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,49.8
2019,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,51.8
2022,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,53.0
2016,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,49.4
2021,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,52.1
2020,Employment rate,16 years and over,,,,,Gamiz-Fika,%,Gamiz-Fika,52.6
2021,Employment rate,16 years and over,,,,,Garai,%,Garai,62.7
2018,Employment rate,16 years and over,,,,,Garai,%,Garai,63.2
2019,Employment rate,16 years and over,,,,,Garai,%,Garai,63.1
2010,Employment rate,16 years and over,,,,,Garai,%,Garai,62.1
2016,Employment rate,16 years and over,,,,,Garai,%,Garai,59.9
2015,Employment rate,16 years and over,,,,,Garai,%,Garai,59.7
2022,Employment rate,16 years and over,,,,,Garai,%,Garai,61.9
2023,Employment rate,16 years and over,,,,,Garai,%,Garai,62.1
2020,Employment rate,16 years and over,,,,,Garai,%,Garai,62.8
2021,Employment rate,16 years and over,,,,,Gatika,%,Gatika,53.0
2023,Employment rate,16 years and over,,,,,Gatika,%,Gatika,55.1
2015,Employment rate,16 years and over,,,,,Gatika,%,Gatika,53.3
2022,Employment rate,16 years and over,,,,,Gatika,%,Gatika,53.7
2018,Employment rate,16 years and over,,,,,Gatika,%,Gatika,54.6
2010,Employment rate,16 years and over,,,,,Gatika,%,Gatika,56.0
2020,Employment rate,16 years and over,,,,,Gatika,%,Gatika,54.6
2019,Employment rate,16 years and over,,,,,Gatika,%,Gatika,53.9
2016,Employment rate,16 years and over,,,,,Gatika,%,Gatika,54.0
2022,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,55.0
2020,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,51.0
2023,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,55.7
2016,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,49.9
2015,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,48.2
2021,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,51.9
2018,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,50.9
2019,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,50.2
2010,Employment rate,16 years and over,,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,50.7
2010,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,56.3
2015,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,52.9
2016,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,49.6
2019,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,52.2
2023,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,58.7
2020,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,52.9
2022,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,59.0
2021,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,55.3
2018,Employment rate,16 years and over,,,,,Gaztelu,%,Gaztelu,51.1
2010,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,48.2
2021,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,49.5
2015,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,47.8
2020,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,50.7
2022,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,51.4
2019,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,50.8
2023,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,51.7
2016,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,48.2
2018,Employment rate,16 years and over,,,,,Gernika-Lumo,%,Gernika-Lumo,50.2
2021,Employment rate,16 years and over,,,,,Getaria,%,Getaria,56.2
2016,Employment rate,16 years and over,,,,,Getaria,%,Getaria,51.9
2018,Employment rate,16 years and over,,,,,Getaria,%,Getaria,55.7
2020,Employment rate,16 years and over,,,,,Getaria,%,Getaria,56.7
2015,Employment rate,16 years and over,,,,,Getaria,%,Getaria,52.2
2019,Employment rate,16 years and over,,,,,Getaria,%,Getaria,55.7
2010,Employment rate,16 years and over,,,,,Getaria,%,Getaria,53.0
2023,Employment rate,16 years and over,,,,,Getaria,%,Getaria,61.0
2022,Employment rate,16 years and over,,,,,Getaria,%,Getaria,59.7
2010,Employment rate,16 years and over,,,,,Getxo,%,Getxo,47.9
2023,Employment rate,16 years and over,,,,,Getxo,%,Getxo,48.8
2020,Employment rate,16 years and over,,,,,Getxo,%,Getxo,47.5
2015,Employment rate,16 years and over,,,,,Getxo,%,Getxo,47.1
2019,Employment rate,16 years and over,,,,,Getxo,%,Getxo,47.4
2022,Employment rate,16 years and over,,,,,Getxo,%,Getxo,47.6
2021,Employment rate,16 years and over,,,,,Getxo,%,Getxo,46.8
2016,Employment rate,16 years and over,,,,,Getxo,%,Getxo,46.3
2018,Employment rate,16 years and over,,,,,Getxo,%,Getxo,47.3
2010,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,61.7
2022,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,58.2
2016,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,56.9
2015,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,55.8
2018,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,54.6
2023,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,61.3
2019,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,52.7
2021,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,57.6
2020,Employment rate,16 years and over,,,,,Gizaburuaga,%,Gizaburuaga,55.4
2018,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,52.4
2019,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,53.1
2021,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,53.5
2015,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,51.1
2010,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,50.2
2020,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,52.1
2023,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,55.0
2016,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,50.3
2022,Employment rate,16 years and over,,,,,Gordexola,%,Gordexola,54.7
2020,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,54.3
2019,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,54.2
2021,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,53.1
2010,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,54.2
2015,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,53.1
2022,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,53.3
2018,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,53.5
2016,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,52.3
2023,Employment rate,16 years and over,,,,,Gorliz,%,Gorliz,53.8
2019,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,52.2
2016,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,48.2
2018,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,51.0
2023,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,53.8
2015,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,48.8
2020,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,52.4
2010,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,50.6
2022,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,52.6
2021,Employment rate,16 years and over,,,,,Güeñes,%,Güeñes,52.4
2016,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,38.3
2020,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,40.4
2018,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,42.6
2021,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,42.3
2019,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,40.9
2023,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,43.2
2010,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,41.8
2022,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,42.7
2015,Employment rate,16 years and over,,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,41.8
2019,Employment rate,16 years and over,,,,,Hernani,%,Hernani,54.7
2010,Employment rate,16 years and over,,,,,Hernani,%,Hernani,53.1
2022,Employment rate,16 years and over,,,,,Hernani,%,Hernani,55.6
2023,Employment rate,16 years and over,,,,,Hernani,%,Hernani,55.9
2018,Employment rate,16 years and over,,,,,Hernani,%,Hernani,54.1
2015,Employment rate,16 years and over,,,,,Hernani,%,Hernani,51.4
2020,Employment rate,16 years and over,,,,,Hernani,%,Hernani,55.5
2016,Employment rate,16 years and over,,,,,Hernani,%,Hernani,51.1
2021,Employment rate,16 years and over,,,,,Hernani,%,Hernani,53.7
2023,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,50.7
2016,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,51.3
2019,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,53.5
2021,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,47.3
2022,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,48.2
2020,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,50.0
2015,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,55.1
2018,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,54.6
2010,Employment rate,16 years and over,,,,,Hernialde,%,Hernialde,57.9
2015,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,49.6
2021,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,49.8
2016,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,48.6
2020,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,50.6
2023,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,51.9
2019,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,50.5
2010,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,51.7
2022,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,51.9
2018,Employment rate,16 years and over,,,,,Hondarribia,%,Hondarribia,50.2
2016,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,48.9
2010,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,52.6
2021,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,49.0
2015,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,49.5
2019,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,50.7
2023,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,52.1
2020,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,50.5
2022,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,51.1
2018,Employment rate,16 years and over,,,,,Ibarra,%,Ibarra,49.3
2023,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,49.8
2019,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,51.3
2021,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,49.6
2016,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,51.0
2018,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,53.0
2010,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,51.2
2022,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,51.9
2015,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,51.7
2020,Employment rate,16 years and over,,,,,Ibarrangelu,%,Ibarrangelu,48.8
2018,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,51.9
2019,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,53.2
2010,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,52.6
2016,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,52.8
2023,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,53.2
2015,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,52.7
2021,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,51.9
2020,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,53.2
2022,Employment rate,16 years and over,,,,,Idiazabal,%,Idiazabal,53.5
2023,Employment rate,16 years and over,,,,,Igorre,%,Igorre,51.1
2010,Employment rate,16 years and over,,,,,Igorre,%,Igorre,53.2
2015,Employment rate,16 years and over,,,,,Igorre,%,Igorre,51.2
2021,Employment rate,16 years and over,,,,,Igorre,%,Igorre,49.2
2022,Employment rate,16 years and over,,,,,Igorre,%,Igorre,50.9
2016,Employment rate,16 years and over,,,,,Igorre,%,Igorre,51.7
2018,Employment rate,16 years and over,,,,,Igorre,%,Igorre,51.6
2020,Employment rate,16 years and over,,,,,Igorre,%,Igorre,51.3
2019,Employment rate,16 years and over,,,,,Igorre,%,Igorre,51.8
2019,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,49.5
2021,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,46.1
2023,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,47.8
2010,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,51.9
2022,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,48.6
2018,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,49.3
2015,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,50.2
2016,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,47.9
2020,Employment rate,16 years and over,,,,,Ikaztegieta,%,Ikaztegieta,51.6
2021,Employment rate,16 years and over,,,,,Irun,%,Irun,48.7
2015,Employment rate,16 years and over,,,,,Irun,%,Irun,47.9
2016,Employment rate,16 years and over,,,,,Irun,%,Irun,47.2
2010,Employment rate,16 years and over,,,,,Irun,%,Irun,50.2
2023,Employment rate,16 years and over,,,,,Irun,%,Irun,51.3
2018,Employment rate,16 years and over,,,,,Irun,%,Irun,49.5
2020,Employment rate,16 years and over,,,,,Irun,%,Irun,49.7
2019,Employment rate,16 years and over,,,,,Irun,%,Irun,49.9
2022,Employment rate,16 years and over,,,,,Irun,%,Irun,50.5
2015,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,61.5
2020,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,62.2
2016,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,61.5
2019,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,63.1
2022,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.8
2018,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,62.5
2023,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.5
2010,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,63.6
2021,Employment rate,16 years and over,,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,59.7
2023,Employment rate,16 years and over,,,,,Irura,%,Irura,66.9
2016,Employment rate,16 years and over,,,,,Irura,%,Irura,63.9
2018,Employment rate,16 years and over,,,,,Irura,%,Irura,66.3
2022,Employment rate,16 years and over,,,,,Irura,%,Irura,66.9
2021,Employment rate,16 years and over,,,,,Irura,%,Irura,65.0
2010,Employment rate,16 years and over,,,,,Irura,%,Irura,68.5
2020,Employment rate,16 years and over,,,,,Irura,%,Irura,66.9
2019,Employment rate,16 years and over,,,,,Irura,%,Irura,65.0
2015,Employment rate,16 years and over,,,,,Irura,%,Irura,63.2
2022,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,64.2
2019,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,63.3
2010,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.3
2018,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,61.1
2021,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,60.4
2020,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,61.8
2023,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,59.1
2016,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,60.9
2015,Employment rate,16 years and over,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,59.4
2019,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,49.7
2015,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,52.3
2018,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,49.7
2023,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,49.3
2021,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,48.9
2010,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,52.0
2022,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,49.2
2020,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,49.4
2016,Employment rate,16 years and over,,,,,Ispaster,%,Ispaster,52.0
2022,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,55.7
2015,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,52.0
2021,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,52.7
2023,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,57.3
2018,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,53.7
2010,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,52.7
2020,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,56.2
2016,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,50.9
2019,Employment rate,16 years and over,,,,,Itsasondo,%,Itsasondo,52.7
2021,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,48.4
2016,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,47.1
2019,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,48.8
2018,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,48.2
2023,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,51.0
2020,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,48.5
2010,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,48.0
2015,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,45.9
2022,Employment rate,16 years and over,,,,,Iurreta,%,Iurreta,51.1
2016,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,52.1
2019,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,51.0
2015,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,56.7
2021,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,50.7
2018,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,52.5
2010,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,52.9
2020,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,45.8
2022,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,52.3
2023,Employment rate,16 years and over,,,,,Izurtza,%,Izurtza,50.9
2021,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,42.7
2019,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,40.9
2023,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,45.5
2020,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,41.4
2022,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,44.1
2016,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,39.4
2010,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,44.9
2015,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,41.2
2018,Employment rate,16 years and over,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,40.6
2016,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,57.2
2022,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,58.3
2021,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,58.0
2023,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,56.3
2020,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,56.4
2010,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,57.7
2019,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,57.4
2018,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,58.5
2015,Employment rate,16 years and over,,,,,Kortezubi,%,Kortezubi,53.6
2021,Employment rate,16 years and over,,,,,Kripan,%,Kripan,43.9
2020,Employment rate,16 years and over,,,,,Kripan,%,Kripan,47.2
2022,Employment rate,16 years and over,,,,,Kripan,%,Kripan,52.7
2023,Employment rate,16 years and over,,,,,Kripan,%,Kripan,52.1
2018,Employment rate,16 years and over,,,,,Kripan,%,Kripan,45.9
2016,Employment rate,16 years and over,,,,,Kripan,%,Kripan,44.6
2019,Employment rate,16 years and over,,,,,Kripan,%,Kripan,46.3
2010,Employment rate,16 years and over,,,,,Kripan,%,Kripan,46.2
2015,Employment rate,16 years and over,,,,,Kripan,%,Kripan,47.1
2018,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,52.5
2015,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,53.5
2019,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,52.2
2016,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,55.6
2021,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,52.4
2023,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,55.8
2022,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,55.4
2020,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,52.3
2010,Employment rate,16 years and over,,,,,Kuartango,%,Kuartango,54.6
2015,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,46.0
2023,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,52.4
2019,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,47.2
2016,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,45.5
2020,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,46.8
2022,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,52.2
2021,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,47.3
2018,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,46.4
2010,Employment rate,16 years and over,,,,,Labastida/Bastida,%,Labastida/Bastida,48.2
2019,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,38.9
2015,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,42.9
2016,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,41.0
2023,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,42.6
2022,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,44.0
2021,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,40.8
2020,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,40.6
2010,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,41.4
2018,Employment rate,16 years and over,,,,,Lagrán,%,Lagrán,37.6
2023,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,53.7
2010,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,52.0
2022,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,54.3
2019,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,53.9
2015,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,52.8
2020,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,54.2
2016,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,51.8
2021,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,52.8
2018,Employment rate,16 years and over,,,,,Laguardia,%,Laguardia,53.8
2022,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,47.4
2021,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,46.3
2019,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,45.9
2010,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,44.7
2016,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,41.3
2020,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,45.1
2023,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,46.3
2015,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,44.0
2018,Employment rate,16 years and over,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,43.6
2023,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,39.0
2019,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,38.9
2018,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,37.5
2010,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,35.3
2022,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,41.7
2015,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,37.1
2016,Employment rate,16 years and over,,,,,Lanestosa,%,Lanestosa,32.0
