Year,Serie,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2014,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,7.1
2015,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,7.1
2016,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,5.8
2017,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,5.7
2018,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,7.2
2019,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,6.9
2020,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,12.4
2021,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,14.7
2022,AES,,TIT,,,,,Lekeitio,1.000 biztanle bakoitzeko,Lekeitio,11.9
2011,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,0.8
2012,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,5.0
2013,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,6.6
2014,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,7.4
2015,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,5.0
2016,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,7.7
2017,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,5.1
2018,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,4.3
2019,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,3.4
2020,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,11.0
2021,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,7.6
2022,AES,,TIT,,,,,Mallabia,1.000 biztanle bakoitzeko,Mallabia,9.3
2010,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,0.0
2011,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,0.0
2012,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,0.0
2013,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,0.0
2014,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,0.0
2015,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,3.9
2016,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,3.9
2017,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,11.5
2018,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,3.9
2019,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,5.8
2020,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,3.9
2021,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,5.8
2022,AES,,TIT,,,,,Mañaria,1.000 biztanle bakoitzeko,Mañaria,5.7
2010,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,6.5
2011,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,4.9
2012,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,6.0
2013,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,7.3
2014,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,8.8
2015,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,8.7
2016,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,7.1
2017,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,7.7
2018,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,9.1
2019,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,9.4
2020,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,13.1
2021,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,12.9
2022,AES,,TIT,,,,Markina-Ondarroa,,1.000 biztanle bakoitzeko,Markina-Ondarroa,12.4
2010,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,5.3
2011,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,7.5
2012,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,9.2
2013,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,10.4
2014,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,11.6
2015,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,13.7
2016,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,9.0
2017,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,9.4
2018,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,10.8
2019,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,12.2
2020,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,15.1
2021,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,16.9
2022,AES,,TIT,,,,,Markina-Xemein,1.000 biztanle bakoitzeko,Markina-Xemein,17.5
2010,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,1.1
2011,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,1.1
2012,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,1.1
2013,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,3.2
2014,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,1.1
2015,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,0.0
2016,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,4.3
2017,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,1.1
2018,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,4.3
2019,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,2.2
2020,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,3.2
2021,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,2.0
2022,AES,,TIT,,,,,Maruri-Jatabe,1.000 biztanle bakoitzeko,Maruri-Jatabe,1.0
2010,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,5.1
2011,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.6
2012,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.6
2013,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.6
2014,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.6
2015,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.5
2016,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,5.0
2017,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.5
2018,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.5
2019,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,2.5
2020,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,7.4
2021,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,4.9
2022,AES,,TIT,,,,,Mendata,1.000 biztanle bakoitzeko,Mendata,4.9
2010,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,17.9
2011,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,2.2
2012,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,6.6
2013,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,2.2
2014,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,0.0
2015,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,0.0
2016,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,0.0
2017,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,0.0
2018,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,2.1
2019,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,4.2
2020,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,8.7
2021,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,6.7
2022,AES,,TIT,,,,,Mendexa,1.000 biztanle bakoitzeko,Mendexa,11.1
2010,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2011,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2012,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,1.4
2013,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,1.4
2014,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,1.4
2015,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2016,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2017,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2018,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,1.4
2019,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2020,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,0.0
2021,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,1.4
2022,AES,,TIT,,,,,Meñaka,1.000 biztanle bakoitzeko,Meñaka,1.4
2010,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,6.0
2011,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,7.7
2012,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,7.9
2013,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,9.1
2014,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,10.0
2015,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,10.0
2016,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,12.7
2017,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,11.5
2018,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,13.9
2019,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,13.9
2020,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,12.7
2021,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,15.6
2022,AES,,TIT,,,,,Ugao-Miraballes,1.000 biztanle bakoitzeko,Ugao-Miraballes,14.6
2010,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,4.8
2011,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2012,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,7.2
2013,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,7.1
2014,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2015,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2016,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2017,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2018,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2019,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,0.0
2020,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,2.5
2021,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,4.7
2022,AES,,TIT,,,,,Morga,1.000 biztanle bakoitzeko,Morga,2.3
2010,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,3.4
2011,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,4.8
2012,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,4.1
2013,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,4.1
2014,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,1.4
2015,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,4.9
2016,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,6.3
2017,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,8.9
2018,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,6.1
2019,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,6.0
2020,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,6.7
2021,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,6.8
2022,AES,,TIT,,,,,Muxika,1.000 biztanle bakoitzeko,Muxika,7.4
2010,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,7.8
2011,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,4.2
2012,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,4.7
2013,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,5.3
2014,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,8.0
2015,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,5.9
2016,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,5.4
2017,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,6.6
2018,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,8.2
2019,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,6.0
2020,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,8.6
2021,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,4.8
2022,AES,,TIT,,,,,Mundaka,1.000 biztanle bakoitzeko,Mundaka,5.9
2010,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,7.2
2011,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,7.4
2012,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,7.4
2013,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,9.8
2014,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,10.3
2015,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,9.9
2016,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,9.0
2017,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,7.5
2018,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,6.6
2019,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,6.4
2020,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,9.4
2021,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,8.3
2022,AES,,TIT,,,,,Mungia,1.000 biztanle bakoitzeko,Mungia,8.4
2010,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,5.1
2011,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,5.1
2012,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,5.5
2013,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,6.3
2014,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,7.7
2015,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,7.2
2016,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,6.8
2017,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,6.2
2018,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,6.0
2019,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,5.4
2020,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,7.8
2021,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,6.0
2022,AES,,TIT,,,,Plentzia-Mungia,,1.000 biztanle bakoitzeko,Plentzia-Mungia,6.6
2010,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,4.4
2011,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,1.5
2012,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,1.5
2013,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,1.5
2014,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,0.0
2015,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,0.0
2016,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,0.0
2017,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,0.0
2018,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,7.5
2019,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,9.0
2020,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,4.6
2021,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,3.1
2022,AES,,TIT,,,,,Aulesti,1.000 biztanle bakoitzeko,Aulesti,3.1
2010,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,16.0
2011,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,19.2
2012,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,22.3
2013,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,22.0
2014,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,21.7
2015,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,22.7
2016,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,23.1
2017,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,21.8
2018,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,21.4
2019,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,20.6
2020,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,24.2
2021,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,21.1
2022,AES,,TIT,,,,,Muskiz,1.000 biztanle bakoitzeko,Muskiz,21.3
2010,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,0.8
2011,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,5.4
2012,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,5.4
2013,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,0.8
2014,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,0.0
2015,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,0.0
2016,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,15.3
2017,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,12.1
2018,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,13.6
2019,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,10.4
2020,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,12.6
2021,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,14.3
2022,AES,,TIT,,,,,Otxandio,1.000 biztanle bakoitzeko,Otxandio,8.4
2010,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,7.0
2011,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,4.0
2012,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,6.9
2013,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,8.5
2014,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,11.2
2015,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,10.1
2016,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,8.2
2017,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,9.9
2018,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,10.2
2019,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,9.7
2020,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,14.1
2021,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,12.9
2022,AES,,TIT,,,,,Ondarroa,1.000 biztanle bakoitzeko,Ondarroa,12.8
2010,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,10.2
2011,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,8.6
2012,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,10.2
2013,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,11.0
2014,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,12.0
2015,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,11.8
2016,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,12.8
2017,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,15.5
2018,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,13.7
2019,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,16.9
2020,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,20.5
2021,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,18.5
2022,AES,,TIT,,,,,Urduña/Orduña,1.000 biztanle bakoitzeko,Urduña/Orduña,20.0
2010,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,6.5
2011,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,9.9
2012,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,6.1
2013,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,6.9
2014,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,6.5
2015,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,8.7
2016,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,9.1
2017,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,9.6
2018,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,12.2
2019,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,8.4
2020,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,10.4
2021,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,9.5
2022,AES,,TIT,,,,,Orozko,1.000 biztanle bakoitzeko,Orozko,9.5
2010,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,3.0
2011,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,8.8
2012,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,8.7
2013,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,8.7
2014,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,11.3
2015,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,11.1
2016,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,8.5
2017,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,8.6
2018,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,5.9
2019,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,9.0
2020,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,11.6
2021,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,8.3
2022,AES,,TIT,,,,,Sukarrieta,1.000 biztanle bakoitzeko,Sukarrieta,2.7
2010,AES,,TIT,,,,,Plentzia,1.000 biztanle bakoitzeko,Plentzia,2.5
