Year,Actividad económica,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2015,AGRI_ECO,,,Irun,Porcentaje,Irun,2.9
2011,AGRI_ECO,,,Irun,Porcentaje,Irun,0.0
2022,AGRI_ECO,,,Irun,Porcentaje,Irun,50.0
2012,AGRI_ECO,,,Irun,Porcentaje,Irun,0.0
2017,AGRI_ECO,,,Irun,Porcentaje,Irun,5.7
2014,AGRI_ECO,,,Irun,Porcentaje,Irun,2.9
2016,AGRI_ECO,,,Irun,Porcentaje,Irun,2.9
2013,AGRI_ECO,,,Irun,Porcentaje,Irun,2.9
2019,AGRI_ECO,,,Irun,Porcentaje,Irun,8.6
2020,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2019,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2018,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2021,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2022,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2013,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2014,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2010,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2017,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2012,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2011,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2015,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2016,AGRI_ECO,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,0.0
2018,AGRI_ECO,,,Irura,Porcentaje,Irura,0.0
2011,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2017,AGRI_ECO,,,Irura,Porcentaje,Irura,0.0
2020,AGRI_ECO,,,Irura,Porcentaje,Irura,0.0
2013,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2022,AGRI_ECO,,,Irura,Porcentaje,Irura,0.0
2015,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2019,AGRI_ECO,,,Irura,Porcentaje,Irura,0.0
2010,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2012,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2016,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2021,AGRI_ECO,,,Irura,Porcentaje,Irura,0.0
2014,AGRI_ECO,,,Irura,Porcentaje,Irura,25.0
2010,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,7.8
2022,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.3
2016,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.9
2017,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.9
2019,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.9
2012,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.9
2011,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,7.8
2013,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,7.8
2018,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.9
2020,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,7.9
2014,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.9
2015,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,2.0
2021,AGRI_ECO,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,5.3
2015,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,11.1
2017,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,11.1
2011,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,0.0
2019,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,11.1
2022,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,0.0
2021,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,36.4
2013,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,7.4
2016,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,11.1
2010,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,0.0
2020,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,27.3
2014,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,7.4
2018,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,11.1
2012,AGRI_ECO,,,Ispaster,Porcentaje,Ispaster,0.0
2018,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2016,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2020,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2015,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2010,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2019,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2013,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2021,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2011,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2022,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2012,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2014,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2017,AGRI_ECO,,,Itsasondo,Porcentaje,Itsasondo,0.0
2011,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,12.0
2016,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,16.0
2012,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,8.0
2021,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,30.8
2014,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,12.0
2018,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,12.0
2015,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,16.0
2010,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,8.0
2020,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,23.1
2019,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,12.0
2022,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,23.1
2013,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,12.0
2017,AGRI_ECO,,,Iurreta,Porcentaje,Iurreta,12.0
2021,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,66.7
2016,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2015,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2018,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,16.7
2019,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,16.7
2013,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2010,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2012,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2014,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2017,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,16.7
2011,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,0.0
2020,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,33.3
2022,AGRI_ECO,,,Izurtza,Porcentaje,Izurtza,66.7
2013,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,0.0
2016,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,0.0
2021,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,5.3
2020,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,5.3
2018,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,0.0
2012,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,0.0
2010,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,0.0
2014,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,0.0
2017,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,2.1
2011,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,4.3
2022,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,10.5
2015,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,4.3
2019,AGRI_ECO,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,2.1
2018,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,2.9
2019,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,0.0
2013,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,2.9
2014,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,0.0
2016,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,2.9
2021,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,10.0
2010,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,0.0
2020,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,0.0
2017,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,2.9
2011,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,0.0
2012,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,2.9
2015,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,0.0
2022,AGRI_ECO,,,Kortezubi,Porcentaje,Kortezubi,10.0
2010,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2013,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2020,AGRI_ECO,,,Kripan,Porcentaje,Kripan,3.2
2015,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2022,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2018,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2011,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2012,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2017,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2021,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2019,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2016,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2014,AGRI_ECO,,,Kripan,Porcentaje,Kripan,0.0
2015,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,11.1
2013,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,11.1
2016,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,11.1
2010,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,0.0
2012,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,11.1
2019,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,22.2
2017,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,22.2
2018,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,22.2
2021,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,50.0
2020,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,0.0
2022,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,35.7
2014,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,11.1
2011,AGRI_ECO,,,Kuartango,Porcentaje,Kuartango,11.1
2016,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,1.9
2012,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,3.8
2011,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,3.8
2019,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,2.9
2013,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,2.9
2022,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,1.6
2020,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,3.2
2018,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,2.9
2014,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,2.9
2021,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,3.2
2015,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,2.9
2010,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,3.8
2017,AGRI_ECO,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,1.9
2015,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,8.3
2011,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2022,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2012,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2016,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,8.3
2019,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2017,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,8.3
2020,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2021,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2010,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,0.0
2018,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,8.3
2013,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,8.3
2014,AGRI_ECO,,,Lagrán,Porcentaje,Lagrán,8.3
2021,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.7
2020,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,3.0
2010,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,1.2
2017,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.7
2012,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.7
2016,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.7
2013,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,1.9
2011,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,1.5
2014,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,3.5
2019,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.7
2018,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.7
2015,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,2.3
2022,AGRI_ECO,,,Laguardia,Porcentaje,Laguardia,3.9
2010,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,7.5
2012,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,7.5
2016,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,6.7
2014,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,6.7
2021,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,9.1
2022,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,10.0
2013,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,6.7
2020,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,8.2
2017,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,6.7
2011,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,5.0
2018,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,5.8
2015,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,6.7
2019,AGRI_ECO,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,8.3
2022,AGRI_ECO,,,Lanestosa,Porcentaje,Lanestosa,0.0
2020,AGRI_ECO,,,Lanestosa,Porcentaje,Lanestosa,0.0
2021,AGRI_ECO,,,Lanestosa,Porcentaje,Lanestosa,0.0
2020,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,7.1
2017,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,6.4
2021,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,8.9
2010,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,4.3
2015,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,4.3
2018,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,10.6
2011,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,4.3
2022,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,8.9
2014,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,6.4
2013,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,6.4
2016,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,6.4
2012,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,4.3
2019,AGRI_ECO,,,Lantarón,Porcentaje,Lantarón,10.6
2021,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,3.4
2013,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,0.0
2012,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,0.0
2011,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,0.0
2019,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,2.7
2015,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,0.0
2016,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,2.7
2014,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,0.0
2020,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,3.4
2010,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,0.0
2022,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,3.4
2017,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,2.7
2018,AGRI_ECO,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,2.7
2015,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2019,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2013,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,6.8
2016,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2018,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2020,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,15.8
2012,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2011,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,11.4
2017,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2014,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,6.8
2022,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,31.6
2021,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,31.6
2010,AGRI_ECO,,,Larrabetzu,Porcentaje,Larrabetzu,9.1
2012,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2017,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2022,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2014,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2011,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2021,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2013,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2020,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2016,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2010,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2015,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2019,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2018,AGRI_ECO,,,Larraul,Porcentaje,Larraul,0.0
2017,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2013,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2014,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2022,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2012,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2021,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2016,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2011,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2019,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2015,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2020,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2010,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2018,AGRI_ECO,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,0.0
2015,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,14.8
2010,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,3.7
2017,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,18.5
2019,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,22.2
2020,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,13.8
2014,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,11.1
2012,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,7.4
2016,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,22.2
2021,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,20.7
2013,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,11.1
2022,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,20.7
2011,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,7.4
2018,AGRI_ECO,,,Laudio/Llodio,Porcentaje,Laudio/Llodio,22.2
2011,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2013,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2020,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,11.1
2014,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2010,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2016,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2019,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,3.4
2017,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2018,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2015,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2012,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2021,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,11.1
2022,AGRI_ECO,,,Laukiz,Porcentaje,Laukiz,0.0
2013,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2015,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2017,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2019,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,14.3
2020,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,11.1
2012,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2022,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,11.1
2021,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,11.1
2011,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2010,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2016,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2018,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2014,AGRI_ECO,,,Lazkao,Porcentaje,Lazkao,0.0
2013,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2012,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2015,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2020,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2019,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2010,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2022,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2011,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2017,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2016,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2018,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2021,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2014,AGRI_ECO,,,Leaburu,Porcentaje,Leaburu,0.0
2015,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,6.3
2018,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,6.3
2013,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,0.0
2012,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,0.0
2014,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,6.3
2011,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,0.0
2010,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,0.0
2017,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,6.3
2020,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,0.0
2021,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,14.3
2022,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,14.3
2016,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,6.3
2019,AGRI_ECO,,,Legazpi,Porcentaje,Legazpi,6.3
2021,AGRI_ECO,,,Legorreta,Porcentaje,Legorreta,20.0
2010,AGRI_ECO,,,Legorreta,Porcentaje,Legorreta,0.0
2022,AGRI_ECO,,,Legorreta,Porcentaje,Legorreta,20.0
