Year,Serie,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Unidad,GeoCode,Value
2015,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,8.2
2016,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,7.8
2017,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,8.1
2018,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,7.3
2019,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,6.3
2020,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,5.3
2021,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,6.3
2022,AES,,TIT,,,,,Usurbil,"Per 1,000 people",Usurbil,5.9
2010,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,8.5
2011,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,7.7
2012,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,6.8
2013,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,3.7
2014,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,5.0
2015,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,4.8
2016,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,5.1
2017,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,3.8
2018,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,3.4
2019,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,3.9
2020,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,5.8
2021,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,4.7
2022,AES,,TIT,,,,,Bergara,"Per 1,000 people",Bergara,6.0
2010,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,8.5
2011,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,7.8
2012,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,10.2
2013,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,10.1
2014,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,10.4
2015,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,15.8
2016,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,16.6
2017,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,14.6
2018,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,10.3
2019,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,8.3
2020,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,9.3
2021,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,11.0
2022,AES,,TIT,,,,,Villabona,"Per 1,000 people",Villabona,8.6
2010,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,11.4
2011,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,7.5
2012,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,7.0
2013,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,12.4
2014,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,18.4
2015,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,19.1
2016,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,23.2
2017,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,16.9
2018,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,11.8
2019,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,11.3
2020,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,13.0
2021,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,11.2
2022,AES,,TIT,,,,,Ordizia,"Per 1,000 people",Ordizia,11.1
2010,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,10.7
2011,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,7.0
2012,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,6.5
2013,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,7.1
2014,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,9.9
2015,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,10.7
2016,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,11.0
2017,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,10.9
2018,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,10.8
2019,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,9.4
2020,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,9.8
2021,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,8.4
2022,AES,,TIT,,,,,Urretxu,"Per 1,000 people",Urretxu,9.4
2010,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,4.0
2011,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,6.6
2012,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,6.6
2013,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,7.8
2014,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,7.7
2015,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,7.6
2016,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,7.0
2017,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,8.7
2018,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,9.2
2019,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,8.5
2020,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,14.6
2021,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,8.5
2022,AES,,TIT,,,,,Zaldibia,"Per 1,000 people",Zaldibia,11.2
2010,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,4.0
2011,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,2.6
2012,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,3.2
2013,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,4.0
2014,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,5.7
2015,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,2.2
2016,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,6.2
2017,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,6.2
2018,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,5.3
2019,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,5.4
2020,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,6.0
2021,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,5.8
2022,AES,,TIT,,,,,Zarautz,"Per 1,000 people",Zarautz,6.0
2010,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,11.5
2011,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,9.3
2012,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,10.0
2013,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,9.9
2014,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,4.2
2015,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,0.4
2016,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,9.9
2017,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,12.7
2018,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,11.9
2019,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,12.5
2020,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,15.9
2021,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,14.8
2022,AES,,TIT,,,,,Zumarraga,"Per 1,000 people",Zumarraga,14.2
2010,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,8.8
2011,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,5.4
2012,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,3.9
2013,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,4.8
2014,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,7.6
2015,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,8.4
2016,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,6.5
2017,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,6.5
2018,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,6.0
2019,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,5.4
2020,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,7.2
2021,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,7.2
2022,AES,,TIT,,,,,Zumaia,"Per 1,000 people",Zumaia,6.6
2010,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,7.8
2011,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,5.6
2012,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,3.0
2013,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,3.5
2014,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,1.0
2015,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,3.9
2016,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,9.1
2017,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,8.4
2018,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,6.5
2019,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,8.5
2020,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,11.2
2021,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,13.5
2022,AES,,TIT,,,,,Mendaro,"Per 1,000 people",Mendaro,12.9
2010,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,7.3
2011,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,4.0
2012,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,3.2
2013,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,5.2
2014,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,5.0
2015,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,5.7
2016,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,7.0
2017,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,6.7
2018,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,6.0
2019,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,6.7
2020,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,7.7
2021,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,8.5
2022,AES,,TIT,,,,,Lasarte-Oria,"Per 1,000 people",Lasarte-Oria,7.4
2010,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,4.6
2011,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,5.1
2012,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,5.4
2013,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,5.3
2014,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,6.7
2015,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,8.8
2016,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,11.2
2017,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,8.8
2018,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,7.4
2019,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,8.7
2020,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,7.6
2021,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,7.5
2022,AES,,TIT,,,,,Astigarraga,"Per 1,000 people",Astigarraga,7.6
2010,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,8.3
2011,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,8.1
2012,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,7.8
2013,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,15.2
2014,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,21.4
2015,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,6.8
2016,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,20.1
2017,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,19.9
2018,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,6.6
2019,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,12.7
2020,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,18.8
2021,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,19.4
2022,AES,,TIT,,,,,Baliarrain,"Per 1,000 people",Baliarrain,12.9
2010,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,0.0
2011,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,5.5
2012,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,0.0
2013,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,0.0
2014,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,10.5
2015,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,10.4
2016,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,5.1
2017,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,15.2
2018,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,9.9
2019,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,9.7
2020,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,0.0
2021,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,0.0
2022,AES,,TIT,,,,,Orendain,"Per 1,000 people",Orendain,0.0
2010,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,6.4
2011,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,6.3
2012,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,6.1
2013,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,6.0
2014,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.8
2015,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.7
2016,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.6
2017,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.4
2018,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.4
2019,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.4
2020,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,11.3
2021,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,11.7
2022,AES,,TIT,,,,,Altzaga,"Per 1,000 people",Altzaga,5.9
2010,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,0.0
2011,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,0.0
2012,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,5.7
2013,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,5.7
2014,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,0.0
2015,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,0.0
2016,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,6.0
2017,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,11.8
2018,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,6.0
2019,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,6.0
2020,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,11.5
2021,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,5.6
2022,AES,,TIT,,,,,Gaztelu,"Per 1,000 people",Gaztelu,16.9
2010,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,12.2
2011,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,10.0
2012,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,12.0
2013,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,10.1
2014,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,15.7
2015,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,16.6
2016,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,14.7
2017,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,15.5
2018,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,15.3
2019,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,14.8
2020,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,14.8
2021,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,14.5
2022,AES,,TIT,,,Bizkaia,,,"Per 1,000 people",Bizkaia,14.2
2010,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,5.8
2011,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,4.7
2012,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,4.6
2013,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,4.3
2014,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,0.7
2015,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,0.1
2016,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,5.9
2017,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,7.5
2018,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,8.0
2019,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,8.5
2020,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,8.7
2021,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,8.6
2022,AES,,TIT,,,,,Abadiño,"Per 1,000 people",Abadiño,8.3
2010,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,13.3
2011,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,12.4
2012,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,13.7
2013,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,13.1
2014,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,15.7
2015,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,16.5
2016,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,15.9
2017,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,15.6
2018,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,15.3
2019,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,15.0
2020,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,21.0
2021,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,19.9
2022,AES,,TIT,,,,,Abanto y Ciérvana-Abanto Zierbena,"Per 1,000 people",Abanto y Ciérvana-Abanto Zierbena,21.0
2011,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,2.5
2014,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,3.2
2015,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,8.1
2016,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,10.5
2017,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,8.1
2018,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,10.7
2019,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,9.6
2020,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,9.4
2021,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,4.1
2022,AES,,TIT,,,,,Amorebieta-Etxano,"Per 1,000 people",Amorebieta-Etxano,9.2
2010,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,2.5
2011,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,2.5
2012,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,2.5
2013,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2014,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2015,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2016,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2017,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2018,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2019,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,2.4
2020,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,2.4
2021,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,0.0
2022,AES,,TIT,,,,,Amoroto,"Per 1,000 people",Amoroto,2.6
2010,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2011,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,8.0
2012,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,7.6
2013,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2014,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2015,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2016,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2017,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2018,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,6.0
2019,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2020,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,0.0
2021,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,5.9
2022,AES,,TIT,,,,,Arakaldo,"Per 1,000 people",Arakaldo,5.8
2010,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,3.0
2011,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,2.8
2012,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,5.4
2013,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,7.9
2014,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,2.6
2015,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,2.6
2016,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,10.6
2017,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,10.8
2018,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,5.4
2019,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,10.4
2020,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,7.4
2021,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,9.6
2022,AES,,TIT,,,,,Arantzazu,"Per 1,000 people",Arantzazu,7.2
2010,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,7.1
2011,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,2.3
2012,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,4.4
2013,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,0.0
2014,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,0.0
2015,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,0.0
2016,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,0.0
2017,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,0.0
2018,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,6.6
2019,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,13.1
2020,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,17.0
2021,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,6.3
2022,AES,,TIT,,,,,Munitibar-Arbatzegi Gerrikaitz,"Per 1,000 people",Munitibar-Arbatzegi Gerrikaitz,12.8
2010,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,4.2
2011,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,8.1
2012,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,5.4
2013,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,4.2
2014,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,8.4
2015,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,13.8
2016,AES,,TIT,,,,,Artzentales,"Per 1,000 people",Artzentales,13.8
