Year,Series,Tipo de valor,Territorio,Units,Value
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Okondo,Porcentaje,33.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Muskiz,Porcentaje,66.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ataun,Porcentaje,9.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutiloa,Porcentaje,0.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ondarroa,Porcentaje,5.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Otxandio,Porcentaje,38.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amurrio,Porcentaje,47.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aulesti,Porcentaje,9.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lasarte-Oria,Porcentaje,23.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asteasu,Porcentaje,64.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Olaberria,Porcentaje,46.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lapuebla de Labarca,Porcentaje,58.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lapuebla de Labarca,Porcentaje,57.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lezama,Porcentaje,24.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urduña/Orduña,Porcentaje,10.3
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lapuebla de Labarca,Porcentaje,56.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumaia,Porcentaje,43.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Santurtzi,Porcentaje,2.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sukarrieta,Porcentaje,0.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumaia,Porcentaje,37.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aretxabaleta,Porcentaje,49.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ortuella,Porcentaje,11.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Oñati,Porcentaje,54.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aduna,Porcentaje,47.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Plentzia,Porcentaje,0.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumarraga,Porcentaje,12.3
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Portugalete,Porcentaje,2.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orozko,Porcentaje,13.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errenteria,Porcentaje,16.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Campezo/Kanpezu,Porcentaje,12.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leintz-Gatzaga,Porcentaje,6.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaratamo,Porcentaje,33.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,55.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibar,Porcentaje,45.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zalla,Porcentaje,10.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zalla,Porcentaje,8.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leintz-Gatzaga,Porcentaje,8.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibar,Porcentaje,51.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errenteria,Porcentaje,16.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaratamo,Porcentaje,40.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,53.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Igorre,Porcentaje,63.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,55.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laudio/Llodio,Porcentaje,31.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Areatza,Porcentaje,4.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errezil,Porcentaje,55.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amezketa,Porcentaje,48.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urola Kosta,Porcentaje,28.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Loiu,Porcentaje,27.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laudio/Llodio,Porcentaje,30.7
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bedia,Porcentaje,45.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bedia,Porcentaje,35.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errezil,Porcentaje,62.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Atxondo,Porcentaje,62.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errezil,Porcentaje,57.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Campezo/Kanpezu,Porcentaje,8.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bedia,Porcentaje,40.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sondika,Porcentaje,28.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sondika,Porcentaje,29.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaratamo,Porcentaje,39.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errezil,Porcentaje,56.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Erandio,Porcentaje,13.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Areatza,Porcentaje,3.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arraia-Maeztu,Porcentaje,17.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,56.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Donostia / San Sebastián,Porcentaje,3.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Igorre,Porcentaje,58.7
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaratamo,Porcentaje,39.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errenteria,Porcentaje,18.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arraia-Maeztu,Porcentaje,14.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibar,Porcentaje,43.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaratamo,Porcentaje,41.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leintz-Gatzaga,Porcentaje,5.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zalla,Porcentaje,6.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Campezo/Kanpezu,Porcentaje,9.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Igorre,Porcentaje,59.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,54.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,51.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaratamo,Porcentaje,40.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Igorre,Porcentaje,59.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzo,Porcentaje,59.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amezketa,Porcentaje,52.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Derio,Porcentaje,12.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Areatza,Porcentaje,11.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Donostia / San Sebastián,Porcentaje,3.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alkiza,Porcentaje,2.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Erandio,Porcentaje,15.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Laudio/Llodio,Porcentaje,27.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urola Kosta,Porcentaje,27.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errezil,Porcentaje,56.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alkiza,Porcentaje,2.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bergara,Porcentaje,40.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Amezketa,Porcentaje,55.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bedia,Porcentaje,44.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sondika,Porcentaje,28.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Atxondo,Porcentaje,38.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alegría-Dulantzi,Porcentaje,23.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zamudio,Porcentaje,40.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Soraluze-Placencia de las Armas,Porcentaje,44.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Andoain,Porcentaje,26.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Soraluze-Placencia de las Armas,Porcentaje,42.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Balmaseda,Porcentaje,13.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Forua,Porcentaje,19.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Andoain,Porcentaje,27.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Moreda de Álava/Moreda Araba,Porcentaje,21.8
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosa,Porcentaje,14.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Kortezubi,Porcentaje,2.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Iurreta,Porcentaje,41.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosa,Porcentaje,14.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urnieta,Porcentaje,20.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Armiñón,Porcentaje,55.8
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bidasoa Beherea / Bajo Bidasoa,Porcentaje,11.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Nabarniz,Porcentaje,3.8
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bidasoa Beherea / Bajo Bidasoa,Porcentaje,11.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Nabarniz,Porcentaje,3.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alegia,Porcentaje,31.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ubide,Porcentaje,0.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alegia,Porcentaje,34.9
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Iurreta,Porcentaje,38.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Oiartzun,Porcentaje,21.3
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Trucios-Turtzioz,Porcentaje,10.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Usurbil,Porcentaje,34.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ajangiz,Porcentaje,74.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orio,Porcentaje,2.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Usurbil,Porcentaje,30.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bidasoa Beherea / Bajo Bidasoa,Porcentaje,11.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alonsotegi,Porcentaje,39.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,Porcentaje,18.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Albiztur,Porcentaje,46.2
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sopela,Porcentaje,9.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zierbena,Porcentaje,9.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sestao,Porcentaje,7.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sopela,Porcentaje,6.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sestao,Porcentaje,7.7
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arratzu,Porcentaje,0.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ormaiztegi,Porcentaje,76.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sestao,Porcentaje,12.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ortuella,Porcentaje,19.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ziortza-Bolibar,Porcentaje,2.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aizarnazabal,Porcentaje,35.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Villabona,Porcentaje,18.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bernedo,Porcentaje,17.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ordizia,Porcentaje,21.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Santurtzi,Porcentaje,2.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Albiztur,Porcentaje,47.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aizarnazabal,Porcentaje,39.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ordizia,Porcentaje,23.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,16.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ordizia,Porcentaje,21.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Errioxa / Rioja Alavesa,Porcentaje,47.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Antzuola,Porcentaje,64.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,9.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Antzuola,Porcentaje,65.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Errioxa / Rioja Alavesa,Porcentaje,49.8
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urretxu,Porcentaje,16.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Murueta,Porcentaje,42.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urretxu,Porcentaje,20.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Valle de Trápaga-Trapagaran,Porcentaje,28.9
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Valle de Trápaga-Trapagaran,Porcentaje,25.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errigoiti,Porcentaje,3.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,17.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosaldea,Porcentaje,35.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibia,Porcentaje,23.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errigoiti,Porcentaje,3.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibia,Porcentaje,25.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Navaridas,Porcentaje,14.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zarautz,Porcentaje,10.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosaldea,Porcentaje,35.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zarautz,Porcentaje,10.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Portugalete,Porcentaje,2.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosaldea,Porcentaje,35.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aduna,Porcentaje,54.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zarautz,Porcentaje,10.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aduna,Porcentaje,54.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumarraga,Porcentaje,10.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Plentzia,Porcentaje,0.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumarraga,Porcentaje,18.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Plentzia,Porcentaje,1.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aretxabaleta,Porcentaje,52.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sukarrieta,Porcentaje,0.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumarraga,Porcentaje,12.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aretxabaleta,Porcentaje,49.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumaia,Porcentaje,46.3
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sukarrieta,Porcentaje,0.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumaia,Porcentaje,32.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sukarrieta,Porcentaje,0.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sukarrieta,Porcentaje,0.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutiloa,Porcentaje,0.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zumaia,Porcentaje,36.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orozko,Porcentaje,22.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orozko,Porcentaje,12.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urduña/Orduña,Porcentaje,10.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mendaro,Porcentaje,42.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urduña/Orduña,Porcentaje,11.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mendaro,Porcentaje,44.3
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutiloa,Porcentaje,0.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asteasu,Porcentaje,61.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asteasu,Porcentaje,60.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asteasu,Porcentaje,60.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lapuebla de Labarca,Porcentaje,55.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lasarte-Oria,Porcentaje,23.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asteasu,Porcentaje,62.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Okondo,Porcentaje,32.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lapuebla de Labarca,Porcentaje,56.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alegría-Dulantzi,Porcentaje,21.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Abaltzisketa,Porcentaje,0.5
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Otxandio,Porcentaje,40.7
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutiloa,Porcentaje,0.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Astigarraga,Porcentaje,14.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ataun,Porcentaje,8.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Astigarraga,Porcentaje,19.3
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Muskiz,Porcentaje,20.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ataun,Porcentaje,9.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutriku,Porcentaje,14.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Baliarrain,Porcentaje,0.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Okondo,Porcentaje,36.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Baliarrain,Porcentaje,0.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Muskiz,Porcentaje,58.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lanciego/Lantziego,Porcentaje,52.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Alkiza,Porcentaje,2.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Atxondo,Porcentaje,49.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Bergara,Porcentaje,43.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lanciego/Lantziego,Porcentaje,56.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mutriku,Porcentaje,18.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Plentzia-Mungia,Porcentaje,19.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orendain,Porcentaje,8.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aia,Porcentaje,36.8
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orendain,Porcentaje,15.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lanciego/Lantziego,Porcentaje,52.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aia,Porcentaje,37.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Armiñón,Porcentaje,56.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzaga,Porcentaje,2.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Oyón-Oion,Porcentaje,55.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzaga,Porcentaje,2.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mungia,Porcentaje,35.1
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Altzaga,Porcentaje,2.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leza,Porcentaje,9.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arrasate/Mondragón,Porcentaje,26.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arrasate/Mondragón,Porcentaje,28.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gaztelu,Porcentaje,0.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Mundaka,Porcentaje,13.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Gaztelu,Porcentaje,0.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azkoitia,Porcentaje,47.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azkoitia,Porcentaje,42.7
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ortuella,Porcentaje,17.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azkoitia,Porcentaje,42.2
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lizartza,Porcentaje,58.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azkoitia,Porcentaje,45.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Tolosaldea,Porcentaje,35.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arabako Lautada / Llanada Alavesa,Porcentaje,19.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibia,Porcentaje,23.2
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Muxika,Porcentaje,44.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ajangiz,Porcentaje,74.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ordizia,Porcentaje,28.6
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zierbena,Porcentaje,16.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lizartza,Porcentaje,48.5
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Armiñón,Porcentaje,57.4
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Anoeta,Porcentaje,37.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Morga,Porcentaje,6.8
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Anoeta,Porcentaje,33.8
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sopuerta,Porcentaje,4.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Zaldibia,Porcentaje,25.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leza,Porcentaje,32.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Azpeitia,Porcentaje,28.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Sopuerta,Porcentaje,7.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ugao-Miraballes,Porcentaje,22.7
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,9.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Lezo,Porcentaje,32.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Aizarnazabal,Porcentaje,56.1
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Meñaka,Porcentaje,1.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Orexa,Porcentaje,8.9
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Errigoiti,Porcentaje,4.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Leza,Porcentaje,41.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Urretxu,Porcentaje,18.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ordizia,Porcentaje,29.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Beasain,Porcentaje,56.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Ziortza-Bolibar,Porcentaje,2.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Arama,Porcentaje,62.8
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Meñaka,Porcentaje,2.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Asparrena,Porcentaje,61.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Valle de Trápaga-Trapagaran,Porcentaje,33.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Beasain,Porcentaje,53.1
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,Armiñón,Porcentaje,52.2
