Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,248.3
2021,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,264.4
2019,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,19.5
2013,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,25.3
2015,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,274.1
2013,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,260.5
2022,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,24.1
2022,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,269.7
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,54.6
2023,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,278.5
2014,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,19.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,58.7
2016,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,18.4
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,79.3
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,613.0
2010,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,254.3
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,608.3
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,249.5
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,230.9
2012,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,22.8
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,251.4
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,253.9
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,264.8
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,253.9
2019,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,257.9
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,284.9
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,75.2
2021,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,18.3
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,621.2
2010,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,26.1
2020,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,266.1
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,595.4
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,599.2
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,627.4
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,53.6
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,250.3
2017,Heriotza-tasa,Minbizia,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,274.4
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,71.9
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,264.6
2015,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,20.3
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,244.4
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,592.1
2020,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,21.7
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,605.6
2023,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,25.4
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,613.5
2011,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,22.0
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,PER_100000_POP,Gipuzkoa,603.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,269.1
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,553.0
2019,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,22.8
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,271.6
2012,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,193.8
2014,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,216.6
2015,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,218.4
2016,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,20.2
2018,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,213.6
2021,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,220.5
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,581.7
2022,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,228.0
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,262.6
2011,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,24.5
2019,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PT,,6.5
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,550.5
2010,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,195.2
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,556.0
2020,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,23.2
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,267.0
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,275.6
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,538.5
2021,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,23.1
2015,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PT,,6.6
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,252.4
2014,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,22.4
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,567.0
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,272.8
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,260.7
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,60.0
2013,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,199.0
2012,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,24.3
2016,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,215.0
2022,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,22.8
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,262.0
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,49.8
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,53.7
2017,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,18.5
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,573.5
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,566.5
2010,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PT,,6.7
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,60.5
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,572.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,580.4
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,275.9
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,76.2
2020,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,210.6
2010,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,26.6
2023,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,213.6
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,257.0
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,554.2
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,60.1
2017,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,215.4
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,68.2
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,68.1
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,51.7
2011,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,209.7
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,269.6
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,52.5
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,586.7
2013,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,27.0
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,550.8
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,43.8
2015,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,24.2
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,75.0
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,50.0
2023,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,23.5
2018,Heriotza-tasa,Diabetesa,Emakumea,,,,PER_100000_POP,,22.2
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,279.1
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,PER_100000_POP,,536.9
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,PER_100000_POP,,265.1
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,PER_100000_POP,,67.9
2019,Heriotza-tasa,Minbizia,Emakumea,,,,PER_100000_POP,,215.3
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,214.9
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,62.1
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,42.3
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,58.7
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,453.1
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,64.0
2014,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,14.8
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,48.8
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,454.1
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,468.7
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,37.5
2019,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,14.9
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,57.6
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,48.1
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,61.3
2021,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,202.8
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,500.8
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,38.2
2022,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,17.7
2012,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.2
2016,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,18.9
2013,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.8
2010,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,28.2
2022,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,208.2
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,453.0
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,247.0
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,224.8
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,180.4
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,201.6
2020,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.1
2018,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,20.5
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,526.7
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,464.5
2017,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,20.0
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,197.6
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,213.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,448.8
2015,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,22.1
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,426.3
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,213.9
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,470.1
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,224.7
2017,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,206.4
2023,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,191.7
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,196.1
2018,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,168.7
2012,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,161.7
2015,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,220.4
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,207.2
2019,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,187.7
2011,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,174.2
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,224.0
2014,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,178.9
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,496.3
2011,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,29.2
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,471.7
2020,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,178.0
2010,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,160.0
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,498.7
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,227.4
2013,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,177.8
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,59.5
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,47.9
2016,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,177.2
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,205.0
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,437.9
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,40.8
2021,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,22.6
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,45.8
2023,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,PER_100000_POP,Araba / Álava,19.4
2013,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,28.5
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,60.0
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,295.8
2019,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,26.1
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,258.7
2021,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,25.7
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,53.2
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,80.8
2022,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,245.7
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,71.1
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,591.7
2020,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,225.3
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,53.3
2023,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,222.4
2016,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,234.5
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,51.6
2014,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,231.8
2012,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,205.2
2015,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,220.2
2017,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,19.1
2018,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,224.1
2022,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,23.6
2011,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,222.7
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,556.6
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,72.3
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,68.6
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,57.8
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,52.3
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,285.4
2013,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,206.0
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,PER_100000_POP,Bizkaia,583.9
